"SurveyResponseID","AnswerNumber","QualmarkFailedExpn"
3593553,149,"Too expensive"
3594176,167,"Noisy"
3595366,155,"No air-conditioning/heating inadequate"
3594176,166,"Poor value for money"
3595417,142,"No free internet"
3593553,151,"No air-conditioning/heating inadequate"
3595417,143,"No air-conditioning/heating inadequate"
3593553,150,"Poor customer service"
3595417,141,"Poor customer service"
3594303,146,"Too expensive"
3595306,145,"Poor/old facilities"
3595306,146,"Too expensive"
3595366,156,"Another reason"
3593553,148,"The Qualmark rating was too high"
3594303,145,"The Qualmark rating was too high"
3593553,154,"Another reason"
3595306,147,"Poor customer service"
3593553,153,"Noisy"
3595306,151,"Noisy"
3594303,147,"No free internet"
3594303,148,"No air-conditioning/heating inadequate"
3595306,152,"Another reason"
3594303,150,"Another reason"
3595417,145,"Another reason"
3595306,148,"Poor standard of cleanliness/dirty"
3594303,149,"Noisy"
3593586,144,"No free internet"
3593586,146,"No air-conditioning/heating inadequate"
3593586,140,"Poor/old facilities"
3593586,142,"Poor customer service"
3593586,143,"Poor standard of cleanliness/dirty"
3593553,152,"Poor value for money"
3595417,144,"Poor value for money"
3595306,149,"Generally poor standard"
3595306,150,"Poor value for money"
3593586,145,"Generally poor standard"
3593586,147,"Poor value for money"
3593586,141,"The Qualmark rating was too high"
3595450,153,"The Qualmark rating was too high"
3594346,174,"The Qualmark rating was too high"
3594346,178,"Another reason"
3595445,149,"The Qualmark rating was too high"
3594346,176,"No air-conditioning/heating inadequate"
3595445,154,"No air-conditioning/heating inadequate"
3594346,175,"Poor customer service"
3595445,150,"Too expensive"
3595445,151,"Poor customer service"
3595445,152,"Poor standard of cleanliness/dirty"
3593638,141,"Poor/old facilities"
3593638,142,"Too expensive"
3593638,144,"No free internet"
3593638,146,"No air-conditioning/heating inadequate"
3593638,149,"Another reason"
3594462,145,"The Qualmark rating was too high"
3594346,177,"Poor value for money"
3595445,153,"Generally poor standard"
3595445,155,"Poor value for money"
3593638,145,"Generally poor standard"
3593638,147,"Poor value for money"
3594462,148,"Poor value for money"
3595450,158,"Poor value for money"
3594471,149,"Generally poor standard"
3594471,151,"Poor value for money"
3595450,159,"Another reason"
3594471,147,"The Qualmark rating was too high"
3593638,148,"Noisy"
3594462,147,"No free internet"
3595450,156,"No free internet"
3595450,157,"No air-conditioning/heating inadequate"
3594471,150,"No air-conditioning/heating inadequate"
3593638,143,"Poor customer service"
3594462,144,"Poor/old facilities"
3594462,146,"Poor customer service"
3595450,154,"Poor customer service"
3595450,155,"Poor standard of cleanliness/dirty"
3594471,148,"Too expensive"
3595463,158,"Poor/old facilities"
3594512,179,"The Qualmark rating was too high"
3595463,159,"The Qualmark rating was too high"
3594471,152,"Noisy"
3594512,181,"No air-conditioning/heating inadequate"
3594512,182,"Noisy"
3595634,148,"No free internet"
3595634,149,"No air-conditioning/heating inadequate"
3595634,150,"Poor value for money"
3594512,178,"Poor/old facilities"
3594512,180,"Poor standard of cleanliness/dirty"
3595463,160,"Too expensive"
3595463,161,"Poor customer service"
3595463,162,"Poor standard of cleanliness/dirty"
3595634,147,"Poor customer service"
3595463,163,"Generally poor standard"
3594562,145,"Poor value for money"
3594562,142,"The Qualmark rating was too high"
3594562,146,"Another reason"
3594562,141,"Poor/old facilities"
3594562,143,"Too expensive"
3594562,144,"Poor standard of cleanliness/dirty"
3594587,143,"Poor/old facilities"
3594587,144,"Too expensive"
3593671,154,"Poor customer service"
3593671,156,"No air-conditioning/heating inadequate"
3594587,146,"No air-conditioning/heating inadequate"
3595497,148,"No free internet"
3596439,174,"No air-conditioning/heating inadequate"
3596439,173,"Generally poor standard"
3593671,157,"Another reason"
3594587,147,"Another reason"
3595497,146,"The Qualmark rating was too high"
3596439,175,"Another reason"
3595044,154,"The Qualmark rating was too high"
3595499,135,"No free internet"
3595499,137,"No air-conditioning/heating inadequate"
3595499,136,"Generally poor standard"
3593671,155,"Poor standard of cleanliness/dirty"
3594587,145,"Poor customer service"
3595497,147,"Poor standard of cleanliness/dirty"
3596439,172,"Poor standard of cleanliness/dirty"
3595499,134,"Poor customer service"
3595044,155,"Too expensive"
3595044,156,"Poor customer service"
3595044,157,"Poor standard of cleanliness/dirty"
3596470,134,"Poor/old facilities"
3595499,138,"Noisy"
3596470,137,"No free internet"
3596470,135,"The Qualmark rating was too high"
3596470,140,"Another reason"
3596637,143,"Another reason"
3596470,138,"Generally poor standard"
3596470,139,"Poor value for money"
3595044,159,"Generally poor standard"
3595044,161,"Poor value for money"
3593788,166,"Generally poor standard"
3593788,168,"Another reason"
3595069,144,"The Qualmark rating was too high"
3593854,181,"Poor value for money"
3595044,158,"No free internet"
3595044,160,"No air-conditioning/heating inadequate"
3595044,162,"Noisy"
3593788,167,"No air-conditioning/heating inadequate"
3595069,145,"No air-conditioning/heating inadequate"
3593854,180,"No air-conditioning/heating inadequate"
3596470,136,"Too expensive"
3593788,165,"Poor customer service"
3593854,177,"Poor/old facilities"
3593854,178,"Too expensive"
3593854,179,"Poor customer service"
3595640,155,"Poor/old facilities"
3595178,158,"No free internet"
3595178,159,"No air-conditioning/heating inadequate"
3595178,160,"Poor value for money"
3595178,161,"Noisy"
3593924,144,"No air-conditioning/heating inadequate"
3593924,145,"Noisy"
3595640,159,"No free internet"
3593924,143,"Generally poor standard"
3595178,162,"Another reason"
3593924,142,"The Qualmark rating was too high"
3593924,146,"Another reason"
3595640,161,"Another reason"
3595640,156,"Too expensive"
3595178,156,"Too expensive"
3595178,157,"Poor standard of cleanliness/dirty"
3593924,141,"Poor/old facilities"
3595640,157,"Poor customer service"
3595640,158,"Poor standard of cleanliness/dirty"
3595640,160,"Noisy"
3593937,145,"No free internet"
3593937,146,"No air-conditioning/heating inadequate"
3593937,147,"Noisy"
3594004,130,"No air-conditioning/heating inadequate"
3595212,154,"The Qualmark rating was too high"
3593937,142,"Too expensive"
3593937,143,"Poor customer service"
3593937,144,"Poor standard of cleanliness/dirty"
3594004,127,"Poor/old facilities"
3594004,128,"Poor standard of cleanliness/dirty"
3595212,153,"Poor/old facilities"
3595212,157,"No free internet"
3595212,159,"No air-conditioning/heating inadequate"
3594004,129,"Generally poor standard"
3594004,131,"Poor value for money"
3595212,158,"Generally poor standard"
3595212,160,"Poor value for money"
3595212,161,"Noisy"
3594188,140,"No air-conditioning/heating inadequate"
3594188,142,"Another reason"
3594308,145,"The Qualmark rating was too high"
3595212,155,"Too expensive"
3595212,156,"Poor standard of cleanliness/dirty"
3594188,137,"Too expensive"
3594188,138,"Poor standard of cleanliness/dirty"
3594221,141,"Poor standard of cleanliness/dirty"
3594308,144,"Poor/old facilities"
3594188,139,"Generally poor standard"
3594188,141,"Poor value for money"
3594221,142,"Generally poor standard"
3594221,143,"Poor value for money"
3595262,156,"Poor value for money"
3594308,147,"Poor value for money"
3595262,155,"No free internet"
3594308,146,"No free internet"
3595273,151,"No free internet"
3595262,152,"The Qualmark rating was too high"
3595262,157,"Another reason"
3595273,156,"Another reason"
3595273,153,"No air-conditioning/heating inadequate"
3595278,130,"The Qualmark rating was too high"
3595262,151,"Poor/old facilities"
3595262,153,"Poor customer service"
3595262,154,"Poor standard of cleanliness/dirty"
3595273,148,"Too expensive"
3595273,149,"Poor customer service"
3595273,150,"Poor standard of cleanliness/dirty"
3595273,152,"Generally poor standard"
3595273,154,"Poor value for money"
3595273,155,"Noisy"
3595278,133,"No free internet"
3595278,134,"No air-conditioning/heating inadequate"
3595278,135,"Noisy"
3594308,148,"Noisy"
3594308,149,"Another reason"
3594324,164,"The Qualmark rating was too high"
3595278,131,"Poor customer service"
3595278,132,"Poor standard of cleanliness/dirty"
3594324,163,"Poor/old facilities"
3594324,166,"No free internet"
3594324,167,"No air-conditioning/heating inadequate"
3594324,168,"Another reason"
3595328,153,"The Qualmark rating was too high"
3599010,141,"Another reason"
3594455,154,"No free internet"
3594455,155,"Another reason"
3594492,165,"The Qualmark rating was too high"
3594324,165,"Too expensive"
3595328,154,"Poor customer service"
3599010,139,"Poor customer service"
3599010,140,"Poor standard of cleanliness/dirty"
3594455,152,"Poor customer service"
3594455,153,"Poor standard of cleanliness/dirty"
3594574,130,"No free internet"
3594492,169,"Another reason"
3599196,158,"The Qualmark rating was too high"
3594492,166,"Too expensive"
3595328,155,"Generally poor standard"
3594492,168,"Generally poor standard"
3594574,131,"Generally poor standard"
3594492,167,"Poor customer service"
3594574,127,"Poor/old facilities"
3594574,128,"Too expensive"
3594574,129,"Poor standard of cleanliness/dirty"
3594574,132,"Noisy"
3599196,161,"No free internet"
3594606,136,"No free internet"
3599196,163,"Another reason"
3594606,135,"The Qualmark rating was too high"
3599196,157,"Poor/old facilities"
3599196,159,"Too expensive"
3599196,160,"Poor customer service"
3594606,139,"Noisy"
3599261,157,"No air-conditioning/heating inadequate"
3595421,162,"No free internet"
3599261,156,"Poor standard of cleanliness/dirty"
3595421,159,"Poor/old facilities"
3595421,160,"Poor customer service"
3595421,161,"Poor standard of cleanliness/dirty"
3599261,155,"The Qualmark rating was too high"
3599261,158,"Another reason"
3599295,150,"No free internet"
3599295,151,"No air-conditioning/heating inadequate"
3599295,146,"The Qualmark rating was too high"
3599295,152,"Another reason"
3594724,142,"No air-conditioning/heating inadequate"
3599295,145,"Poor/old facilities"
3599295,147,"Too expensive"
3599295,148,"Poor customer service"
3599295,149,"Poor standard of cleanliness/dirty"
3594724,140,"Poor/old facilities"
3594724,141,"Poor customer service"
3594742,137,"The Qualmark rating was too high"
3599196,162,"Generally poor standard"
3594606,137,"Generally poor standard"
3594606,138,"Poor value for money"
3594742,142,"Another reason"
3599513,146,"The Qualmark rating was too high"
3595421,164,"Noisy"
3599513,149,"No air-conditioning/heating inadequate"
3594742,141,"Poor value for money"
3595421,163,"Generally poor standard"
3594742,138,"Too expensive"
3594742,139,"Poor customer service"
3594742,140,"Poor standard of cleanliness/dirty"
3599513,145,"Poor/old facilities"
3599513,147,"Too expensive"
3599513,148,"Poor customer service"
3595632,163,"No air-conditioning/heating inadequate"
3595632,165,"Noisy"
3595639,151,"No free internet"
3595639,152,"Noisy"
3595641,163,"No free internet"
3595641,165,"No air-conditioning/heating inadequate"
3594874,146,"Another reason"
3595639,149,"The Qualmark rating was too high"
3595639,153,"Another reason"
3594874,145,"Poor value for money"
3595632,164,"Poor value for money"
3595641,164,"Generally poor standard"
3595641,166,"Poor value for money"
3594874,143,"Poor customer service"
3594874,144,"Poor standard of cleanliness/dirty"
3595632,162,"Poor standard of cleanliness/dirty"
3595639,148,"Poor/old facilities"
3595639,150,"Too expensive"
3595641,162,"Poor/old facilities"
3595059,151,"Another reason"
3595059,150,"Generally poor standard"
3595059,147,"Poor/old facilities"
3595059,148,"Too expensive"
3595059,149,"Poor standard of cleanliness/dirty"
3595092,139,"Poor/old facilities"
3595092,140,"Too expensive"
3595092,141,"Poor standard of cleanliness/dirty"
3599039,156,"Noisy"
3595932,169,"No free internet"
3595092,142,"No free internet"
3595092,144,"No air-conditioning/heating inadequate"
3599039,154,"Generally poor standard"
3599039,155,"Poor value for money"
3595932,170,"Generally poor standard"
3595092,143,"Generally poor standard"
3595092,145,"Poor value for money"
3599039,152,"The Qualmark rating was too high"
3595092,146,"Another reason"
3595932,167,"Too expensive"
3599039,153,"Too expensive"
3595932,168,"Poor standard of cleanliness/dirty"
3599114,145,"The Qualmark rating was too high"
3599114,149,"Another reason"
3599114,147,"No free internet"
3599114,148,"Noisy"
3595226,149,"No free internet"
3595226,147,"The Qualmark rating was too high"
3595932,171,"Poor value for money"
3599175,144,"Poor value for money"
3595226,150,"Generally poor standard"
3595226,152,"Poor value for money"
3595226,151,"No air-conditioning/heating inadequate"
3599114,146,"Too expensive"
3599175,140,"Poor/old facilities"
3599175,141,"Too expensive"
3599175,142,"Poor customer service"
3599175,143,"Poor standard of cleanliness/dirty"
3595226,148,"Too expensive"
3595259,156,"Poor/old facilities"
3595259,158,"Poor standard of cleanliness/dirty"
3595259,159,"No free internet"
3595259,161,"No air-conditioning/heating inadequate"
3596418,149,"No free internet"
3596418,148,"Poor standard of cleanliness/dirty"
3599214,163,"Poor/old facilities"
3599214,164,"Poor standard of cleanliness/dirty"
3601518,152,"Poor customer service"
3595259,157,"The Qualmark rating was too high"
3599214,168,"Another reason"
3595259,160,"Generally poor standard"
3595259,162,"Poor value for money"
3599214,166,"Poor value for money"
3601518,153,"Generally poor standard"
3601518,155,"Poor value for money"
3599214,165,"No free internet"
3599214,167,"Noisy"
3601518,154,"No air-conditioning/heating inadequate"
3601518,156,"Noisy"
3595259,163,"Noisy"
3595324,139,"Poor/old facilities"
3595324,141,"No air-conditioning/heating inadequate"
3595324,140,"Too expensive"
3599307,149,"Too expensive"
3599307,150,"Poor customer service"
3599307,151,"No free internet"
3599307,152,"No air-conditioning/heating inadequate"
3595324,142,"Another reason"
3599307,155,"Another reason"
3596418,150,"Poor value for money"
3599307,153,"Poor value for money"
3599307,154,"Noisy"
3599316,150,"No free internet"
3599316,149,"Too expensive"
3599364,151,"Poor standard of cleanliness/dirty"
3599316,153,"Noisy"
3599364,153,"No air-conditioning/heating inadequate"
3599316,151,"Generally poor standard"
3599316,152,"Poor value for money"
3599364,152,"Generally poor standard"
3599364,154,"Poor value for money"
3601617,148,"Poor customer service"
3595692,128,"Not sure"
3599316,148,"The Qualmark rating was too high"
3599364,156,"Another reason"
3601618,149,"Poor customer service"
3599364,155,"Noisy"
3601617,149,"No free internet"
3599382,162,"Too expensive"
3596061,153,"No air-conditioning/heating inadequate"
3599382,164,"No free internet"
3601617,151,"Another reason"
3601618,151,"Another reason"
3599382,161,"The Qualmark rating was too high"
3601617,150,"Poor value for money"
3601618,150,"Poor value for money"
3599382,165,"Poor value for money"
3599382,163,"Poor customer service"
3601720,138,"Poor standard of cleanliness/dirty"
3599382,166,"Noisy"
3601720,139,"No free internet"
3601720,140,"Noisy"
3596446,155,"No free internet"
3596446,156,"No air-conditioning/heating inadequate"
3596446,157,"Noisy"
3599393,159,"Noisy"
3601720,141,"Another reason"
3596446,153,"The Qualmark rating was too high"
3599393,157,"Generally poor standard"
3599393,158,"Poor value for money"
3596446,154,"Poor customer service"
3599393,155,"Poor/old facilities"
3599393,156,"Too expensive"
3601770,154,"No free internet"
3601770,156,"No air-conditioning/heating inadequate"
3601770,158,"Noisy"
3601884,167,"No free internet"
3601884,169,"No air-conditioning/heating inadequate"
3601770,155,"Generally poor standard"
3601770,157,"Poor value for money"
3601884,168,"Generally poor standard"
3601770,153,"Poor customer service"
3599400,156,"Poor/old facilities"
3599400,158,"Too expensive"
3599400,157,"The Qualmark rating was too high"
3597029,138,"Not sure"
3601884,170,"Another reason"
3601884,164,"Too expensive"
3601884,165,"Poor customer service"
3601884,166,"Poor standard of cleanliness/dirty"
3599400,159,"Poor customer service"
3599400,160,"Poor standard of cleanliness/dirty"
3599400,161,"Generally poor standard"
3599434,147,"Generally poor standard"
3599400,162,"Noisy"
3601987,148,"Noisy"
3599434,148,"No air-conditioning/heating inadequate"
3601987,146,"Generally poor standard"
3601987,147,"Poor value for money"
3599434,144,"Poor/old facilities"
3599434,145,"Poor customer service"
3599434,146,"Poor standard of cleanliness/dirty"
3599400,163,"Another reason"
3601987,144,"Poor/old facilities"
3601987,145,"The Qualmark rating was too high"
3599434,150,"Another reason"
3599448,156,"Another reason"
3599031,145,"Generally poor standard"
3599031,142,"Poor/old facilities"
3599031,143,"Too expensive"
3599031,144,"Poor customer service"
3599448,150,"Poor/old facilities"
3599448,151,"Poor customer service"
3602120,141,"Poor/old facilities"
3602120,143,"Too expensive"
3599092,160,"Poor customer service"
3599031,147,"Poor value for money"
3599434,149,"Poor value for money"
3599448,153,"Generally poor standard"
3599448,155,"Poor value for money"
3602120,142,"The Qualmark rating was too high"
3599092,159,"The Qualmark rating was too high"
3599117,146,"The Qualmark rating was too high"
3599117,151,"Another reason"
3599165,141,"The Qualmark rating was too high"
3602120,145,"Generally poor standard"
3599092,161,"Poor value for money"
3602120,146,"Poor value for money"
3599117,150,"Poor value for money"
3599031,146,"No air-conditioning/heating inadequate"
3599448,152,"No free internet"
3599448,154,"No air-conditioning/heating inadequate"
3602120,144,"No free internet"
3599117,149,"No free internet"
3602120,148,"Another reason"
3602120,147,"Noisy"
3599165,142,"No air-conditioning/heating inadequate"
3599117,145,"Poor/old facilities"
3599165,143,"Poor value for money"
3599117,147,"Too expensive"
3599117,148,"Poor standard of cleanliness/dirty"
3599165,140,"Poor/old facilities"
3599657,149,"Poor/old facilities"
3599657,150,"Poor customer service"
3599657,151,"Poor standard of cleanliness/dirty"
3599192,150,"Poor/old facilities"
3599165,144,"Noisy"
3599192,157,"Noisy"
3599192,152,"Too expensive"
3599657,152,"No free internet"
3599192,153,"Poor customer service"
3599192,154,"Poor standard of cleanliness/dirty"
3599192,155,"Generally poor standard"
3599192,151,"The Qualmark rating was too high"
3599192,158,"Another reason"
3599657,156,"Another reason"
3599276,165,"Another reason"
3599326,141,"The Qualmark rating was too high"
3602472,141,"Too expensive"
3602472,142,"Poor customer service"
3602472,143,"Poor standard of cleanliness/dirty"
3599276,160,"Poor/old facilities"
3599276,161,"Poor customer service"
3599276,162,"Poor standard of cleanliness/dirty"
3599192,156,"Poor value for money"
3602472,144,"Generally poor standard"
3599657,153,"Generally poor standard"
3602472,145,"Noisy"
3599657,155,"Noisy"
3599276,163,"No free internet"
3599326,144,"No free internet"
3599326,142,"Too expensive"
3599326,146,"No air-conditioning/heating inadequate"
3599326,143,"Poor standard of cleanliness/dirty"
3599151,162,"Too expensive"
3599151,163,"Poor standard of cleanliness/dirty"
3599171,170,"The Qualmark rating was too high"
3599326,148,"Noisy"
3599151,166,"Noisy"
3599171,171,"Too expensive"
3599171,172,"Poor standard of cleanliness/dirty"
3599657,154,"Poor value for money"
3599276,164,"Poor value for money"
3599326,145,"Generally poor standard"
3599326,147,"Poor value for money"
3599151,164,"Generally poor standard"
3599151,165,"Poor value for money"
3599171,174,"No air-conditioning/heating inadequate"
3602971,163,"No free internet"
3602971,161,"The Qualmark rating was too high"
3599490,137,"Poor/old facilities"
3599490,138,"Too expensive"
3602971,162,"Poor standard of cleanliness/dirty"
3602971,166,"Noisy"
3599490,141,"No free internet"
3599490,142,"No air-conditioning/heating inadequate"
3603004,161,"Noisy"
3599271,150,"No free internet"
3599490,139,"Poor customer service"
3599490,140,"Poor standard of cleanliness/dirty"
3603004,157,"Too expensive"
3603004,158,"Poor customer service"
3603004,159,"Poor standard of cleanliness/dirty"
3599271,149,"Poor customer service"
3599171,173,"Generally poor standard"
3599171,175,"Poor value for money"
3599271,152,"No air-conditioning/heating inadequate"
3599271,154,"Noisy"
3599794,140,"No free internet"
3603039,154,"No free internet"
3599794,139,"Poor standard of cleanliness/dirty"
3603039,153,"Too expensive"
3602971,164,"Generally poor standard"
3602971,165,"Poor value for money"
3599490,143,"Poor value for money"
3603004,160,"Generally poor standard"
3599271,151,"Generally poor standard"
3600872,127,"Too expensive"
3599490,144,"Another reason"
3603004,156,"The Qualmark rating was too high"
3599271,153,"Poor value for money"
3599271,155,"Another reason"
3599604,161,"The Qualmark rating was too high"
3603039,155,"Generally poor standard"
3600872,126,"The Qualmark rating was too high"
3603039,159,"Another reason"
3599604,162,"Generally poor standard"
3603039,157,"Poor value for money"
3600872,129,"Generally poor standard"
3603039,156,"No air-conditioning/heating inadequate"
3600872,128,"No free internet"
3601195,139,"The Qualmark rating was too high"
3603039,158,"Noisy"
3601195,142,"No air-conditioning/heating inadequate"
3601195,143,"Poor value for money"
3599867,189,"Generally poor standard"
3601195,138,"Poor/old facilities"
3601195,140,"Too expensive"
3599867,188,"Too expensive"
3601195,141,"Poor customer service"
3603172,139,"Too expensive"
3603172,140,"Poor customer service"
3603172,141,"Poor standard of cleanliness/dirty"
3603172,142,"Generally poor standard"
3601254,144,"Poor value for money"
3601195,144,"Noisy"
3601254,145,"Noisy"
3600272,203,"No free internet"
3603241,152,"No free internet"
3601254,141,"Poor/old facilities"
3601254,143,"Too expensive"
3600272,202,"Poor standard of cleanliness/dirty"
3601254,142,"The Qualmark rating was too high"
3603241,151,"Poor standard of cleanliness/dirty"
3600272,201,"The Qualmark rating was too high"
3601270,139,"Poor/old facilities"
3603241,150,"The Qualmark rating was too high"
3603241,153,"Generally poor standard"
3601270,140,"Too expensive"
3601270,141,"Poor customer service"
3603241,155,"Another reason"
3603241,154,"Noisy"
3601270,143,"No free internet"
3601270,145,"No air-conditioning/heating inadequate"
3601270,146,"Noisy"
3603288,146,"No free internet"
3601270,144,"Generally poor standard"
3603288,147,"Poor value for money"
3601290,143,"Poor value for money"
3603288,148,"Another reason"
3601270,142,"Poor standard of cleanliness/dirty"
3603288,144,"Poor/old facilities"
3603288,145,"Poor standard of cleanliness/dirty"
3601290,140,"Poor/old facilities"
3601290,141,"Poor customer service"
3601290,142,"Poor standard of cleanliness/dirty"
3601278,169,"Poor/old facilities"
3601278,170,"The Qualmark rating was too high"
3601340,165,"The Qualmark rating was too high"
3603722,136,"The Qualmark rating was too high"
3601340,168,"Another reason"
3601278,173,"No free internet"
3601340,167,"No air-conditioning/heating inadequate"
3603722,139,"No free internet"
3603722,141,"No air-conditioning/heating inadequate"
3603722,143,"Another reason"
3601278,171,"Too expensive"
3601278,172,"Poor customer service"
3601340,164,"Poor/old facilities"
3601340,166,"Poor standard of cleanliness/dirty"
3603722,137,"Poor customer service"
3603722,138,"Poor standard of cleanliness/dirty"
3601194,138,"Poor/old facilities"
3601194,140,"No air-conditioning/heating inadequate"
3601194,142,"Noisy"
3603973,148,"No air-conditioning/heating inadequate"
3601278,174,"Poor value for money"
3603722,140,"Generally poor standard"
3603722,142,"Poor value for money"
3601194,141,"Poor value for money"
3603973,147,"Generally poor standard"
3601194,139,"The Qualmark rating was too high"
3601194,143,"Another reason"
3601312,150,"The Qualmark rating was too high"
3601227,138,"Generally poor standard"
3603973,145,"The Qualmark rating was too high"
3603973,150,"Another reason"
3603973,149,"Poor value for money"
3601312,154,"Generally poor standard"
3601312,156,"Poor value for money"
3601227,139,"No air-conditioning/heating inadequate"
3601227,140,"Noisy"
3601312,153,"No free internet"
3601312,155,"No air-conditioning/heating inadequate"
3601312,149,"Poor/old facilities"
3601312,151,"Too expensive"
3603973,146,"Poor standard of cleanliness/dirty"
3601312,152,"Poor standard of cleanliness/dirty"
3601565,151,"Poor/old facilities"
3601244,152,"Poor/old facilities"
3601244,153,"Poor standard of cleanliness/dirty"
3601244,155,"Another reason"
3601565,152,"The Qualmark rating was too high"
3601258,163,"The Qualmark rating was too high"
3601565,156,"Another reason"
3604042,149,"The Qualmark rating was too high"
3601244,154,"No free internet"
3601312,157,"Noisy"
3601565,154,"No free internet"
3601565,155,"Noisy"
3604042,152,"No free internet"
3604042,155,"Another reason"
3604042,153,"No air-conditioning/heating inadequate"
3601565,153,"Too expensive"
3601348,153,"Too expensive"
3604042,148,"Poor/old facilities"
3604042,150,"Too expensive"
3604042,151,"Poor standard of cleanliness/dirty"
3601348,154,"Poor customer service"
3601348,155,"Poor standard of cleanliness/dirty"
3604042,154,"Noisy"
3601348,156,"No free internet"
3601348,159,"Noisy"
3601258,166,"No free internet"
3601258,167,"No air-conditioning/heating inadequate"
3604209,139,"No free internet"
3604209,142,"Noisy"
3601588,147,"No free internet"
3601258,164,"Poor customer service"
3601258,165,"Poor standard of cleanliness/dirty"
3601371,147,"Poor/old facilities"
3604209,138,"Poor customer service"
3601588,145,"Poor/old facilities"
3601588,146,"Poor customer service"
3601371,148,"Too expensive"
3601348,157,"Generally poor standard"
3601371,149,"Poor standard of cleanliness/dirty"
3601259,149,"Poor customer service"
3601348,158,"Poor value for money"
3604209,140,"Generally poor standard"
3604209,141,"Poor value for money"
3601371,150,"Generally poor standard"
3601259,150,"Generally poor standard"
3601259,151,"Poor value for money"
3601371,151,"Noisy"
3604244,149,"No free internet"
3601396,159,"No free internet"
3601342,129,"No air-conditioning/heating inadequate"
3604244,146,"Poor/old facilities"
3604209,143,"Another reason"
3601588,148,"Another reason"
3601259,148,"The Qualmark rating was too high"
3601259,152,"Another reason"
3601615,148,"Poor/old facilities"
3601396,158,"Too expensive"
3604244,147,"Poor customer service"
3604244,148,"Poor standard of cleanliness/dirty"
3601342,128,"Poor customer service"
3601342,130,"Poor value for money"
3601615,151,"Poor value for money"
3601396,160,"Generally poor standard"
3604244,150,"Generally poor standard"
3601615,150,"No air-conditioning/heating inadequate"
3601615,152,"Noisy"
3601396,161,"No air-conditioning/heating inadequate"
3601396,162,"Noisy"
3604244,151,"Noisy"
3601427,163,"No free internet"
3604244,152,"Another reason"
3601427,160,"The Qualmark rating was too high"
3601788,168,"The Qualmark rating was too high"
3601615,149,"Poor customer service"
3601427,159,"Poor/old facilities"
3601427,161,"Poor customer service"
3601427,162,"Poor standard of cleanliness/dirty"
3601788,167,"Poor/old facilities"
3601788,169,"Too expensive"
3601788,170,"Poor standard of cleanliness/dirty"
3601427,165,"Noisy"
3601788,172,"No air-conditioning/heating inadequate"
3601666,143,"Poor/old facilities"
3601788,175,"Another reason"
3601666,144,"Too expensive"
3601666,145,"Poor customer service"
3601508,152,"Poor customer service"
3604376,146,"Poor customer service"
3601788,174,"Noisy"
3604376,148,"No free internet"
3601508,154,"No free internet"
3604376,150,"No air-conditioning/heating inadequate"
3601508,156,"No air-conditioning/heating inadequate"
3604376,147,"Poor standard of cleanliness/dirty"
3601508,153,"Poor standard of cleanliness/dirty"
3601427,164,"Poor value for money"
3601788,171,"Generally poor standard"
3601788,173,"Poor value for money"
3604376,149,"Generally poor standard"
3601508,155,"Generally poor standard"
3601666,146,"Generally poor standard"
3601508,158,"Noisy"
3601666,147,"No air-conditioning/heating inadequate"
3601666,149,"Noisy"
3601611,173,"No free internet"
3601611,175,"No air-conditioning/heating inadequate"
3601666,150,"Another reason"
3604376,152,"Another reason"
3604443,135,"The Qualmark rating was too high"
3601611,170,"The Qualmark rating was too high"
3601611,176,"Another reason"
3601782,155,"The Qualmark rating was too high"
3604443,134,"Poor/old facilities"
3604443,136,"Too expensive"
3601611,171,"Poor customer service"
3601611,172,"Poor standard of cleanliness/dirty"
3601782,156,"Too expensive"
3601782,157,"Poor customer service"
3601782,158,"Poor standard of cleanliness/dirty"
3601789,141,"Poor/old facilities"
3601789,142,"Too expensive"
3601789,143,"Poor customer service"
3601782,159,"No free internet"
3601789,144,"No free internet"
3601789,146,"No air-conditioning/heating inadequate"
3601626,150,"Poor standard of cleanliness/dirty"
3601789,147,"Noisy"
3601626,151,"No free internet"
3601508,157,"Poor value for money"
3601666,148,"Poor value for money"
3604376,151,"Poor value for money"
3604443,137,"Poor value for money"
3601611,174,"Generally poor standard"
3601789,145,"Generally poor standard"
3604475,171,"Too expensive"
3601626,155,"Another reason"
3601789,148,"Another reason"
3601626,152,"No air-conditioning/heating inadequate"
3601626,154,"Noisy"
3604475,173,"No free internet"
3604475,175,"No air-conditioning/heating inadequate"
3604541,123,"No free internet"
3601626,153,"Poor value for money"
3604475,174,"Generally poor standard"
3604475,176,"Poor value for money"
3604475,172,"Poor customer service"
3604541,120,"Poor/old facilities"
3604541,121,"Poor customer service"
3604541,122,"Poor standard of cleanliness/dirty"
3602308,147,"Poor/old facilities"
3601839,130,"Poor/old facilities"
3602308,148,"Poor standard of cleanliness/dirty"
3602308,149,"No air-conditioning/heating inadequate"
3601627,153,"Generally poor standard"
3602308,151,"Another reason"
3601889,142,"The Qualmark rating was too high"
3601839,131,"Too expensive"
3601839,132,"Poor customer service"
3601627,151,"Too expensive"
3601627,152,"Poor customer service"
3604761,137,"Poor/old facilities"
3604761,138,"Too expensive"
3604761,139,"Poor customer service"
3602308,150,"Noisy"
3604761,140,"No air-conditioning/heating inadequate"
3604761,141,"Noisy"
3602465,158,"No free internet"
