"SurveyResponseID","AnswerNumber","QualmarkFailedExpn"
3578831,169,"No air-conditioning/heating inadequate"
3578635,145,"Generally poor standard"
3578635,147,"Poor value for money"
3578888,162,"Generally poor standard"
3578888,164,"Poor value for money"
3578831,170,"Poor value for money"
3578734,136,"Poor standard of cleanliness/dirty"
3578888,160,"Poor customer service"
3578888,159,"The Qualmark rating was too high"
3578831,166,"The Qualmark rating was too high"
3578831,171,"Another reason"
3578831,167,"Too expensive"
3578831,168,"Poor standard of cleanliness/dirty"
3578642,155,"The Qualmark rating was too high"
3578642,159,"Another reason"
3578658,160,"Another reason"
3578924,134,"The Qualmark rating was too high"
3578734,137,"No free internet"
3578642,158,"Noisy"
3578658,159,"Noisy"
3578658,158,"Generally poor standard"
3578642,156,"Too expensive"
3578642,157,"Poor standard of cleanliness/dirty"
3578658,157,"Poor/old facilities"
3578924,133,"Poor/old facilities"
3578924,135,"Too expensive"
3578852,149,"Poor/old facilities"
3578924,136,"Poor standard of cleanliness/dirty"
3578924,137,"No free internet"
3578924,138,"Noisy"
3578852,153,"No air-conditioning/heating inadequate"
3578852,152,"Generally poor standard"
3578930,143,"Generally poor standard"
3578852,151,"Poor customer service"
3578930,141,"Too expensive"
3579124,150,"Poor/old facilities"
3578930,142,"Poor standard of cleanliness/dirty"
3578852,150,"The Qualmark rating was too high"
3579124,153,"No air-conditioning/heating inadequate"
3579124,154,"Poor value for money"
3578924,139,"Another reason"
3579124,155,"Another reason"
3578676,157,"The Qualmark rating was too high"
3578674,142,"Poor value for money"
3579157,145,"The Qualmark rating was too high"
3578852,154,"Poor value for money"
3578674,143,"Noisy"
3578852,155,"Noisy"
3578676,160,"No free internet"
3578676,161,"No air-conditioning/heating inadequate"
3578676,162,"Poor value for money"
3579124,151,"Too expensive"
3578674,140,"Poor customer service"
3579124,152,"Poor customer service"
3578674,141,"Poor standard of cleanliness/dirty"
3578676,158,"Too expensive"
3578676,159,"Poor customer service"
3579157,146,"Poor customer service"
3579157,147,"Poor standard of cleanliness/dirty"
3579157,148,"No air-conditioning/heating inadequate"
3578692,159,"No free internet"
3579559,151,"No air-conditioning/heating inadequate"
3578852,156,"Another reason"
3578692,160,"Another reason"
3579559,147,"The Qualmark rating was too high"
3578692,156,"Poor/old facilities"
3578692,157,"Poor customer service"
3578692,158,"Poor standard of cleanliness/dirty"
3579559,148,"Too expensive"
3579559,149,"Poor standard of cleanliness/dirty"
3579157,149,"Poor value for money"
3579559,150,"Generally poor standard"
3578895,166,"Poor/old facilities"
3578895,167,"Too expensive"
3578895,168,"Poor customer service"
3578895,169,"Poor standard of cleanliness/dirty"
3579559,152,"Noisy"
3578895,170,"No free internet"
3578895,171,"No air-conditioning/heating inadequate"
3578895,172,"Poor value for money"
3578726,162,"No free internet"
3579592,166,"No air-conditioning/heating inadequate"
3579032,140,"The Qualmark rating was too high"
3579592,164,"The Qualmark rating was too high"
3578726,164,"No air-conditioning/heating inadequate"
3578726,166,"Noisy"
3579020,155,"No air-conditioning/heating inadequate"
3579032,143,"Generally poor standard"
3579032,144,"Poor value for money"
3578726,163,"Generally poor standard"
3578726,165,"Poor value for money"
3579020,156,"Poor value for money"
3579020,157,"Another reason"
3579065,141,"The Qualmark rating was too high"
3579032,139,"Poor/old facilities"
3579032,141,"Too expensive"
3579032,142,"Poor customer service"
3579592,165,"Poor standard of cleanliness/dirty"
3579020,153,"Too expensive"
3579020,154,"Poor customer service"
3579065,143,"No free internet"
3579065,144,"No air-conditioning/heating inadequate"
3579050,168,"No free internet"
3579114,138,"No air-conditioning/heating inadequate"
3579050,169,"Another reason"
3578810,146,"The Qualmark rating was too high"
3578810,150,"Another reason"
3578810,149,"Poor value for money"
3579114,137,"Generally poor standard"
3579065,142,"Too expensive"
3579050,167,"Too expensive"
3578810,147,"Too expensive"
3578810,148,"Poor standard of cleanliness/dirty"
3579114,135,"Too expensive"
3579114,136,"Poor standard of cleanliness/dirty"
3579114,139,"Noisy"
3579154,158,"No free internet"
3579154,161,"Noisy"
3579199,156,"No air-conditioning/heating inadequate"
3579154,159,"Generally poor standard"
3579154,160,"Poor value for money"
3579199,155,"Generally poor standard"
3579154,155,"The Qualmark rating was too high"
3579154,162,"Another reason"
3578937,145,"The Qualmark rating was too high"
3579154,154,"Poor/old facilities"
3579154,156,"Too expensive"
3579154,157,"Poor customer service"
3579199,154,"Poor customer service"
3578937,144,"Poor/old facilities"
3578937,146,"Too expensive"
3579199,157,"Noisy"
3578937,149,"No air-conditioning/heating inadequate"
3579179,140,"No air-conditioning/heating inadequate"
3578960,136,"No free internet"
3579247,149,"No air-conditioning/heating inadequate"
3579179,137,"The Qualmark rating was too high"
3579247,151,"Another reason"
3578937,148,"Generally poor standard"
3578937,150,"Poor value for money"
3579179,139,"Generally poor standard"
3579179,141,"Poor value for money"
3578960,137,"Poor value for money"
3579247,148,"Generally poor standard"
3578937,147,"Poor standard of cleanliness/dirty"
3579179,138,"Too expensive"
3578960,135,"Poor/old facilities"
3579247,147,"Poor customer service"
3579249,155,"Poor/old facilities"
3579249,156,"Too expensive"
3579249,157,"Poor customer service"
3579249,158,"Poor standard of cleanliness/dirty"
3578976,137,"Poor/old facilities"
3579249,161,"Poor value for money"
3579622,139,"Generally poor standard"
3579622,140,"Poor value for money"
3579179,143,"Another reason"
3578976,140,"Another reason"
3578976,138,"Poor customer service"
3579622,135,"Too expensive"
3579622,136,"Poor customer service"
3579622,137,"Poor standard of cleanliness/dirty"
3582447,176,"Poor/old facilities"
3579247,150,"Noisy"
3579179,142,"Noisy"
3579249,159,"No free internet"
3579249,160,"No air-conditioning/heating inadequate"
3579249,162,"Noisy"
3578976,139,"Noisy"
3579622,142,"Another reason"
3579001,164,"Another reason"
3579622,138,"No free internet"
3579622,141,"Noisy"
3582447,177,"No air-conditioning/heating inadequate"
3579017,161,"The Qualmark rating was too high"
3579001,161,"Too expensive"
3579001,162,"Poor customer service"
3579001,163,"Poor standard of cleanliness/dirty"
3579017,160,"Poor/old facilities"
3579565,167,"Too expensive"
3579017,162,"Too expensive"
3579017,163,"Poor customer service"
3579017,164,"Poor standard of cleanliness/dirty"
3579565,168,"Poor customer service"
3579017,165,"No free internet"
3579017,167,"No air-conditioning/heating inadequate"
3579017,169,"Noisy"
3579565,169,"No free internet"
3583500,145,"No free internet"
3579017,166,"Generally poor standard"
3579017,168,"Poor value for money"
3579565,170,"Generally poor standard"
3579599,151,"No free internet"
3579599,149,"The Qualmark rating was too high"
3579599,154,"Noisy"
3583703,169,"No free internet"
3579599,152,"Generally poor standard"
3579599,153,"Poor value for money"
3579599,148,"Poor/old facilities"
3579599,150,"Poor standard of cleanliness/dirty"
3579617,136,"Poor/old facilities"
3579617,137,"Too expensive"
3583703,168,"Poor/old facilities"
3579617,139,"No free internet"
3579617,140,"No air-conditioning/heating inadequate"
3579617,141,"Noisy"
3580384,178,"No free internet"
3580384,179,"No air-conditioning/heating inadequate"
3579617,138,"Poor standard of cleanliness/dirty"
3580384,177,"Poor/old facilities"
3579617,142,"Another reason"
3580384,181,"Another reason"
3580384,180,"Noisy"
3580938,161,"No air-conditioning/heating inadequate"
3580938,159,"Too expensive"
3580938,160,"Poor customer service"
3580938,158,"The Qualmark rating was too high"
3580938,162,"Noisy"
3583170,159,"Noisy"
3582423,165,"No free internet"
3582423,167,"No air-conditioning/heating inadequate"
3582423,166,"Generally poor standard"
3583170,158,"Too expensive"
3582423,162,"Poor/old facilities"
3582423,163,"Too expensive"
3582423,164,"Poor standard of cleanliness/dirty"
3583170,157,"The Qualmark rating was too high"
3585211,188,"No free internet"
3585211,185,"Poor/old facilities"
3585211,186,"Too expensive"
3585211,187,"Poor customer service"
3585845,151,"No free internet"
3585845,152,"Generally poor standard"
3585845,153,"Poor value for money"
3585845,150,"Poor/old facilities"
3592627,150,"Too expensive"
3592627,151,"Poor standard of cleanliness/dirty"
3592645,148,"Poor/old facilities"
3592645,150,"Too expensive"
3592627,152,"No free internet"
3592627,154,"Noisy"
3592645,152,"No air-conditioning/heating inadequate"
3592627,149,"The Qualmark rating was too high"
3592645,149,"The Qualmark rating was too high"
3592645,151,"Poor standard of cleanliness/dirty"
3592627,153,"Poor value for money"
3592645,153,"Poor value for money"
3592742,145,"No free internet"
3592742,148,"Another reason"
3592826,132,"The Qualmark rating was too high"
3592742,143,"Poor/old facilities"
3592742,144,"Poor standard of cleanliness/dirty"
3592826,131,"Poor/old facilities"
3592826,133,"Poor customer service"
3592742,146,"Poor value for money"
3592742,147,"Noisy"
3592826,134,"No free internet"
3592827,160,"No free internet"
3592827,161,"No air-conditioning/heating inadequate"
3592827,158,"Too expensive"
3592827,159,"Poor customer service"
3592894,146,"Poor/old facilities"
3592827,162,"Another reason"
3592894,147,"The Qualmark rating was too high"
3592896,161,"No free internet"
3592894,148,"Too expensive"
3592894,149,"Poor customer service"
3592896,158,"Poor/old facilities"
3592896,159,"Too expensive"
3592896,160,"Poor standard of cleanliness/dirty"
3592474,133,"Poor/old facilities"
3592474,137,"No air-conditioning/heating inadequate"
3592474,139,"Noisy"
3592579,132,"No air-conditioning/heating inadequate"
3592894,151,"Another reason"
3592474,134,"The Qualmark rating was too high"
3592579,133,"Noisy"
3593028,153,"No free internet"
3593028,154,"No air-conditioning/heating inadequate"
3592474,135,"Too expensive"
3592579,129,"Too expensive"
3592579,130,"Poor standard of cleanliness/dirty"
3593028,151,"Poor/old facilities"
3593028,152,"Poor standard of cleanliness/dirty"
3592640,136,"Too expensive"
3593028,155,"Noisy"
3592640,138,"No free internet"
3592640,139,"No air-conditioning/heating inadequate"
3592640,137,"Poor customer service"
3592706,152,"Poor standard of cleanliness/dirty"
3592894,150,"Generally poor standard"
3592896,162,"Poor value for money"
3592474,136,"Generally poor standard"
3592474,138,"Poor value for money"
3592579,131,"Generally poor standard"
3592640,140,"Poor value for money"
3592640,141,"Noisy"
3592706,154,"No air-conditioning/heating inadequate"
3593229,177,"No free internet"
3593229,173,"The Qualmark rating was too high"
3592823,150,"The Qualmark rating was too high"
3593229,172,"Poor/old facilities"
3592706,153,"Generally poor standard"
3592706,155,"Poor value for money"
3593229,174,"Too expensive"
3593229,175,"Poor customer service"
3593229,176,"Poor standard of cleanliness/dirty"
3592823,149,"Poor/old facilities"
3592823,151,"Too expensive"
3592823,153,"No free internet"
3592758,163,"No free internet"
3592758,165,"No air-conditioning/heating inadequate"
3592758,161,"The Qualmark rating was too high"
3592982,158,"The Qualmark rating was too high"
3592823,152,"Poor standard of cleanliness/dirty"
3592758,160,"Poor/old facilities"
3592758,162,"Poor standard of cleanliness/dirty"
3592982,157,"Poor/old facilities"
3592982,159,"Too expensive"
3593000,151,"Poor/old facilities"
3592982,161,"Noisy"
3593000,154,"No free internet"
3593005,136,"No free internet"
3592823,154,"Poor value for money"
3592758,164,"Generally poor standard"
3593229,178,"Generally poor standard"
3593229,179,"Poor value for money"
3592982,160,"Generally poor standard"
3593005,137,"Poor value for money"
3593263,140,"Generally poor standard"
3592758,166,"Poor value for money"
3593005,133,"The Qualmark rating was too high"
3593263,141,"Another reason"
3593000,152,"Too expensive"
3592772,156,"The Qualmark rating was too high"
3593000,153,"Poor customer service"
3593005,132,"Poor/old facilities"
3593005,134,"Poor customer service"
3593005,135,"Poor standard of cleanliness/dirty"
3593263,139,"Poor standard of cleanliness/dirty"
3592772,157,"Too expensive"
3592772,158,"Poor customer service"
3593005,138,"Noisy"
3592772,160,"Noisy"
3592772,159,"Generally poor standard"
3592790,144,"No air-conditioning/heating inadequate"
3592772,161,"Another reason"
3592790,142,"Poor customer service"
3592790,143,"Poor standard of cleanliness/dirty"
3593462,121,"Poor/old facilities"
3592452,142,"Too expensive"
3593462,122,"Too expensive"
3592452,143,"Poor customer service"
3593462,123,"Poor customer service"
3593462,124,"Poor standard of cleanliness/dirty"
3592790,145,"Noisy"
3593462,126,"No air-conditioning/heating inadequate"
3592452,144,"Noisy"
3593082,157,"No free internet"
3593548,146,"No free internet"
3593082,159,"Another reason"
3593548,143,"The Qualmark rating was too high"
3592790,146,"Another reason"
3593082,155,"Poor/old facilities"
3593082,156,"Poor customer service"
3593548,142,"Poor/old facilities"
3593548,144,"Poor customer service"
3593548,145,"Poor standard of cleanliness/dirty"
3592822,165,"Poor/old facilities"
3593462,125,"Generally poor standard"
3593462,127,"Poor value for money"
3593082,158,"Poor value for money"
3592822,171,"Poor value for money"
3593548,147,"Noisy"
3592822,169,"No free internet"
3592822,170,"No air-conditioning/heating inadequate"
3592822,166,"Too expensive"
3592822,167,"Poor customer service"
3592822,172,"Noisy"
3593148,158,"No free internet"
3592584,151,"No air-conditioning/heating inadequate"
3592831,134,"The Qualmark rating was too high"
3593148,156,"The Qualmark rating was too high"
3593148,160,"Another reason"
3592584,148,"The Qualmark rating was too high"
3593612,136,"The Qualmark rating was too high"
3593148,159,"Poor value for money"
3592584,152,"Poor value for money"
3592822,168,"Poor standard of cleanliness/dirty"
3592831,133,"Poor/old facilities"
3592584,147,"Poor/old facilities"
3593148,157,"Poor customer service"
3592584,149,"Too expensive"
3592584,150,"Poor standard of cleanliness/dirty"
3593612,137,"Too expensive"
3593612,138,"Poor customer service"
3593612,139,"Poor standard of cleanliness/dirty"
3592584,153,"Noisy"
3593612,140,"No air-conditioning/heating inadequate"
3593612,142,"Noisy"
3592831,135,"No free internet"
3592831,137,"Noisy"
3593661,154,"No air-conditioning/heating inadequate"
3592585,154,"No free internet"
3592585,155,"No air-conditioning/heating inadequate"
3592585,150,"The Qualmark rating was too high"
3593661,152,"The Qualmark rating was too high"
3592585,156,"Noisy"
3593189,156,"Noisy"
3592831,138,"Another reason"
3593189,152,"The Qualmark rating was too high"
3592719,138,"The Qualmark rating was too high"
3593661,153,"Too expensive"
3592585,151,"Too expensive"
3592585,152,"Poor customer service"
3592585,153,"Poor standard of cleanliness/dirty"
3593189,153,"Too expensive"
3593189,154,"Poor standard of cleanliness/dirty"
3592719,140,"No free internet"
3593108,133,"No free internet"
3593108,134,"Noisy"
3592719,141,"Noisy"
3593612,141,"Poor value for money"
3592831,136,"Generally poor standard"
3593189,155,"Generally poor standard"
3593108,130,"The Qualmark rating was too high"
3593108,135,"Another reason"
