"SurveyResponseID","AnswerNumber","TechnologyUses"
3577643,196,"Accommodation in a different region"
3625935,104,"Accommodation in a different region"
3625935,101,"Weather information"
3625935,103,"Information about amenities/services for the town you were in"
3583006,94,"Weather information"
3581926,169,"Weather information"
3625950,120,"Weather information"
3582986,137,"Attractions / Activities"
3625920,119,"Directions"
3582986,134,"General information about the region you were in"
3582986,135,"Compare prices / find deals"
3577643,193,"Compare prices / find deals"
3625935,102,"Internet access"
3581926,171,"Internet access"
3581926,172,"Information about Maori culture / cultural activities"
3581926,173,"Compare prices / find deals"
3625934,120,"Check/confirm existing travel plans"
3625934,122,"Attractions / Activities"
3577643,198,"Attractions / Activities"
3625935,105,"Attractions / Activities"
3581926,168,"Check/confirm existing travel plans"
3581926,179,"Attractions / Activities"
3581926,176,"Accommodation in the region you were in"
3581926,174,"Directions"
3625950,122,"Directions"
3581926,178,"Transport/ travel options around New Zealand"
3581926,170,"Maps"
3625950,121,"Maps"
3581926,175,"See ratings by other travellers"
3583013,139,"Check/confirm existing travel plans"
3583013,140,"Weather information"
3581926,177,"Accommodation in a different region"
3583013,142,"Directions"
3625951,104,"Directions"
3583013,141,"Maps"
3625951,103,"Maps"
3625951,102,"Weather information"
3583013,143,"Attractions / Activities"
3625951,105,"Information about amenities/services for the town you were in"
3577644,96,"None of these"
3583015,149,"Check/confirm existing travel plans"
3583015,150,"Weather information"
3577645,137,"Check/confirm existing travel plans"
3583015,153,"Transport/ travel options around New Zealand"
3583015,151,"Maps"
3581933,144,"Maps"
3581933,147,"Accommodation in the region you were in"
3625967,111,"Weather information"
3625967,115,"Information about amenities/services for the town you were in"
3583015,148,"General information about the region you were in"
3583015,152,"Internet access"
3581933,145,"Internet access"
3583029,120,"Internet access"
3625967,110,"General information about the region you were in"
3625967,113,"Internet access"
3583036,100,"Internet access"
3581933,146,"See ratings by other travellers"
3581933,148,"Accommodation in a different region"
3625967,112,"Maps"
3625967,114,"See ratings by other travellers"
3577645,139,"Maps"
3625968,135,"Access to resources to assist you to plan"
3577645,140,"Internet access"
3625967,116,"Suggested itineraries"
3583038,107,"Internet access"
3581935,125,"Check/confirm existing travel plans"
3583040,119,"General information about the region you were in"
3625968,133,"General information about the region you were in"
3625968,134,"Check/confirm existing travel plans"
3581935,129,"Attractions / Activities"
3583040,120,"Check/confirm existing travel plans"
3581935,130,"Suggested itineraries"
3577645,138,"Weather information"
3577645,141,"Overview of NZ regions"
3577645,142,"Information about amenities/services for the town you were in"
3581935,126,"Weather information"
3581935,128,"Transport/ travel options around New Zealand"
3625968,136,"Weather information"
3583040,121,"Weather information"
3583040,127,"Event information"
3581935,127,"Directions"
3583040,123,"Internet access"
3583040,124,"Directions"
3581951,133,"General information about the region you were in"
3583040,122,"Maps"
3625968,138,"Accommodation in a different region"
3581951,135,"Maps"
3625772,187,"Maps"
3625968,137,"Accommodation in the region you were in"
3583040,125,"Information about amenities/services for the town you were in"
3581951,136,"Internet access"
3583040,126,"Accommodation in the region you were in"
3581951,137,"Directions"
3625772,184,"General information about the region you were in"
3581951,134,"Weather information"
3625772,186,"Weather information"
3625772,188,"Compare prices / find deals"
3625772,190,"Overview of NZ regions"
3625772,191,"General information about a different region"
3626000,137,"Access to resources to assist you to plan"
3625772,193,"Accommodation in a different region"
3625772,189,"Directions"
3582762,135,"Internet access"
3626000,140,"Internet access"
3582762,133,"Access to resources to assist you to plan"
3625968,139,"Attractions / Activities"
3626000,139,"Maps"
3582762,136,"General information about a different region"
3583040,128,"Attractions / Activities"
3577645,143,"Attractions / Activities"
3625772,185,"Check/confirm existing travel plans"
3582762,138,"Attractions / Activities"
3626000,141,"Directions"
3582764,117,"Internet access"
3577659,100,"Maps"
3626002,106,"Access to resources to assist you to plan"
3626002,104,"General information about the region you were in"
3625779,202,"General information about the region you were in"
3625772,194,"Attractions / Activities"
3582764,115,"Check/confirm existing travel plans"
3582764,118,"Attractions / Activities"
3626002,105,"Check/confirm existing travel plans"
3625779,203,"Check/confirm existing travel plans"
3625772,192,"Information about amenities/services for the town you were in"
3626000,138,"Weather information"
3582762,134,"Weather information"
3582762,137,"Accommodation in the region you were in"
3582764,116,"Weather information"
3626002,107,"Weather information"
3625779,204,"Weather information"
3626002,108,"Maps"
3625779,205,"Maps"
3625779,206,"To meet other travellers"
3626002,109,"Event information"
3626002,110,"Attractions / Activities"
3625779,215,"Attractions / Activities"
3625779,207,"Internet access"
3625779,208,"Compare prices / find deals"
3582780,123,"Internet access"
3625779,209,"Directions"
3582787,107,"General information about the region you were in"
3625779,211,"See ratings by other travellers"
3625779,210,"Overview of NZ regions"
3625779,212,"Information about amenities/services for the town you were in"
3625779,213,"Accommodation in the region you were in"
3582787,108,"Weather information"
3625779,214,"Transport/ travel options around New Zealand"
3577661,118,"Maps"
3577661,121,"Accommodation in a different region"
3582787,109,"Directions"
3577661,119,"Internet access"
3577661,120,"Directions"
3582789,94,"General information about the region you were in"
3626003,200,"General information about the region you were in"
3626003,204,"Internet access"
3626003,203,"Maps"
3625781,168,"Maps"
3626003,205,"Information about Maori culture / cultural activities"
3625781,169,"Internet access"
3625781,171,"See ratings by other travellers"
3625781,170,"Directions"
3626003,206,"Compare prices / find deals"
3625781,173,"Accommodation in a different region"
3626003,208,"General information about a different region"
3626003,209,"See ratings by other travellers"
3582789,95,"Weather information"
3626003,202,"Weather information"
3625781,167,"Weather information"
3582794,148,"Weather information"
3625781,172,"Information about amenities/services for the town you were in"
3626003,210,"Information about amenities/services for the town you were in"
3626003,211,"Accommodation in the region you were in"
3626003,212,"Accommodation in a different region"
3626003,213,"Transport/ travel options around New Zealand"
3626003,207,"Directions"
3582803,117,"General information about the region you were in"
3577678,138,"Maps"
3582803,120,"General information about a different region"
3626003,201,"Check/confirm existing travel plans"
3625781,174,"Attractions / Activities"
3625781,175,"Suggested itineraries"
3626003,214,"Attractions / Activities"
3577678,140,"Event information"
3577678,137,"Weather information"
3577678,141,"Attractions / Activities"
3626017,120,"Check/confirm existing travel plans"
3582803,123,"Attractions / Activities"
3625788,116,"Attractions / Activities"
3626017,127,"Event information"
3626017,128,"Attractions / Activities"
3625788,117,"Suggested itineraries"
3582803,121,"See ratings by other travellers"
3626017,122,"Maps"
3626017,125,"General information about a different region"
3626017,126,"Accommodation in a different region"
3582805,137,"Access to resources to assist you to plan"
3577678,139,"Information about amenities/services for the town you were in"
3582803,118,"Weather information"
3625788,114,"Weather information"
3626017,121,"Weather information"
3582803,122,"Accommodation in the region you were in"
3626017,124,"Overview of NZ regions"
3582805,138,"Weather information"
3582803,119,"Directions"
3625788,115,"Directions"
3577679,109,"General information about the region you were in"
3626017,123,"Directions"
3582805,136,"General information about the region you were in"
3582805,140,"Internet access"
3582805,141,"Information about Maori culture / cultural activities"
3582805,143,"Information about amenities/services for the town you were in"
3582805,144,"Accommodation in the region you were in"
3582805,142,"Directions"
3626020,113,"Internet access"
3582805,139,"Maps"
3582805,145,"Accommodation in a different region"
3626020,114,"Information about Maori culture / cultural activities"
3626020,112,"Weather information"
3625790,135,"Weather information"
3625790,137,"Transport/ travel options around New Zealand"
3625790,136,"See ratings by other travellers"
3626020,115,"Transport/ travel options around New Zealand"
3582812,126,"Weather information"
3582812,129,"Transport/ travel options around New Zealand"
3582812,127,"Maps"
3582812,128,"See ratings by other travellers"
3582805,146,"Attractions / Activities"
3582812,125,"Check/confirm existing travel plans"
3625790,138,"Attractions / Activities"
3577679,111,"Weather information"
3626034,112,"Weather information"
3625797,152,"Weather information"
3582819,137,"Weather information"
3625795,117,"Access to resources to assist you to plan"
3582812,130,"Flights within New Zealand"
3626034,117,"Information about amenities/services for the town you were in"
3626034,113,"Maps"
3626034,116,"General information about a different region"
3582812,131,"Event information"
3582812,132,"Suggested itineraries"
3577679,110,"Check/confirm existing travel plans"
3577679,113,"Flights within New Zealand"
3625795,119,"Attractions / Activities"
3577679,112,"Internet access"
3625795,118,"Internet access"
3626034,114,"Internet access"
3626034,115,"Directions"
3582819,136,"General information about the region you were in"
3582819,139,"Internet access"
3582819,140,"Information about Maori culture / cultural activities"
3625797,153,"Compare prices / find deals"
3582819,147,"Attractions / Activities"
3626053,120,"Flights within New Zealand"
3582819,138,"Maps"
3582819,142,"General information about a different region"
3582819,145,"Accommodation in a different region"
3625797,156,"General information about a different region"
3582819,141,"Overview of NZ regions"
3582819,143,"Information about amenities/services for the town you were in"
3582819,144,"Accommodation in the region you were in"
3625797,155,"Overview of NZ regions"
3626053,119,"Transport/ travel options around New Zealand"
3582819,146,"Transport/ travel options around New Zealand"
3625797,157,"Information about amenities/services for the town you were in"
3625797,154,"Directions"
3577693,131,"Internet access"
3577693,132,"Compare prices / find deals"
3625797,158,"Attractions / Activities"
3577693,128,"Check/confirm existing travel plans"
3626067,143,"Check/confirm existing travel plans"
3577693,135,"Attractions / Activities"
3626067,151,"Event information"
3577693,136,"Suggested itineraries"
3577693,129,"Weather information"
3577693,133,"Directions"
3582853,106,"Directions"
3577693,134,"Information about amenities/services for the town you were in"
3626067,146,"Information about Maori culture / cultural activities"
3626067,145,"Weather information"
3626067,148,"Overview of NZ regions"
3626067,150,"Information about amenities/services for the town you were in"
3625822,126,"Information about amenities/services for the town you were in"
3577710,146,"Check/confirm existing travel plans"
3577693,130,"Maps"
3625806,127,"None of these"
3626067,144,"Access to resources to assist you to plan"
3626067,149,"General information about a different region"
3582855,137,"Maps"
3626068,99,"Maps"
3582855,138,"Overview of NZ regions"
3577710,148,"Maps"
3582864,118,"Maps"
3625822,127,"Transport/ travel options around New Zealand"
3626067,147,"Directions"
3582864,119,"Internet access"
3626068,98,"Weather information"
3626068,100,"Transport/ travel options around New Zealand"
3577710,147,"Weather information"
3582864,120,"Directions"
3626069,144,"General information about the region you were in"
3577710,149,"Accommodation in the region you were in"
3582864,121,"Transport/ travel options around New Zealand"
3625829,142,"Overview of NZ regions"
3626069,146,"Weather information"
3625831,127,"Accommodation in the region you were in"
3625831,128,"Transport/ travel options around New Zealand"
3582878,174,"Weather information"
3626069,151,"Information about amenities/services for the town you were in"
3625831,122,"General information about the region you were in"
3626069,152,"Accommodation in the region you were in"
3582878,171,"General information about the region you were in"
3582878,176,"To meet other travellers"
3626069,148,"Compare prices / find deals"
3626069,147,"Maps"
3625831,124,"Maps"
3626069,149,"Directions"
3625831,125,"Internet access"
3625831,126,"See ratings by other travellers"
3582878,173,"Access to resources to assist you to plan"
3626069,150,"General information about a different region"
3582878,175,"Maps"
3626069,153,"Accommodation in a different region"
3582878,177,"Internet access"
3582878,178,"Compare prices / find deals"
3626069,145,"Check/confirm existing travel plans"
3625831,123,"Check/confirm existing travel plans"
3582878,172,"Check/confirm existing travel plans"
3625831,129,"Flights within New Zealand"
3625831,130,"Attractions / Activities"
3626069,154,"Attractions / Activities"
3582878,179,"Directions"
3626085,122,"General information about the region you were in"
3577710,150,"Transport/ travel options around New Zealand"
3582878,182,"Information about amenities/services for the town you were in"
3582878,183,"Accommodation in the region you were in"
3626085,126,"Internet access"
3582878,185,"Transport/ travel options around New Zealand"
3626085,124,"Weather information"
3582880,130,"Weather information"
3626085,127,"Compare prices / find deals"
3626086,107,"To meet other travellers"
3582878,180,"General information about a different region"
3625847,100,"None of these"
3582880,131,"Internet access"
3582878,181,"See ratings by other travellers"
3582878,184,"Accommodation in a different region"
3582878,186,"Event information"
3582878,187,"Attractions / Activities"
3626085,123,"Check/confirm existing travel plans"
3626085,128,"Attractions / Activities"
3577710,151,"Flights within New Zealand"
3626086,106,"Check/confirm existing travel plans"
3626085,125,"Maps"
3626087,136,"Maps"
3577710,152,"Attractions / Activities"
3626087,134,"Check/confirm existing travel plans"
3626087,141,"Attractions / Activities"
3626087,142,"Suggested itineraries"
3582887,118,"Event information"
3626087,135,"Weather information"
3626087,139,"Information about amenities/services for the town you were in"
3626087,140,"Transport/ travel options around New Zealand"
3626087,137,"Information about Maori culture / cultural activities"
3582887,114,"Weather information"
3625863,144,"Weather information"
3626087,138,"Directions"
3582887,116,"Directions"
3625863,148,"Information about amenities/services for the town you were in"
3625863,146,"Information about Maori culture / cultural activities"
3625863,149,"Transport/ travel options around New Zealand"
3577744,146,"Internet access"
3577744,147,"Compare prices / find deals"
3625863,150,"Event information"
3577744,143,"Check/confirm existing travel plans"
3582887,115,"Maps"
3582887,117,"See ratings by other travellers"
3625863,145,"Maps"
3625863,147,"See ratings by other travellers"
3577744,144,"Access to resources to assist you to plan"
3577744,145,"Maps"
3577744,149,"See ratings by other travellers"
3582894,152,"Weather information"
3577744,148,"Directions"
3582894,153,"Directions"
3582894,154,"General information about a different region"
3626101,113,"Maps"
3626101,118,"Accommodation in a different region"
3582894,151,"Check/confirm existing travel plans"
3626101,111,"Check/confirm existing travel plans"
3582894,156,"Attractions / Activities"
3626101,119,"Event information"
3626101,114,"Compare prices / find deals"
3626101,112,"Weather information"
3582894,155,"Information about amenities/services for the town you were in"
3625881,112,"General information about the region you were in"
3625881,115,"Maps"
3625881,119,"General information about a different region"
3626101,115,"Overview of NZ regions"
3626101,116,"Information about amenities/services for the town you were in"
3625881,116,"Internet access"
3626101,117,"Accommodation in the region you were in"
3625881,117,"Compare prices / find deals"
3625881,114,"Weather information"
3625881,120,"Information about amenities/services for the town you were in"
3625881,121,"Transport/ travel options around New Zealand"
3577744,150,"Information about amenities/services for the town you were in"
3625881,118,"Directions"
3626102,174,"General information about the region you were in"
3626102,176,"Access to resources to assist you to plan"
3626102,177,"Weather information"
3626102,178,"Maps"
3582903,134,"Maps"
3626102,179,"To meet other travellers"
3625897,95,"Maps"
3582903,135,"General information about a different region"
3582903,136,"Accommodation in the region you were in"
3626102,180,"Internet access"
3582903,138,"Transport/ travel options around New Zealand"
3582903,137,"Accommodation in a different region"
3626102,184,"Overview of NZ regions"
3625897,97,"Information about amenities/services for the town you were in"
3626102,185,"General information about a different region"
3626102,181,"Information about Maori culture / cultural activities"
3626102,187,"Information about amenities/services for the town you were in"
3626102,186,"See ratings by other travellers"
3626102,182,"Compare prices / find deals"
3626102,183,"Directions"
3625897,96,"Internet access"
3626102,188,"Accommodation in the region you were in"
3626102,190,"Transport/ travel options around New Zealand"
3626102,189,"Accommodation in a different region"
3625881,113,"Check/confirm existing travel plans"
3625881,122,"Attractions / Activities"
3577744,151,"Attractions / Activities"
3626102,175,"Check/confirm existing travel plans"
3582903,139,"Event information"
3582903,140,"Attractions / Activities"
3625899,104,"General information about the region you were in"
3577746,97,"None of these"
3625899,105,"Transport/ travel options around New Zealand"
3582912,101,"Weather information"
3625904,160,"Access to resources to assist you to plan"
3626103,132,"Weather information"
3626103,134,"Information about amenities/services for the town you were in"
3626103,130,"General information about the region you were in"
3582912,100,"General information about the region you were in"
3625904,159,"General information about the region you were in"
3626102,191,"Flights within New Zealand"
3626102,192,"Event information"
3626103,133,"Directions"
3625904,162,"Information about Maori culture / cultural activities"
3625904,166,"Information about amenities/services for the town you were in"
3626102,193,"Attractions / Activities"
3626102,194,"Suggested itineraries"
3625899,106,"Event information"
3626103,131,"Check/confirm existing travel plans"
3626103,135,"Flights within New Zealand"
3626103,136,"Attractions / Activities"
3625904,161,"Maps"
3625904,164,"General information about a different region"
3625904,163,"Directions"
3582912,104,"Internet access"
3625904,167,"Event information"
3582912,102,"Maps"
3625904,165,"See ratings by other travellers"
3625904,168,"Attractions / Activities"
3626117,148,"Maps"
3582912,108,"General information about a different region"
3582912,111,"Event information"
3582912,109,"See ratings by other travellers"
3625906,122,"Check/confirm existing travel plans"
3582912,110,"Accommodation in a different region"
3582912,105,"Compare prices / find deals"
3582912,106,"Directions"
3626117,149,"Internet access"
3625906,121,"General information about the region you were in"
3582912,103,"To meet other travellers"
3582912,107,"Overview of NZ regions"
3625906,124,"Weather information"
3582912,112,"Attractions / Activities"
3625906,131,"Event information"
3625906,123,"Access to resources to assist you to plan"
3626117,150,"Accommodation in a different region"
3625906,125,"Maps"
3625906,129,"General information about a different region"
3625906,130,"See ratings by other travellers"
3582919,129,"Access to resources to assist you to plan"
3625906,126,"Internet access"
3625906,127,"Compare prices / find deals"
3626118,97,"Weather information"
3625906,128,"Directions"
3577759,114,"Internet access"
3577759,117,"Attractions / Activities"
3625915,138,"Check/confirm existing travel plans"
3626135,153,"Check/confirm existing travel plans"
3582946,126,"Flights within New Zealand"
3582946,127,"Suggested itineraries"
3582919,130,"Weather information"
3582919,131,"Information about amenities/services for the town you were in"
3577759,113,"Weather information"
3577759,116,"Information about amenities/services for the town you were in"
3625915,139,"Weather information"
3582946,123,"Weather information"
3577759,115,"Directions"
3625915,141,"Internet access"
3582946,125,"Internet access"
3625915,142,"Compare prices / find deals"
3626135,154,"Internet access"
3626118,98,"Maps"
3625915,140,"Maps"
3626135,155,"Overview of NZ regions"
3625915,144,"Overview of NZ regions"
3625915,145,"Accommodation in the region you were in"
3625915,147,"Transport/ travel options around New Zealand"
3582946,124,"Maps"
3625915,146,"Accommodation in a different region"
3626135,156,"Attractions / Activities"
3625915,148,"Event information"
3625915,149,"Attractions / Activities"
3582948,123,"Check/confirm existing travel plans"
3625922,135,"Attractions / Activities"
3582948,130,"Event information"
3582948,131,"Attractions / Activities"
3582948,124,"Access to resources to assist you to plan"
3625922,129,"Access to resources to assist you to plan"
3625922,131,"Maps"
3582948,125,"Maps"
3625922,133,"General information about a different region"
3582948,129,"Accommodation in a different region"
3625922,130,"Weather information"
3626136,116,"Weather information"
3582948,126,"To meet other travellers"
3625922,134,"Accommodation in the region you were in"
3582948,128,"Accommodation in the region you were in"
3577761,151,"Weather information"
3625915,143,"Directions"
3625922,132,"Compare prices / find deals"
3582948,127,"Information about Maori culture / cultural activities"
3577761,150,"General information about the region you were in"
3625931,119,"Flights within New Zealand"
3625931,120,"Event information"
3577761,156,"Overview of NZ regions"
3625931,115,"Weather information"
3625931,118,"Transport/ travel options around New Zealand"
3577761,158,"Information about amenities/services for the town you were in"
3626137,143,"None of these"
3577761,152,"Maps"
3577761,157,"General information about a different region"
3577761,153,"Internet access"
3577761,154,"Compare prices / find deals"
3577761,155,"Directions"
3625931,116,"Compare prices / find deals"
3625931,117,"Directions"
3582971,109,"General information about the region you were in"
3626154,112,"Weather information"
3582971,110,"Directions"
3626154,114,"Internet access"
3626154,113,"Maps"
3625947,120,"Maps"
3626154,115,"Directions"
3626185,173,"General information about the region you were in"
3582973,145,"Maps"
3582973,146,"General information about a different region"
3625954,119,"General information about the region you were in"
3626154,111,"Check/confirm existing travel plans"
3625954,124,"Internet access"
3625954,125,"Compare prices / find deals"
3625947,119,"Check/confirm existing travel plans"
3625954,126,"Directions"
3626185,176,"Internet access"
3626185,177,"Information about Maori culture / cultural activities"
3625954,120,"Check/confirm existing travel plans"
3626185,174,"Check/confirm existing travel plans"
3625954,121,"Access to resources to assist you to plan"
3626185,178,"Compare prices / find deals"
3625954,130,"Attractions / Activities"
3625954,123,"Maps"
3626185,175,"Maps"
3582973,148,"Accommodation in a different region"
3625954,129,"Accommodation in a different region"
3577761,159,"Accommodation in the region you were in"
3582973,144,"Weather information"
3625954,122,"Weather information"
3582973,147,"Accommodation in the region you were in"
3625954,127,"Information about amenities/services for the town you were in"
3625954,128,"Accommodation in the region you were in"
3626185,179,"Overview of NZ regions"
3626185,180,"General information about a different region"
3626185,181,"See ratings by other travellers"
3626185,182,"Information about amenities/services for the town you were in"
3626185,183,"Accommodation in the region you were in"
3626185,185,"Transport/ travel options around New Zealand"
3625963,126,"Accommodation in the region you were in"
3625963,128,"Transport/ travel options around New Zealand"
3625963,125,"Compare prices / find deals"
3626185,184,"Accommodation in a different region"
3582996,108,"Maps"
3625963,127,"Accommodation in a different region"
3626185,186,"Flights within New Zealand"
3577761,160,"Attractions / Activities"
3626185,187,"Event information"
3625963,124,"Check/confirm existing travel plans"
3582996,107,"Check/confirm existing travel plans"
3626185,188,"Attractions / Activities"
3582996,109,"Internet access"
3582996,110,"Compare prices / find deals"
3625963,129,"Flights within New Zealand"
3626186,174,"Maps"
3625965,195,"Maps"
3582996,113,"Event information"
3577761,161,"Suggested itineraries"
3625965,193,"Check/confirm existing travel plans"
3626186,178,"Flights within New Zealand"
3626186,179,"Attractions / Activities"
3582996,112,"Transport/ travel options around New Zealand"
3626186,176,"Accommodation in the region you were in"
3626186,177,"Transport/ travel options around New Zealand"
3625965,194,"Weather information"
3582996,111,"Directions"
3626186,173,"General information about the region you were in"
3626186,175,"Compare prices / find deals"
3625965,192,"General information about the region you were in"
3625965,196,"Internet access"
3583005,105,"General information about the region you were in"
3625965,197,"Information about Maori culture / cultural activities"
3625965,198,"Compare prices / find deals"
3625965,199,"Directions"
3583005,108,"Compare prices / find deals"
3583005,109,"Directions"
3626217,113,"General information about the region you were in"
3583005,106,"Weather information"
3625965,200,"Overview of NZ regions"
3626217,114,"Weather information"
3583005,107,"Maps"
3625965,201,"General information about a different region"
3626217,117,"General information about a different region"
3626217,115,"Internet access"
3626217,116,"Directions"
3583012,117,"General information about the region you were in"
3583012,121,"Internet access"
3583005,110,"Attractions / Activities"
3583012,118,"Check/confirm existing travel plans"
3626217,120,"Attractions / Activities"
3625965,206,"Flights within New Zealand"
3626217,118,"Information about amenities/services for the town you were in"
3626217,119,"Accommodation in the region you were in"
3583012,119,"Weather information"
3625965,202,"Information about amenities/services for the town you were in"
3625965,203,"Accommodation in the region you were in"
3625965,205,"Transport/ travel options around New Zealand"
3625965,204,"Accommodation in a different region"
3583012,122,"Information about amenities/services for the town you were in"
3583012,120,"Maps"
3626218,110,"Maps"
3583012,124,"Event information"
3625965,207,"Event information"
3583012,125,"Attractions / Activities"
3625965,208,"Attractions / Activities"
3626218,115,"Event information"
3625974,143,"Check/confirm existing travel plans"
3626218,111,"Compare prices / find deals"
3626218,112,"Directions"
3625974,142,"General information about the region you were in"
3625974,146,"Information about Maori culture / cultural activities"
3625974,147,"Compare prices / find deals"
3583012,123,"Transport/ travel options around New Zealand"
3583014,137,"Attractions / Activities"
3625974,150,"Attractions / Activities"
3583014,136,"Accommodation in the region you were in"
3625974,151,"Suggested itineraries"
3626218,113,"Information about amenities/services for the town you were in"
3626218,114,"Accommodation in the region you were in"
3625974,144,"Weather information"
3625974,149,"Transport/ travel options around New Zealand"
3577777,112,"Weather information"
3626235,130,"Weather information"
3583014,135,"Maps"
3625974,145,"Maps"
3583021,170,"None of these"
3577777,113,"Maps"
3626234,98,"None of these"
3577777,115,"See ratings by other travellers"
3625974,148,"Directions"
3577777,114,"Directions"
3577778,125,"Internet access"
3583037,113,"Access to resources to assist you to plan"
3583037,114,"Weather information"
3583037,115,"Internet access"
3626006,225,"General information about the region you were in"
3626235,132,"To meet other travellers"
3626235,131,"Maps"
3625773,118,"Maps"
3625773,119,"Internet access"
3577777,116,"Attractions / Activities"
3625773,120,"Information about Maori culture / cultural activities"
3626006,231,"Internet access"
3626235,129,"Check/confirm existing travel plans"
3626006,227,"Access to resources to assist you to plan"
3577778,128,"Attractions / Activities"
3626006,226,"Check/confirm existing travel plans"
3626006,229,"Maps"
3626251,160,"Maps"
3626251,158,"Check/confirm existing travel plans"
3577778,126,"Overview of NZ regions"
3577778,127,"Transport/ travel options around New Zealand"
3625773,117,"Weather information"
3626006,228,"Weather information"
3626006,230,"To meet other travellers"
3626251,159,"Weather information"
3625773,122,"Overview of NZ regions"
3625773,123,"See ratings by other travellers"
3625773,121,"Directions"
3626006,232,"Information about Maori culture / cultural activities"
3626006,233,"Compare prices / find deals"
3626006,234,"Directions"
3626251,161,"Internet access"
3625773,126,"Attractions / Activities"
3626251,163,"Flights within New Zealand"
3626251,164,"Suggested itineraries"
3625773,124,"Accommodation in the region you were in"
3626006,235,"Overview of NZ regions"
3626251,162,"Accommodation in the region you were in"
3625796,98,"Weather information"
3626006,238,"Information about amenities/services for the town you were in"
3626006,239,"Accommodation in the region you were in"
3626006,241,"Transport/ travel options around New Zealand"
3625796,100,"Internet access"
3625773,125,"Accommodation in a different region"
3626006,236,"General information about a different region"
3626006,237,"See ratings by other travellers"
3626006,240,"Accommodation in a different region"
3625796,102,"Information about amenities/services for the town you were in"
3625796,99,"Maps"
3577779,106,"Maps"
3626022,113,"Accommodation in the region you were in"
3626006,242,"Flights within New Zealand"
3626253,107,"Weather information"
3626006,243,"Event information"
3625798,137,"Maps"
3625805,166,"Access to resources to assist you to plan"
3625796,101,"Directions"
3626022,111,"Internet access"
3625805,167,"Weather information"
3626022,112,"Directions"
3626253,106,"General information about the region you were in"
3577779,107,"Directions"
3625805,164,"General information about the region you were in"
3625805,169,"Internet access"
3625805,170,"Compare prices / find deals"
3625805,171,"Directions"
3626040,109,"Internet access"
3626006,244,"Attractions / Activities"
3626006,245,"Suggested itineraries"
3626022,114,"Event information"
3626022,115,"Attractions / Activities"
3625805,165,"Check/confirm existing travel plans"
3625805,176,"Attractions / Activities"
3626040,110,"Directions"
3626271,144,"General information about the region you were in"
3625805,168,"Maps"
3625805,172,"See ratings by other travellers"
3626268,135,"None of these"
3625805,173,"Information about amenities/services for the town you were in"
3625805,174,"Accommodation in the region you were in"
3626271,146,"Weather information"
3626271,150,"Information about amenities/services for the town you were in"
3626271,148,"Directions"
3577795,164,"General information about the region you were in"
3626049,115,"Weather information"
3625807,120,"Weather information"
3625807,122,"Internet access"
3625805,175,"Accommodation in a different region"
3626271,147,"Maps"
3626271,149,"General information about a different region"
3625807,121,"Maps"
3626271,151,"Accommodation in a different region"
3626049,116,"Maps"
3577795,166,"Maps"
3626049,117,"Directions"
3577795,167,"Internet access"
3577795,165,"Weather information"
3577795,170,"Overview of NZ regions"
3577795,173,"Information about amenities/services for the town you were in"
3577795,168,"Compare prices / find deals"
3625814,148,"To meet other travellers"
3626054,155,"Weather information"
3577795,169,"Directions"
3626054,153,"General information about the region you were in"
3577795,171,"General information about a different region"
3625814,146,"General information about the region you were in"
3577795,172,"See ratings by other travellers"
3625814,149,"Internet access"
3626285,104,"General information about the region you were in"
3625814,150,"Compare prices / find deals"
3625814,147,"Maps"
3626054,156,"Maps"
3625814,152,"See ratings by other travellers"
3625814,151,"Directions"
3626054,157,"Internet access"
3625814,153,"Accommodation in a different region"
3626054,158,"Information about Maori culture / cultural activities"
3626054,159,"Compare prices / find deals"
3625805,177,"Suggested itineraries"
3626271,145,"Check/confirm existing travel plans"
3625807,123,"Flights within New Zealand"
3626054,154,"Check/confirm existing travel plans"
3626285,105,"Check/confirm existing travel plans"
3625814,154,"Flights within New Zealand"
3626285,107,"To meet other travellers"
3626285,108,"Information about amenities/services for the town you were in"
3625814,155,"Event information"
3625814,156,"Attractions / Activities"
3626285,106,"Maps"
3577795,175,"Accommodation in a different region"
3626054,161,"Attractions / Activities"
3625823,120,"Maps"
3625823,121,"See ratings by other travellers"
3626285,109,"Event information"
3626287,135,"Access to resources to assist you to plan"
3577795,177,"Attractions / Activities"
3626054,160,"Directions"
3626287,138,"Compare prices / find deals"
3577795,174,"Accommodation in the region you were in"
3626287,134,"Check/confirm existing travel plans"
3577795,176,"Transport/ travel options around New Zealand"
3626287,141,"Attractions / Activities"
3625823,119,"Weather information"
3626287,136,"Weather information"
3625830,138,"Flights within New Zealand"
3626287,139,"Overview of NZ regions"
3626287,140,"Transport/ travel options around New Zealand"
3626065,100,"None of these"
3626079,119,"Attractions / Activities"
3626079,120,"Suggested itineraries"
3626287,137,"Maps"
3626303,113,"Maps"
3625830,137,"Internet access"
3626301,104,"Event information"
3626079,116,"General information about the region you were in"
3577796,142,"General information about the region you were in"
3626303,115,"Flights within New Zealand"
3626301,102,"Compare prices / find deals"
3626303,116,"Attractions / Activities"
3577796,144,"Internet access"
3626303,114,"Internet access"
3625839,132,"Event information"
3625839,127,"General information about the region you were in"
3625839,133,"Attractions / Activities"
3625839,130,"Internet access"
3625839,129,"Maps"
3625839,131,"General information about a different region"
