"SurveyResponseID","AnswerNumber","TechnologyUses"
3557378,145,"Check/confirm existing travel plans"
3557378,146,"Weather information"
3557376,117,"Directions"
3557416,108,"Directions"
3557396,189,"Directions"
3557378,144,"General information about the region you were in"
3557378,148,"Internet access"
3557378,149,"Information about Maori culture / cultural activities"
3557378,147,"Maps"
3557418,107,"Maps"
3557378,151,"Overview of NZ regions"
3557378,152,"Information about amenities/services for the town you were in"
3557378,153,"Transport/ travel options around New Zealand"
3557398,102,"Weather information"
3557383,146,"Weather information"
3557398,103,"Maps"
3557430,159,"Maps"
3557430,162,"General information about a different region"
3557430,163,"See ratings by other travellers"
3557430,158,"Weather information"
3557430,161,"Overview of NZ regions"
3557430,164,"Accommodation in the region you were in"
3557378,150,"Directions"
3557418,108,"Internet access"
3557430,160,"Internet access"
3557436,143,"General information about the region you were in"
3557383,148,"Internet access"
3557383,149,"Compare prices / find deals"
3557383,150,"Directions"
3557436,147,"Internet access"
3557383,147,"Maps"
3557383,151,"General information about a different region"
3557432,158,"General information about the region you were in"
3557436,148,"Information about Maori culture / cultural activities"
3557436,149,"Directions"
3557432,163,"Internet access"
3557432,164,"Compare prices / find deals"
3557383,152,"Transport/ travel options around New Zealand"
3557436,145,"Weather information"
3557432,160,"Weather information"
3557432,162,"To meet other travellers"
3557436,152,"Information about amenities/services for the town you were in"
3557436,153,"Accommodation in the region you were in"
3557436,146,"Maps"
3557432,161,"Maps"
3557436,150,"General information about a different region"
3557436,151,"See ratings by other travellers"
3557432,167,"See ratings by other travellers"
3557432,165,"Directions"
3557450,125,"General information about the region you were in"
3557436,154,"Transport/ travel options around New Zealand"
3557432,166,"Overview of NZ regions"
3557432,168,"Information about amenities/services for the town you were in"
3557432,169,"Accommodation in the region you were in"
3557432,170,"Transport/ travel options around New Zealand"
3557450,127,"Weather information"
3557450,126,"Access to resources to assist you to plan"
3557450,128,"Maps"
3557450,130,"General information about a different region"
3557436,144,"Check/confirm existing travel plans"
3557450,133,"Accommodation in a different region"
3557383,153,"Flights within New Zealand"
3557432,159,"Check/confirm existing travel plans"
3557432,171,"Attractions / Activities"
3557383,154,"Event information"
3557450,134,"Attractions / Activities"
3557432,172,"Suggested itineraries"
3557383,155,"Attractions / Activities"
3557452,129,"Check/confirm existing travel plans"
3557450,131,"Information about amenities/services for the town you were in"
3557450,132,"Accommodation in the region you were in"
3557450,129,"Directions"
3557446,120,"Internet access"
3557452,130,"Weather information"
3557446,121,"Directions"
3557452,131,"Directions"
3557446,119,"Check/confirm existing travel plans"
3557452,133,"Attractions / Activities"
3557448,122,"Internet access"
3557448,123,"Information about Maori culture / cultural activities"
3557446,122,"Accommodation in a different region"
3557448,120,"Access to resources to assist you to plan"
3557448,121,"Maps"
3557448,125,"See ratings by other travellers"
3557452,132,"Transport/ travel options around New Zealand"
3557448,126,"Event information"
3557385,150,"Check/confirm existing travel plans"
3557461,142,"Weather information"
3557385,152,"Weather information"
3557385,151,"Access to resources to assist you to plan"
3557448,124,"Directions"
3557385,149,"General information about the region you were in"
3557461,141,"General information about the region you were in"
3557461,144,"Internet access"
3557461,145,"Compare prices / find deals"
3557461,143,"Maps"
3557461,148,"See ratings by other travellers"
3557461,150,"Accommodation in a different region"
3557466,134,"Access to resources to assist you to plan"
3557461,147,"Overview of NZ regions"
3557461,149,"Accommodation in the region you were in"
3557466,135,"Weather information"
3557497,134,"Attractions / Activities"
3557466,139,"Attractions / Activities"
3557461,146,"Directions"
3557497,133,"Directions"
3557466,136,"Compare prices / find deals"
3557497,132,"Maps"
3557466,138,"See ratings by other travellers"
3557497,131,"Weather information"
3557466,137,"Overview of NZ regions"
3557466,140,"Suggested itineraries"
3557385,154,"Internet access"
3557385,155,"Information about Maori culture / cultural activities"
