"SurveyResponseID","AnswerNumber","AirlineUsed","AirlineRating"
3557407,143,"JetStar","7"
3558811,136,"Another airline",NA
3557424,120,"Air New Zealand","8"
3557428,164,"Air New Zealand","7"
3557591,162,"Another airline",NA
3557432,181,"Another airline",NA
3557507,157,"China Southern","Excellent  10"
3558843,155,"JetStar","Excellent  10"
3558873,160,"American Airlines","9"
3557595,170,"China Southern","6"
3558799,101,"Air New Zealand","9"
3557515,168,"China Southern","6"
3558839,164,"Emirates","9"
3557355,127,"Qantas","Excellent  10"
3557544,128,"American Airlines","3"
3558933,167,"Qantas","5"
3557663,133,"Singapore Airlines","Excellent  10"
3557464,104,"Emirates","Excellent  10"
3557512,156,"Emirates","8"
3557416,120,"Qantas","9"
3558847,182,"Qantas","4"
3557599,114,"Singapore Airlines","8"
3557488,181,"Another airline",NA
3558905,165,"Another airline",NA
3557540,157,"Another airline",NA
3557675,112,"China Southern","7"
3557468,131,"Air New Zealand","4"
3557647,129,"Air New Zealand","8"
3558897,132,"Air New Zealand","9"
3558945,152,"JetStar","8"
3557679,125,"Another airline",NA
3557550,183,"Air Asia X","7"
3558969,105,"Air New Zealand","9"
3558937,138,"Qantas","7"
3557603,144,"Lufthansa","7"
3557623,139,"Emirates","6"
3559001,138,"Virgin/Virgin Blue/Pacific Blue","5"
3557554,189,"Emirates","9"
3557743,204,"Cathay Pacific","8"
3558981,132,"Emirates","7"
3559021,109,"Virgin/Virgin Blue/Pacific Blue","Excellent  10"
3558977,137,"Qantas","8"
3557727,180,"Emirates","7"
3557751,239,"Emirates","9"
3558985,145,"Virgin/Virgin Blue/Pacific Blue","8"
3559049,182,"Emirates","7"
3557707,109,"Korean Air","Excellent  10"
3557298,159,"Cathay Pacific","8"
3557687,167,"Another airline",NA
3557564,146,"Air New Zealand","9"
3557715,104,"Air New Zealand",NA
3557616,123,"Air New Zealand","9"
3557628,147,"China Southern","7"
3559025,144,"Air New Zealand","9"
3557608,158,"Air New Zealand","8"
3557566,118,"Emirates","Excellent  10"
3557358,119,"Emirates","9"
3557640,222,"Air New Zealand","9"
3557809,114,"Air New Zealand","Excellent  10"
3557346,134,"Air New Zealand","8"
3557676,164,"Another airline",NA
3557660,138,"Korean Air","Excellent  10"
3557664,186,"Lufthansa","7"
3559143,105,"Air New Zealand","Excellent  10"
3559029,102,"Not sure",NA
3557310,114,"Another airline",NA
3559073,123,"Virgin/Virgin Blue/Pacific Blue","6"
3557558,184,"Another airline",NA
3559159,134,"Virgin/Virgin Blue/Pacific Blue","8"
3559061,135,"Emirates","8"
3559057,149,"Air New Zealand","Excellent  10"
3557744,180,"Another airline",NA
3557652,158,"Emirates","Excellent  10"
3557823,206,"Another airline",NA
3557596,130,"Qantas","Excellent  10"
3557829,185,"Cathay Pacific","8"
3559065,128,"Qantas","9"
3557560,120,"Air New Zealand","9"
3557775,116,"Emirates","9"
3559175,161,"Cathay Pacific","6"
3557847,155,"Another airline",NA
3559097,139,"Qantas","Excellent  10"
3557378,166,"Another airline",NA
3557815,140,"Emirates","9"
3557390,109,"Emirates","9"
3557764,112,"Korean Air","Excellent  10"
3557446,140,"Another airline",NA
3557788,133,"Korean Air","9"
3557338,112,"American Airlines","4"
3559191,167,"Another airline",NA
3557680,189,"Emirates","Excellent  10"
3557326,146,"Another airline",NA
3557724,155,"Emirates","Excellent  10"
3557362,120,"Air New Zealand","9"
3557418,117,"Emirates","8"
3557708,108,"Air New Zealand","9"
3557756,120,"Emirates","Excellent  10"
3559101,150,"Qantas","Excellent  10"
3557398,110,"Qantas","7"
3557833,121,"Korean Air","Excellent  10"
3557732,123,"Korean Air","9"
3557406,118,"Korean Air","Excellent  10"
3559187,166,"Cathay Pacific","9"
3557827,170,"Emirates","Excellent  10"
3557911,135,"Emirates","7"
3559207,162,"JetStar","8"
3557450,145,"Air New Zealand","Excellent  10"
3557800,171,"Emirates","8"
3557991,145,"American Airlines","9"
3559109,108,"Qantas","7"
3557648,183,"Emirates","9"
3557817,109,"Emirates","Excellent  10"
3557783,196,"Air Asia X","6"
3557821,150,"Another airline",NA
3557370,108,"Another airline",NA
3559171,109,"Virgin/Virgin Blue/Pacific Blue","3"
3559183,158,"Singapore Airlines","Excellent  10"
3557819,163,"Emirates","Excellent  10"
3557825,143,"Emirates",NA
