"SurveyResponseID","AnswerNumber","iSiteUsage"
3557558,117,"Information about amenities/services for the town you were in"
3557558,119,"Something else"
3557488,108,"Information about amenities/services for the town you were in"
3557488,109,"Accommodation in the region you were in"
3557487,102,"Attractions / Activities"
3557396,135,"Attractions / Activities"
3557558,112,"General information about the region you were in"
3557558,115,"Compare prices / find deals"
3557558,116,"Overview of NZ regions"
3557558,118,"Attractions / Activities"
3557488,110,"Attractions / Activities"
3557670,80,"Overview of NZ regions"
3557489,92,"General information about the region you were in"
3557670,82,"Information about amenities/services for the town you were in"
3557430,108,"General information about the region you were in"
3557670,83,"Transport/ travel options around New Zealand"
3557603,86,"General information about the region you were in"
3557670,84,"Event information"
3557488,107,"Maps"
3557670,77,"Weather information"
3557430,109,"Check/confirm existing travel plans"
3557489,96,"Attractions / Activities"
3557430,112,"Compare prices / find deals"
3557430,113,"Overview of NZ regions"
3557430,114,"Attractions / Activities"
3557489,95,"Information about amenities/services for the town you were in"
3557603,88,"Information about amenities/services for the town you were in"
3557670,78,"Maps"
3557489,93,"Internet access"
3557430,110,"Weather information"
3557430,111,"Maps"
3557608,91,"Maps"
3557670,79,"Directions"
3557670,81,"General information about a different region"
3557489,94,"Directions"
3557603,87,"General information about a different region"
3557670,86,"Suggested itineraries"
3557608,90,"Access to resources to assist you to plan"
3557608,92,"Information about Maori culture / cultural activities"
3557608,93,"General information about a different region"
3557610,109,"Transport/ travel options around New Zealand"
3557670,85,"Attractions / Activities"
3557608,89,"General information about the region you were in"
3557608,94,"Attractions / Activities"
3557432,100,"General information about the region you were in"
3557610,107,"General information about the region you were in"
3557677,105,"General information about the region you were in"
3557610,110,"Attractions / Activities"
3557505,86,"General information about the region you were in"
3557505,87,"Check/confirm existing travel plans"
3557610,108,"Maps"
3557505,88,"Maps"
3557432,102,"Maps"
3557432,103,"Internet access"
3557617,116,"Weather information"
3557432,104,"Compare prices / find deals"
3557432,106,"Overview of NZ regions"
3557432,107,"Attractions / Activities"
3557617,115,"General information about the region you were in"
3557505,90,"Attractions / Activities"
3557432,101,"Access to resources to assist you to plan"
3557432,105,"Directions"
3557617,117,"Directions"
3557505,91,"Suggested itineraries"
3557617,118,"Suggested itineraries"
3557505,89,"Transport/ travel options around New Zealand"
3557677,107,"Access to resources to assist you to plan"
3557677,108,"Weather information"
3557677,112,"General information about a different region"
3557677,113,"Suggested itineraries"
3557677,109,"Maps"
3557677,110,"Internet access"
3557448,83,"Maps"
3557626,116,"Weather information"
3557626,119,"General information about a different region"
3557677,106,"Check/confirm existing travel plans"
3557677,111,"Overview of NZ regions"
3557626,114,"General information about the region you were in"
3557626,115,"Check/confirm existing travel plans"
3557626,118,"Compare prices / find deals"
3557626,121,"Attractions / Activities"
3557626,120,"Event information"
3557507,109,"General information about the region you were in"
3557507,110,"Check/confirm existing travel plans"
3557693,90,"General information about the region you were in"
3557626,117,"Maps"
3557507,112,"Weather information"
3557507,113,"Maps"
3557507,114,"Internet access"
3557479,127,"Weather information"
3557507,118,"Attractions / Activities"
3557637,129,"General information about the region you were in"
3557479,128,"Maps"
3557637,132,"Maps"
3557507,117,"Event information"
3557637,137,"Information about amenities/services for the town you were in"
3557637,138,"Accommodation in the region you were in"
3557637,139,"Accommodation in a different region"
3557637,140,"Transport/ travel options around New Zealand"
3557637,141,"Event information"
3557507,111,"Access to resources to assist you to plan"
3557507,115,"Directions"
3557507,116,"General information about a different region"
3557637,131,"Access to resources to assist you to plan"
3557637,135,"Directions"
3557637,136,"General information about a different region"
3557702,72,"Directions"
3557497,96,"General information about a different region"
3557479,129,"Overview of NZ regions"
3557637,130,"Check/confirm existing travel plans"
3557637,134,"Compare prices / find deals"
3557637,142,"Attractions / Activities"
3557702,70,"General information about the region you were in"
3557497,97,"Attractions / Activities"
3557637,143,"Something else"
3557538,78,"Transport/ travel options around New Zealand"
3557539,90,"Information about amenities/services for the town you were in"
3557498,101,"Information about amenities/services for the town you were in"
3557498,102,"Event information"
