"SurveyResponseID","AnswerNumber","iSiteUsage"
3582530,140,"Directions"
3582133,91,"Suggested itineraries"
3582146,88,"General information about a different region"
3582146,90,"Suggested itineraries"
3579816,108,"Information about Maori culture / cultural activities"
3579816,110,"Directions"
3582180,109,"Suggested itineraries"
3582569,177,"Access to resources to assist you to plan"
3582569,181,"Information about Maori culture / cultural activities"
3582569,183,"Directions"
3582569,185,"General information about a different region"
3579816,107,"Maps"
3582569,178,"Weather information"
3582569,179,"Maps"
3582569,180,"Internet access"
3582569,186,"Information about amenities/services for the town you were in"
3582569,187,"Accommodation in the region you were in"
3582569,188,"Accommodation in a different region"
3582569,189,"Transport/ travel options around New Zealand"
3582569,190,"Event information"
3582569,192,"Something else"
3583347,81,"Maps"
3583349,95,"Weather information"
3583349,94,"Access to resources to assist you to plan"
3582569,182,"Compare prices / find deals"
3582569,184,"Overview of NZ regions"
3579867,68,"Transport/ travel options around New Zealand"
3582569,191,"Attractions / Activities"
3579867,69,"Attractions / Activities"
3583347,82,"Information about amenities/services for the town you were in"
3583347,84,"Attractions / Activities"
3583347,83,"Event information"
3583349,93,"General information about the region you were in"
3583349,98,"Information about amenities/services for the town you were in"
3583349,99,"Accommodation in the region you were in"
3583349,100,"Accommodation in a different region"
3583349,101,"Transport/ travel options around New Zealand"
3583349,97,"General information about a different region"
3583349,102,"Attractions / Activities"
3583379,86,"General information about the region you were in"
3582587,109,"Compare prices / find deals"
3582587,110,"Overview of NZ regions"
3579885,105,"Directions"
3583379,88,"General information about a different region"
3582182,94,"Directions"
3582587,108,"Access to resources to assist you to plan"
3582182,98,"Suggested itineraries"
3583349,96,"Maps"
3579885,104,"Maps"
3583379,89,"Information about amenities/services for the town you were in"
3583379,87,"Maps"
3582182,93,"Internet access"
3583379,90,"Event information"
3582182,95,"Information about amenities/services for the town you were in"
3582182,96,"Accommodation in a different region"
3582182,97,"Transport/ travel options around New Zealand"
3582587,111,"Event information"
3583690,82,"Maps"
3583697,89,"Maps"
3582605,108,"Maps"
3582605,109,"Internet access"
3582587,112,"Something else"
3583697,90,"Information about amenities/services for the town you were in"
3583697,91,"Accommodation in the region you were in"
3583697,92,"Accommodation in a different region"
3583697,93,"Event information"
3582605,111,"Accommodation in a different region"
3583713,102,"Maps"
3583713,103,"Internet access"
3582605,112,"Transport/ travel options around New Zealand"
3582605,113,"Event information"
3579885,106,"Information about amenities/services for the town you were in"
3582605,110,"General information about a different region"
3583713,104,"Information about Maori culture / cultural activities"
3582605,107,"General information about the region you were in"
3579885,107,"Attractions / Activities"
3582621,83,"Maps"
3579933,83,"Maps"
3582621,84,"Transport/ travel options around New Zealand"
3583708,96,"Compare prices / find deals"
3583713,101,"General information about the region you were in"
3583713,105,"Attractions / Activities"
3582621,85,"Attractions / Activities"
3579933,82,"Check/confirm existing travel plans"
3582214,122,"General information about the region you were in"
3579933,85,"Overview of NZ regions"
3582214,123,"Check/confirm existing travel plans"
3583765,89,"Compare prices / find deals"
3583765,90,"Attractions / Activities"
3582680,112,"Attractions / Activities"
3579933,86,"Event information"
3583758,66,"Internet access"
3582678,93,"Something else"
3579933,84,"Directions"
3579933,87,"Suggested itineraries"
3582721,131,"General information about the region you were in"
3583815,110,"Attractions / Activities"
3579951,93,"Compare prices / find deals"
3582721,132,"Information about amenities/services for the town you were in"
3579951,95,"Transport/ travel options around New Zealand"
3583822,102,"Attractions / Activities"
3582744,106,"General information about the region you were in"
3579965,118,"Information about amenities/services for the town you were in"
3582721,133,"Suggested itineraries"
3579965,119,"Accommodation in the region you were in"
3579951,94,"Directions"
3579951,96,"Suggested itineraries"
3582744,108,"Information about Maori culture / cultural activities"
3583840,97,"Access to resources to assist you to plan"
3579965,120,"Transport/ travel options around New Zealand"
3582214,124,"Access to resources to assist you to plan"
3583840,98,"Overview of NZ regions"
3583840,99,"Attractions / Activities"
3582214,128,"Information about Maori culture / cultural activities"
3582214,129,"Directions"
3583856,113,"Suggested itineraries"
3582214,131,"General information about a different region"
3583856,110,"General information about the region you were in"
3583856,112,"Attractions / Activities"
3582214,130,"Overview of NZ regions"
3583856,111,"Information about amenities/services for the town you were in"
3582214,132,"Information about amenities/services for the town you were in"
3579951,92,"Maps"
3583822,101,"Maps"
3579965,117,"Maps"
3582744,107,"Maps"
3583881,95,"General information about the region you were in"
3582214,133,"Accommodation in the region you were in"
3582214,125,"Weather information"
3582214,126,"Maps"
3582214,127,"Internet access"
3583881,97,"Information about amenities/services for the town you were in"
3583881,98,"Attractions / Activities"
3582214,137,"Attractions / Activities"
3582744,109,"Overview of NZ regions"
3583897,106,"General information about the region you were in"
3582216,101,"General information about the region you were in"
3582744,110,"General information about a different region"
3582216,102,"Access to resources to assist you to plan"
3582214,134,"Accommodation in a different region"
3582214,135,"Transport/ travel options around New Zealand"
3582214,136,"Event information"
3583881,96,"Maps"
3580016,97,"Maps"
3582216,103,"Maps"
3582216,104,"Internet access"
3583897,107,"Weather information"
3583897,111,"Overview of NZ regions"
3583897,116,"Attractions / Activities"
3583897,113,"Information about amenities/services for the town you were in"
3583897,114,"Accommodation in a different region"
3583897,115,"Event information"
3582217,91,"Something else"
3580016,98,"Transport/ travel options around New Zealand"
3583897,108,"Maps"
3583897,109,"Internet access"
3583933,100,"Information about amenities/services for the town you were in"
3582216,105,"Directions"
3583897,110,"Directions"
3583933,101,"Event information"
3583933,97,"General information about the region you were in"
3583897,112,"General information about a different region"
3580016,99,"Suggested itineraries"
3583933,98,"Directions"
3583933,99,"General information about a different region"
3583933,102,"Suggested itineraries"
3582232,117,"Maps"
3625772,133,"Maps"
3582232,118,"Directions"
3625772,132,"Access to resources to assist you to plan"
3625772,135,"Directions"
3625772,136,"General information about a different region"
3582762,100,"Directions"
3582232,122,"Suggested itineraries"
3582232,119,"Overview of NZ regions"
3625772,131,"General information about the region you were in"
3625772,134,"Compare prices / find deals"
3582762,98,"General information about the region you were in"
3582232,121,"Attractions / Activities"
3625772,137,"Information about amenities/services for the town you were in"
3582232,120,"Flights within New Zealand"
3582762,99,"Maps"
3580035,69,"Maps"
3580035,70,"Internet access"
3580035,74,"Accommodation in the region you were in"
3580035,75,"Accommodation in a different region"
3580035,76,"Transport/ travel options around New Zealand"
3582248,89,"Accommodation in the region you were in"
3582248,90,"Accommodation in a different region"
3580035,72,"Directions"
3582769,102,"General information about a different region"
3580049,69,"Directions"
3582248,88,"Directions"
3582248,87,"Maps"
3582780,88,"Maps"
3580035,68,"General information about the region you were in"
3580035,71,"Compare prices / find deals"
3580035,73,"Overview of NZ regions"
3582769,101,"General information about the region you were in"
3582769,103,"Attractions / Activities"
3582248,91,"Attractions / Activities"
3582248,92,"Suggested itineraries"
3582780,89,"Directions"
3582780,92,"Suggested itineraries"
3580068,85,"Access to resources to assist you to plan"
3580068,87,"Directions"
3580068,91,"Suggested itineraries"
3582794,106,"Directions"
3580084,121,"General information about a different region"
3580068,86,"Maps"
3582794,105,"Maps"
3580068,83,"General information about the region you were in"
3580068,84,"Check/confirm existing travel plans"
3580068,88,"Overview of NZ regions"
3580068,90,"Attractions / Activities"
3580069,130,"General information about the region you were in"
3580069,133,"Attractions / Activities"
3582780,90,"Accommodation in a different region"
3582780,91,"Transport/ travel options around New Zealand"
3580068,89,"Information about amenities/services for the town you were in"
3582794,107,"Information about amenities/services for the town you were in"
3580069,132,"Event information"
3580084,122,"Information about amenities/services for the town you were in"
3625772,138,"Accommodation in the region you were in"
3625772,139,"Accommodation in a different region"
3580069,131,"Maps"
3625779,138,"Weather information"
3625779,139,"Maps"
3625779,140,"Internet access"
3582331,100,"Maps"
3582331,101,"Internet access"
3625772,140,"Attractions / Activities"
3625779,137,"General information about the region you were in"
3625779,141,"Compare prices / find deals"
3580084,123,"Attractions / Activities"
3625779,142,"Directions"
3582331,99,"Access to resources to assist you to plan"
3582331,102,"Information about Maori culture / cultural activities"
3582331,104,"Directions"
3582331,106,"General information about a different region"
3582331,112,"Suggested itineraries"
3582331,107,"Information about amenities/services for the town you were in"
3582331,108,"Accommodation in a different region"
3582331,109,"Transport/ travel options around New Zealand"
3582331,110,"Event information"
3625779,144,"Accommodation in the region you were in"
3582331,98,"General information about the region you were in"
3582331,103,"Compare prices / find deals"
3582331,105,"Overview of NZ regions"
3582331,111,"Attractions / Activities"
3625779,143,"Overview of NZ regions"
3625779,145,"Attractions / Activities"
3582805,90,"General information about the region you were in"
3582805,91,"Transport/ travel options around New Zealand"
3580086,87,"Access to resources to assist you to plan"
3582349,111,"Directions"
3580086,90,"Information about Maori culture / cultural activities"
3580086,88,"Maps"
3625781,115,"Weather information"
3625781,116,"Maps"
3580086,89,"Internet access"
3582805,92,"Attractions / Activities"
3580086,85,"General information about the region you were in"
3580086,86,"Check/confirm existing travel plans"
3582349,108,"General information about the region you were in"
3582349,110,"Compare prices / find deals"
3582349,112,"Accommodation in the region you were in"
3582349,109,"Maps"
3625790,97,"Weather information"
3580086,91,"Compare prices / find deals"
3582349,113,"Attractions / Activities"
3580086,95,"Attractions / Activities"
3625781,118,"Attractions / Activities"
3625790,95,"General information about the region you were in"
3580086,92,"Directions"
3625781,119,"Suggested itineraries"
3625790,96,"Access to resources to assist you to plan"
3625790,100,"Directions"
3625790,101,"General information about a different region"
3625790,98,"Maps"
3625797,112,"Maps"
3625790,103,"Suggested itineraries"
3625820,88,"Maps"
3580116,83,"Maps"
3580086,93,"Information about amenities/services for the town you were in"
3580086,94,"Event information"
3625781,117,"Information about amenities/services for the town you were in"
3580102,81,"Transport/ travel options around New Zealand"
3625820,89,"Transport/ travel options around New Zealand"
3625790,99,"Compare prices / find deals"
3625790,102,"Attractions / Activities"
3625797,113,"Directions"
3580116,85,"Directions"
3580116,87,"Suggested itineraries"
3625822,83,"Access to resources to assist you to plan"
3580117,98,"Maps"
3625822,84,"Maps"
3580117,99,"Information about amenities/services for the town you were in"
3625797,111,"General information about the region you were in"
3625797,114,"Attractions / Activities"
3582812,83,"Check/confirm existing travel plans"
3580116,84,"Compare prices / find deals"
3582855,96,"Access to resources to assist you to plan"
3625822,86,"Directions"
3625829,95,"Access to resources to assist you to plan"
3625822,87,"Flights within New Zealand"
3625829,98,"See ratings by other travellers"
3625829,99,"Information about amenities/services for the town you were in"
3625829,100,"Accommodation in the region you were in"
3625829,101,"Transport/ travel options around New Zealand"
3580136,106,"Something else"
3580116,86,"Overview of NZ regions"
3580117,97,"General information about the region you were in"
3625829,96,"Maps"
3580149,97,"Weather information"
3625829,103,"Suggested itineraries"
3625822,85,"Compare prices / find deals"
3625829,94,"Check/confirm existing travel plans"
3625829,97,"Overview of NZ regions"
3625829,102,"Attractions / Activities"
3580149,96,"General information about the region you were in"
3625863,93,"General information about the region you were in"
3582381,87,"Maps"
3625863,94,"Maps"
3625872,107,"Weather information"
3580149,98,"Information about amenities/services for the town you were in"
3625863,95,"Event information"
3582381,89,"Information about amenities/services for the town you were in"
3582381,90,"Accommodation in the region you were in"
3582381,91,"Accommodation in a different region"
3625872,109,"Accommodation in the region you were in"
3625872,110,"Accommodation in a different region"
3625904,100,"Attractions / Activities"
3582381,88,"Directions"
3581055,105,"General information about a different region"
3625904,97,"Access to resources to assist you to plan"
3625904,99,"General information about a different region"
3625915,98,"Transport/ travel options around New Zealand"
3582855,100,"Information about amenities/services for the town you were in"
3582855,101,"Accommodation in the region you were in"
3582855,102,"Accommodation in a different region"
3582855,99,"General information about a different region"
3582447,101,"Access to resources to assist you to plan"
3582447,102,"General information about a different region"
3582855,103,"Transport/ travel options around New Zealand"
3582855,104,"Flights within New Zealand"
3625931,80,"Information about amenities/services for the town you were in"
3625931,81,"Event information"
3582448,87,"Accommodation in the region you were in"
3582448,88,"Accommodation in a different region"
3582855,98,"Overview of NZ regions"
3582447,100,"General information about the region you were in"
3582855,105,"Suggested itineraries"
3625915,99,"Attractions / Activities"
3582447,103,"Attractions / Activities"
3625872,108,"Maps"
3581055,103,"Weather information"
3581055,104,"Maps"
3625904,98,"Maps"
3582448,90,"Attractions / Activities"
3582855,97,"Maps"
3625947,82,"Maps"
3625947,81,"General information about the region you were in"
3625947,84,"Attractions / Activities"
3625954,82,"Overview of NZ regions"
3582464,95,"General information about the region you were in"
3625954,81,"Directions"
3582464,97,"Directions"
3625965,132,"General information about the region you were in"
3581055,106,"Attractions / Activities"
3625965,136,"Overview of NZ regions"
3582448,89,"Transport/ travel options around New Zealand"
3625947,83,"Information about amenities/services for the town you were in"
3625954,83,"Information about amenities/services for the town you were in"
3582464,98,"Information about amenities/services for the town you were in"
3625965,139,"Attractions / Activities"
3625974,100,"Compare prices / find deals"
3625974,101,"Attractions / Activities"
3625965,137,"Information about amenities/services for the town you were in"
3625965,138,"Transport/ travel options around New Zealand"
3625965,135,"Directions"
3625974,98,"Access to resources to assist you to plan"
3625974,102,"Suggested itineraries"
3626006,156,"Access to resources to assist you to plan"
3582499,109,"Access to resources to assist you to plan"
3582464,96,"Maps"
3625965,133,"Maps"
3625965,134,"Internet access"
3582880,96,"Maps"
3625974,99,"Maps"
3582499,107,"General information about the region you were in"
3626006,155,"General information about the region you were in"
3582499,108,"Check/confirm existing travel plans"
3582499,111,"Compare prices / find deals"
3626006,158,"Compare prices / find deals"
3582499,113,"Attractions / Activities"
3626006,161,"Attractions / Activities"
3582499,112,"General information about a different region"
3626006,159,"Directions"
3582499,114,"Suggested itineraries"
3626006,160,"Information about amenities/services for the town you were in"
3626006,162,"Something else"
3582894,98,"Information about amenities/services for the town you were in"
3582501,99,"Information about amenities/services for the town you were in"
3582501,100,"Transport/ travel options around New Zealand"
3626022,75,"Information about amenities/services for the town you were in"
3582894,99,"Attractions / Activities"
3582894,97,"Directions"
3626022,74,"Directions"
3581055,107,"Suggested itineraries"
3582516,82,"Access to resources to assist you to plan"
3582501,98,"Compare prices / find deals"
3582501,101,"Attractions / Activities"
3582516,81,"General information about the region you were in"
3581069,98,"Attractions / Activities"
3582517,77,"Attractions / Activities"
3626054,104,"General information about the region you were in"
3626054,105,"Check/confirm existing travel plans"
3626054,107,"Information about Maori culture / cultural activities"
3582894,96,"Maps"
3626006,157,"Maps"
3582903,83,"General information about a different region"
3582499,110,"Maps"
3582501,97,"Maps"
3626054,106,"Maps"
3582566,88,"Maps"
3626113,110,"Weather information"
3626113,111,"Maps"
3626113,112,"Internet access"
3582903,87,"Suggested itineraries"
3626054,108,"Information about amenities/services for the town you were in"
3582903,84,"Accommodation in a different region"
3582903,85,"Transport/ travel options around New Zealand"
3626113,113,"Accommodation in the region you were in"
3626113,114,"Event information"
3626054,109,"Attractions / Activities"
3582566,86,"General information about the region you were in"
3582566,87,"Check/confirm existing travel plans"
3582903,86,"Attractions / Activities"
3626113,115,"Attractions / Activities"
3581135,102,"General information about the region you were in"
3582566,89,"Compare prices / find deals"
3582566,90,"Directions"
3626113,116,"Suggested itineraries"
3582566,91,"Event information"
3582567,75,"Something else"
3582582,86,"Transport/ travel options around New Zealand"
3582973,107,"Information about amenities/services for the town you were in"
3582973,108,"Event information"
3582567,74,"Attractions / Activities"
3582582,85,"Overview of NZ regions"
3626131,86,"General information about the region you were in"
3582973,104,"General information about the region you were in"
3582973,106,"Overview of NZ regions"
3626131,87,"Check/confirm existing travel plans"
3582973,109,"Attractions / Activities"
3582973,105,"Maps"
3581135,103,"Maps"
3626131,89,"Maps"
3581137,126,"Maps"
3581135,104,"Information about amenities/services for the town you were in"
3583012,83,"Information about amenities/services for the town you were in"
3583021,124,"Event information"
3581137,124,"General information about the region you were in"
3581137,125,"Check/confirm existing travel plans"
3583012,84,"Attractions / Activities"
3626131,88,"Access to resources to assist you to plan"
3626131,90,"Suggested itineraries"
3583021,125,"Attractions / Activities"
3581137,127,"Directions"
3626138,146,"General information about a different region"
3583021,123,"Directions"
3583048,83,"Access to resources to assist you to plan"
3626156,106,"Directions"
3583062,87,"General information about a different region"
3626156,107,"Event information"
3583062,89,"Something else"
3583062,88,"Attractions / Activities"
3583064,98,"Compare prices / find deals"
3583012,82,"Maps"
3626138,144,"Weather information"
3626138,145,"Maps"
3583021,122,"Maps"
3583064,99,"Directions"
3626208,88,"Access to resources to assist you to plan"
3626156,104,"Maps"
3626156,105,"Internet access"
3626208,91,"Overview of NZ regions"
3581203,87,"Attractions / Activities"
3581203,86,"Information about amenities/services for the town you were in"
3582599,130,"Information about amenities/services for the town you were in"
3626263,95,"Attractions / Activities"
3581204,85,"General information about the region you were in"
3583048,84,"Maps"
3626208,89,"Maps"
3626208,90,"Internet access"
3581203,84,"Maps"
3582599,129,"Maps"
3626263,92,"Maps"
3581204,86,"Weather information"
3581204,90,"Information about amenities/services for the town you were in"
3581203,85,"Directions"
3626263,93,"Directions"
3581203,88,"Suggested itineraries"
3626263,94,"General information about a different region"
3581204,88,"Directions"
3626315,127,"Information about Maori culture / cultural activities"
3581204,89,"Overview of NZ regions"
3626315,124,"General information about the region you were in"
3581204,91,"Attractions / Activities"
3582615,82,"General information about the region you were in"
3581204,87,"Maps"
3626315,125,"Maps"
3626315,126,"Internet access"
3582615,83,"Internet access"
3581220,87,"Weather information"
3626315,128,"Overview of NZ regions"
3626315,131,"Attractions / Activities"
3581220,85,"General information about the region you were in"
3581220,86,"Access to resources to assist you to plan"
3626372,81,"Check/confirm existing travel plans"
3581220,89,"Compare prices / find deals"
3626372,84,"Compare prices / find deals"
3626372,86,"Overview of NZ regions"
3626315,129,"Transport/ travel options around New Zealand"
3626315,130,"Event information"
3582617,91,"Event information"
3581220,92,"Information about amenities/services for the town you were in"
3581220,91,"Overview of NZ regions"
3626372,87,"Information about amenities/services for the town you were in"
3626372,88,"Accommodation in the region you were in"
3582617,89,"Access to resources to assist you to plan"
3626372,85,"Directions"
3581220,90,"Directions"
3581220,93,"Suggested itineraries"
3626372,89,"Accommodation in a different region"
3626372,90,"Transport/ travel options around New Zealand"
3626372,93,"Suggested itineraries"
3626372,91,"Flights within New Zealand"
3582631,91,"Access to resources to assist you to plan"
3582631,95,"Information about amenities/services for the town you were in"
3582631,94,"General information about a different region"
3626372,92,"Attractions / Activities"
3582631,90,"General information about the region you were in"
3626392,98,"General information about a different region"
3581221,98,"General information about the region you were in"
3581221,99,"Overview of NZ regions"
3581221,100,"Attractions / Activities"
3626392,99,"Transport/ travel options around New Zealand"
3581221,101,"Something else"
3581220,88,"Maps"
3582617,90,"Maps"
3626372,82,"Maps"
3626372,83,"Internet access"
3582631,92,"Maps"
3582631,93,"Internet access"
3582633,107,"Directions"
3626422,72,"Suggested itineraries"
3581222,85,"Directions"
3581222,86,"General information about a different region"
3583064,102,"Suggested itineraries"
3582633,108,"Information about amenities/services for the town you were in"
3582633,109,"Something else"
3581222,87,"Information about amenities/services for the town you were in"
3581222,88,"Transport/ travel options around New Zealand"
3583064,100,"Information about amenities/services for the town you were in"
3581222,83,"General information about the region you were in"
3581222,89,"Attractions / Activities"
3583064,101,"Attractions / Activities"
3626440,107,"Overview of NZ regions"
3583071,93,"Compare prices / find deals"
3583071,94,"Attractions / Activities"
3581237,89,"General information about the region you were in"
3626392,97,"Maps"
3582633,106,"Maps"
3581222,84,"Maps"
3626440,106,"Maps"
3583071,92,"Maps"
3581237,90,"Weather information"
3581237,95,"Attractions / Activities"
3626483,115,"General information about the region you were in"
3626483,116,"Compare prices / find deals"
3626472,92,"Event information"
3581237,94,"See ratings by other travellers"
3626483,117,"Information about amenities/services for the town you were in"
3581237,91,"Maps"
3581237,92,"Internet access"
3582648,75,"Internet access"
3626472,91,"Maps"
3626490,105,"Weather information"
3626490,106,"Maps"
3581269,114,"Maps"
3582683,88,"Maps"
3626508,90,"Maps"
3626483,118,"Attractions / Activities"
3626490,104,"General information about the region you were in"
3581237,93,"Directions"
3626490,107,"Directions"
3626490,108,"Overview of NZ regions"
3582683,86,"General information about the region you were in"
3626508,89,"General information about the region you were in"
3581269,115,"Attractions / Activities"
3626508,93,"Attractions / Activities"
3626531,98,"Attractions / Activities"
3626490,110,"Suggested itineraries"
3581269,113,"Access to resources to assist you to plan"
3582683,87,"Access to resources to assist you to plan"
3626490,109,"Accommodation in a different region"
3582683,89,"Directions"
3626508,91,"Directions"
3626531,97,"Access to resources to assist you to plan"
3626508,92,"Transport/ travel options around New Zealand"
3581271,103,"Accommodation in the region you were in"
3581288,107,"Maps"
3626540,91,"Maps"
3581288,108,"Information about amenities/services for the town you were in"
3626540,93,"Event information"
3626540,90,"Access to resources to assist you to plan"
3583080,88,"Maps"
3582731,114,"Maps"
3581288,106,"General information about the region you were in"
3626540,92,"Overview of NZ regions"
3626540,94,"Attractions / Activities"
3583080,87,"Check/confirm existing travel plans"
3583080,90,"Attractions / Activities"
3582731,116,"Attractions / Activities"
3581304,80,"General information about the region you were in"
3582734,84,"Maps"
3583105,113,"Maps"
3626556,95,"Weather information"
3626556,96,"Maps"
3583123,86,"Maps"
3626556,94,"General information about the region you were in"
3626556,99,"Attractions / Activities"
3582783,89,"Attractions / Activities"
3626556,97,"Directions"
3626556,98,"General information about a different region"
3583123,85,"Access to resources to assist you to plan"
3626558,101,"Attractions / Activities"
3583137,87,"Check/confirm existing travel plans"
3583137,92,"Attractions / Activities"
3626558,99,"Directions"
3626558,100,"General information about a different region"
3626558,102,"Suggested itineraries"
3626572,94,"General information about a different region"
3583137,90,"Directions"
3583137,93,"Suggested itineraries"
3583080,89,"Event information"
3582731,115,"Information about amenities/services for the town you were in"
3583123,87,"Information about amenities/services for the town you were in"
3626572,95,"Accommodation in the region you were in"
3626572,96,"Accommodation in a different region"
3583137,91,"Event information"
3626574,90,"Transport/ travel options around New Zealand"
3626574,93,"Something else"
3583157,91,"Information about amenities/services for the town you were in"
3581353,116,"Event information"
3626574,91,"Attractions / Activities"
3583157,87,"General information about the region you were in"
3626606,115,"General information about the region you were in"
3626574,89,"Directions"
3626574,92,"Suggested itineraries"
3583157,88,"Access to resources to assist you to plan"
3583157,90,"Directions"
3581353,115,"General information about a different region"
3583157,92,"Suggested itineraries"
3626558,97,"Maps"
3626558,98,"Internet access"
3583137,88,"Weather information"
3583137,89,"Maps"
3626574,88,"Maps"
3581353,117,"Suggested itineraries"
3626606,118,"Suggested itineraries"
3583173,112,"Access to resources to assist you to plan"
3626606,119,"Something else"
3583173,111,"General information about the region you were in"
3626651,115,"General information about the region you were in"
3583173,115,"Attractions / Activities"
3583157,89,"Maps"
3626606,116,"Weather information"
3626651,116,"Compare prices / find deals"
3626606,117,"Maps"
3583173,113,"Maps"
3626651,118,"Attractions / Activities"
3581370,105,"General information about the region you were in"
3583187,100,"General information about the region you were in"
3583173,114,"To meet other travellers"
3626651,117,"Information about amenities/services for the town you were in"
3581370,108,"Accommodation in the region you were in"
3581370,106,"Maps"
3626674,124,"Weather information"
3626674,125,"Maps"
3626674,126,"Internet access"
3581370,107,"Directions"
3583187,101,"Access to resources to assist you to plan"
3626674,127,"Information about Maori culture / cultural activities"
3581370,110,"Something else"
3626674,123,"General information about the region you were in"
3581370,109,"Attractions / Activities"
3626674,128,"Overview of NZ regions"
3582885,73,"General information about the region you were in"
3582885,75,"Attractions / Activities"
3582899,78,"General information about the region you were in"
3583187,102,"Maps"
3583205,99,"Maps"
3582899,79,"Compare prices / find deals"
3582899,81,"Attractions / Activities"
3582885,74,"Information about Maori culture / cultural activities"
3583187,103,"Directions"
3626674,129,"Suggested itineraries"
3582899,82,"Suggested itineraries"
3583205,98,"Access to resources to assist you to plan"
3582899,80,"Information about amenities/services for the town you were in"
3583205,100,"Information about amenities/services for the town you were in"
3583205,101,"Event information"
3626701,99,"General information about the region you were in"
3626701,104,"Attractions / Activities"
3583207,100,"General information about the region you were in"
3626701,100,"Maps"
3626701,101,"Internet access"
3626701,103,"Event information"
3626690,110,"Directions"
3626690,111,"Suggested itineraries"
3626701,102,"Directions"
3582775,66,"General information about a different region"
3583207,101,"Access to resources to assist you to plan"
3582917,114,"Directions"
3582917,115,"Suggested itineraries"
3582917,112,"General information about the region you were in"
3626756,127,"General information about the region you were in"
3626756,131,"Attractions / Activities"
3582917,113,"Maps"
3583207,102,"Maps"
3626756,128,"Maps"
3582918,92,"Maps"
3583223,106,"Weather information"
3582791,79,"Internet access"
3583223,107,"Maps"
3583223,108,"Internet access"
3582791,80,"Compare prices / find deals"
3582791,81,"Attractions / Activities"
3582918,96,"Attractions / Activities"
3583207,103,"Information about amenities/services for the town you were in"
3583223,110,"Overview of NZ regions"
3626756,129,"General information about a different region"
3582918,93,"Directions"
3583223,109,"Directions"
3626756,130,"Transport/ travel options around New Zealand"
3582918,94,"Accommodation in the region you were in"
3582918,95,"Accommodation in a different region"
3583223,111,"Accommodation in the region you were in"
3583223,112,"Transport/ travel options around New Zealand"
3583223,113,"Flights within New Zealand"
3626758,88,"Access to resources to assist you to plan"
3626758,91,"Suggested itineraries"
3583237,106,"Weather information"
3582935,94,"General information about a different region"
3583237,108,"Directions"
3583237,111,"Suggested itineraries"
3582810,100,"Access to resources to assist you to plan"
3583237,107,"Maps"
3582810,101,"Weather information"
3583223,114,"Attractions / Activities"
3583223,115,"Something else"
3626758,90,"Attractions / Activities"
3626758,89,"Accommodation in a different region"
3583237,104,"General information about the region you were in"
3582935,95,"Information about amenities/services for the town you were in"
3583237,105,"Check/confirm existing travel plans"
3582810,102,"Maps"
3626767,113,"Maps"
3582810,109,"Suggested itineraries"
3626767,112,"Access to resources to assist you to plan"
3583239,111,"Suggested itineraries"
3582950,106,"Directions"
3582950,107,"General information about a different region"
3583237,109,"Accommodation in the region you were in"
3583237,110,"Transport/ travel options around New Zealand"
3582810,105,"See ratings by other travellers"
3582810,99,"Check/confirm existing travel plans"
3582810,106,"Information about amenities/services for the town you were in"
3582810,103,"Compare prices / find deals"
3582810,107,"Event information"
3582810,104,"Overview of NZ regions"
3583239,110,"Information about amenities/services for the town you were in"
3626767,111,"General information about the region you were in"
3582810,108,"Attractions / Activities"
3582950,109,"Attractions / Activities"
3626767,115,"Compare prices / find deals"
3582951,109,"General information about the region you were in"
3582824,81,"General information about the region you were in"
3582950,105,"Maps"
3626767,114,"Internet access"
3582951,110,"Maps"
3582824,83,"Maps"
3582950,108,"Event information"
3626767,118,"Transport/ travel options around New Zealand"
3626767,119,"Event information"
3582951,113,"Information about amenities/services for the town you were in"
3582951,114,"Attractions / Activities"
3582824,82,"Check/confirm existing travel plans"
3582824,85,"Attractions / Activities"
3626767,116,"Directions"
3626767,117,"General information about a different region"
3626767,120,"Suggested itineraries"
3582951,111,"Directions"
3582951,112,"General information about a different region"
3583248,89,"Information about amenities/services for the town you were in"
3583248,90,"Transport/ travel options around New Zealand"
3583248,91,"Event information"
3626781,108,"Transport/ travel options around New Zealand"
3583248,87,"Maps"
3626792,80,"Maps"
3583287,83,"Event information"
3582824,84,"Directions"
3583248,88,"General information about a different region"
3582857,99,"Suggested itineraries"
3583287,82,"Directions"
3583287,85,"Suggested itineraries"
3582969,98,"Access to resources to assist you to plan"
3582969,99,"Information about Maori culture / cultural activities"
3582969,100,"General information about a different region"
3626792,81,"Information about Maori culture / cultural activities"
3626792,82,"Directions"
3626792,83,"General information about a different region"
3583248,92,"Attractions / Activities"
3626781,107,"General information about the region you were in"
3626781,109,"Attractions / Activities"
3582969,97,"General information about the region you were in"
3583287,84,"Attractions / Activities"
3582969,103,"Attractions / Activities"
3582983,108,"Check/confirm existing travel plans"
3582858,110,"General information about the region you were in"
3582969,101,"Accommodation in the region you were in"
3582969,102,"Accommodation in a different region"
3626792,84,"Accommodation in the region you were in"
3626792,85,"Transport/ travel options around New Zealand"
3582983,110,"Accommodation in the region you were in"
3582983,111,"Event information"
3583287,81,"Maps"
3582858,112,"Maps"
3583337,102,"Maps"
3583017,163,"Weather information"
3583017,164,"Maps"
3583017,165,"Internet access"
3626792,86,"Event information"
3582858,114,"Information about amenities/services for the town you were in"
3582983,109,"Directions"
