"SurveyResponseID","AnswerNumber","AmenityType","SatisfactionRatingReason"
3593094,92,"Maori activities experienced","Well organised"
3593689,112,"Maori activities experienced","Learnt about a new culture"
3593073,102,"Maori activities experienced","Entertaining"
3593073,105,"Sense of safety","No safety barriers"
3593671,110,"Maori activities experienced","Informative"
3593064,100,"Sense of safety","Felt unsafe"
3593671,113,"NZ environment","Weather"
3593689,113,"Customer service","Staff didn't care"
3593689,110,"Food & beverage outlets","Poor food quality"
3593094,91,"Maori activities experienced","Did not live up to expectations"
3593073,103,"Maori activities experienced","Good staff"
3593073,106,"Sense of safety","Another reason"
3593490,89,"Maori activities experienced","Good quality/standard"
3593082,113,"Food & beverage outlets","Not as good as you get overseas"
3593096,83,"Maori activities experienced","Poor quality/standard"
3593073,101,"Commercial transport","Poor customer service"
3593490,90,"Maori activities experienced","Good staff"
3593082,114,"Maori activities experienced","Informative"
3593073,100,"Commercial transport","Rental car/company did not meet expectations"
3593096,84,"Maori activities experienced","Well organised"
3593082,115,"Maori activities experienced","Good quality/standard"
3593690,114,"Maori activities experienced","Learnt about a new culture"
3593082,116,"Maori activities experienced","Well organised"
3593690,115,"Maori activities experienced","Informative"
3593690,117,"NZ environment","Another reason"
3593098,99,"Maori activities experienced","Learnt about a new culture"
3593098,100,"Maori activities experienced","Entertaining"
3593704,86,"Maori activities experienced","Entertaining"
3593499,100,"Maori activities experienced","Learnt about a new culture"
3593690,116,"NZ environment","More effort to preserve natural environment requir"
3593098,101,"Maori activities experienced","Good staff"
3593499,103,"Sense of safety","Crime/graffiti"
3593499,101,"Customer service","No reason"
3593112,85,"Commercial transport","No reason"
3593499,104,"Sense of safety","Another reason"
3593704,87,"Maori activities experienced","Good staff"
3593112,88,"Maori activities experienced","Well organised"
3593704,89,"Maori activities experienced","Another indifferent or poor aspect"
3593098,102,"Maori activities experienced","Well organised"
3593499,102,"Sense of safety","Felt unsafe"
3593112,87,"Maori activities experienced","Informative"
3593107,97,"Commercial transport","Inconvenient public transportation"
3593107,96,"Commercial transport","Expensive"
3593107,102,"Customer service","Staff not knowledgeable"
3593107,99,"Maori activities experienced","Informative"
3593107,100,"Maori activities experienced","Entertaining"
3593740,91,"Maori activities experienced","Learnt about a new culture"
3593740,93,"Maori activities experienced","Entertaining"
3593508,102,"Maori activities experienced","Well organised"
3593107,104,"Sense of safety","No reason"
3593112,86,"Maori activities experienced","Learnt about a new culture"
3593704,88,"Maori activities experienced","Poor quality/standard"
3593508,100,"Activities experienced","No reason"
3593107,95,"Accommodation","No free internet"
3593107,98,"Maori activities experienced","Learnt about a new culture"
3593107,101,"Maori activities experienced","Well organised"
3593740,94,"Maori activities experienced","Good staff"
3593109,94,"Food & beverage outlets","Poor food quality"
3593177,97,"Food & beverage outlets","Poor service"
3593109,97,"Maori activities experienced","Entertaining"
3593109,98,"Maori activities experienced","Good staff"
3593740,92,"Maori activities experienced","Informative"
3593107,103,"Customer service","Slow"
3593740,95,"Maori activities experienced","Did not live up to expectations"
3593508,101,"Maori activities experienced","Entertaining"
3593177,96,"Food & beverage outlets","Too expensive"
3593109,95,"Commercial transport","No reason"
3593109,93,"Food & beverage outlets","Too expensive"
3593177,98,"Commercial transport","Poor customer service"
3593109,96,"Maori activities experienced","Learnt about a new culture"
3593177,101,"Maori activities experienced","Good quality/standard"
3593535,106,"Commercial transport","Inconvenient public transportation"
3593535,109,"Maori activities experienced","Good quality/standard"
3593756,110,"Food & beverage outlets","No reason"
3593177,100,"Maori activities experienced","Informative"
3593535,103,"Food & beverage outlets","Supermarkets lack of variety"
3593179,88,"Commercial transport","Expensive"
3593535,102,"Food & beverage outlets","Poor food quality"
3593756,112,"Maori activities experienced","Learnt about a new culture"
3593535,105,"Commercial transport","Rental car/company did not meet expectations"
3593756,111,"Commercial transport","No reason"
3593177,103,"i-Sites","Pushed certain activities"
3593535,108,"Maori activities experienced","Entertaining"
3593756,114,"Maori activities experienced","Good quality/standard"
3593177,102,"Customer service","Staff not friendly"
3593177,99,"Maori activities experienced","Learnt about a new culture"
3593535,101,"Food & beverage outlets","Too expensive"
3593535,104,"Commercial transport","Expensive"
3593535,107,"Maori activities experienced","Informative"
3593179,89,"Maori activities experienced","No reason"
3593756,115,"Maori activities experienced","Well organised"
3593756,113,"Maori activities experienced","Entertaining"
3593756,116,"i-Sites","Lack of staff"
3593132,101,"Accommodation","Poor/old facilities"
3593535,110,"Maori activities experienced","Good staff"
3593132,104,"Maori activities experienced","Well organised"
3593756,117,"i-Sites","Too busy/long queues"
3593535,111,"Maori activities experienced","Well organised"
3593132,102,"Maori activities experienced","Learnt about a new culture"
3593756,118,"i-Sites","Shut too early/short opening hours"
3593180,101,"Activities experienced","Too expensive"
3593771,90,"Food & beverage outlets","Not as good as you get overseas"
3593180,104,"Maori activities experienced","Informative"
3593180,102,"Activities experienced","Did not live up to expectations"
3593771,89,"Food & beverage outlets","Limited choices"
3593535,112,"Maori activities experienced","Another indifferent or poor aspect"
3593134,91,"Food & beverage outlets","Poor service"
3593180,105,"Maori activities experienced","Entertaining"
3593771,93,"Maori activities experienced","Learnt about a new culture"
3593787,102,"Activities experienced","Another reason"
3593134,94,"Sense of safety","No safety barriers"
3593535,113,"Sense of safety","Crime/graffiti"
3593771,95,"Maori activities experienced","Poor quality/standard"
3593134,95,"Sense of safety","Crime/graffiti"
3593134,92,"Maori activities experienced","Learnt about a new culture"
3593193,95,"Maori activities experienced","Good staff"
3593787,103,"Maori activities experienced","Learnt about a new culture"
3593193,94,"Maori activities experienced","Learnt about a new culture"
3593195,104,"Maori activities experienced","Not very informative"
3593540,97,"Customer service","No reason"
3593132,103,"Maori activities experienced","Entertaining"
3593180,100,"Accommodation","No reason"
3593540,96,"Maori activities experienced","Good staff"
3593180,103,"Maori activities experienced","Learnt about a new culture"
3593148,105,"Maori activities experienced","Entertaining"
3593788,109,"Maori activities experienced","Good quality/standard"
3593771,91,"Food & beverage outlets","Poor food quality"
3593771,92,"Commercial transport","No reason"
3593771,94,"Maori activities experienced","Good staff"
3593788,108,"Maori activities experienced","Informative"
3593787,101,"Activities experienced","Have to cancel the activity due to weather/road  c"
3593773,99,"Commercial transport","The transport was delayed"
3593134,93,"Maori activities experienced","Entertaining"
3593788,107,"Maori activities experienced","Learnt about a new culture"
3593195,103,"Commercial transport","Not sure"
3593787,100,"Commercial transport","Inconvenient public transportation"
3593787,104,"Maori activities experienced","Well organised"
3593193,93,"Commercial transport","No reason"
3593148,104,"Commercial transport","Inconvenient public transportation"
3593549,109,"Accommodation","No free internet"
3593788,110,"NZ environment","Weather"
3593790,110,"Maori activities experienced","Learnt about a new culture"
3593175,104,"Maori activities experienced","Learnt about a new culture"
3593175,103,"Food & beverage outlets","Supermarkets lack of variety"
3593790,111,"Maori activities experienced","Informative"
3593175,109,"Sense of safety","Felt unsafe"
3593175,106,"Maori activities experienced","Good quality/standard"
3593790,113,"Maori activities experienced","Did not live up to expectations"
3593175,111,"Sense of safety","Another reason"
3593175,107,"Maori activities experienced","Good staff"
3593175,110,"Sense of safety","Poor road signage"
3593790,114,"NZ environment","Weather"
3593213,120,"Maori activities experienced","Learnt about a new culture"
3593790,112,"Maori activities experienced","Good staff"
3593213,122,"Maori activities experienced","Good quality/standard"
3593175,105,"Maori activities experienced","Entertaining"
3593175,108,"Maori activities experienced","Did not live up to expectations"
3593549,110,"Food & beverage outlets","Too expensive"
3593804,106,"Accommodation","Poor value for money"
3593213,125,"i-Sites","Too busy/long queues"
3593182,104,"Maori activities experienced","Learnt about a new culture"
3593182,105,"Maori activities experienced","Informative"
3593804,108,"Maori activities experienced","Good quality/standard"
3593213,121,"Maori activities experienced","Informative"
3593213,124,"Maori activities experienced","Well organised"
3593182,103,"Accommodation","Noisy"
3593549,112,"Maori activities experienced","Entertaining"
3593804,109,"Maori activities experienced","Well organised"
3593227,103,"Food & beverage outlets","Limited choices"
3593549,111,"Maori activities experienced","Informative"
3593551,89,"Maori activities experienced","Learnt about a new culture"
3593551,88,"Food & beverage outlets","Too expensive"
3593184,96,"Maori activities experienced","Learnt about a new culture"
3593227,105,"Food & beverage outlets","Alcohol too expensive"
3593551,91,"Maori activities experienced","Entertaining"
3593184,97,"Maori activities experienced","Informative"
3593227,108,"Commercial transport","Inconvenient public transportation"
3593227,106,"Commercial transport","Expensive"
3593227,109,"Maori activities experienced","Entertaining"
3593551,92,"Maori activities experienced","Good quality/standard"
3593551,94,"Maori activities experienced","Well organised"
3593821,91,"Maori activities experienced","Entertaining"
3593189,100,"Commercial transport","Poor customer service"
3593560,117,"Commercial transport","Another reason"
3593560,114,"Accommodation","Poor/old facilities"
3593821,92,"Customer service","Staff not friendly"
3593228,100,"Maori activities experienced","Learnt about a new culture"
3593213,123,"Maori activities experienced","Good staff"
3593804,107,"Maori activities experienced","Informative"
3593549,113,"Maori activities experienced","Good staff"
3593227,104,"Food & beverage outlets","Poor food quality"
3593228,104,"Customer service","No reason"
3593551,90,"Maori activities experienced","Informative"
3593227,107,"Commercial transport","Poor customer service"
3593551,93,"Maori activities experienced","Good staff"
3593227,110,"i-Sites","No reason"
3593184,98,"Maori activities experienced","Well organised"
3593228,101,"Maori activities experienced","Informative"
3593560,115,"Accommodation","No air-conditioning/heating inadequate"
3593228,102,"Maori activities experienced","Entertaining"
3593560,118,"Maori activities experienced","Learnt about a new culture"
3593560,119,"Maori activities experienced","Entertaining"
3593189,102,"Maori activities experienced","Another indifferent or poor aspect"
3593560,122,"Customer service","Another reason"
3593560,121,"Customer service","Staff didn't care"
3593822,100,"Activities experienced","Have to cancel the activity due to weather/road  c"
3593229,124,"Customer service","No reason"
3593229,120,"Food & beverage outlets","Alcohol too expensive"
3593191,128,"Maori activities experienced","Informative"
3593229,127,"Sense of safety","Another reason"
3593229,123,"Maori activities experienced","Good staff"
3593191,127,"Maori activities experienced","Learnt about a new culture"
3593191,130,"Customer service","Staff didn't care"
3593560,116,"Accommodation","Poor value for money"
3593228,103,"Maori activities experienced","Well organised"
3593189,101,"Maori activities experienced","Learnt about a new culture"
3593191,126,"Activities experienced","No reason"
3593560,123,"i-Sites","No reason"
3593229,119,"Accommodation","No free internet"
3593229,122,"Maori activities experienced","Informative"
3593560,120,"Maori activities experienced","Good staff"
3593229,125,"i-Sites","Hard to find"
3593229,118,"Accommodation","Poor standard of cleanliness/dirty"
3593191,129,"Maori activities experienced","Good staff"
3593189,103,"Sense of safety","No reason"
3593822,99,"Activities experienced","Too expensive"
3593229,121,"Maori activities experienced","Learnt about a new culture"
3593565,95,"Food & beverage outlets","Too expensive"
3593565,96,"Food & beverage outlets","Limited choices"
3593230,93,"Accommodation","No free internet"
3593230,94,"Accommodation","No air-conditioning/heating inadequate"
3593229,126,"i-Sites","Another reason"
3593565,97,"Food & beverage outlets","Poor food quality"
3593230,95,"Food & beverage outlets","Poor service"
3593230,98,"Maori activities experienced","Informative"
3593230,101,"Maori activities experienced","Good staff"
3593230,97,"Maori activities experienced","Learnt about a new culture"
3593230,100,"Maori activities experienced","Good quality/standard"
3593565,100,"Maori activities experienced","Did not live up to expectations"
3593230,105,"NZ environment","Weather"
3593198,105,"Customer service","Staff not knowledgeable"
3593230,102,"Customer service","Staff not friendly"
3593565,98,"Food & beverage outlets","Alcohol too expensive"
3593567,101,"Accommodation","Poor standard of cleanliness/dirty"
3593567,104,"Maori activities experienced","Learnt about a new culture"
3593230,103,"Customer service","Staff didn't care"
3593230,96,"Food & beverage outlets","Poor food quality"
3593822,102,"Activities experienced","Another reason"
3593230,99,"Maori activities experienced","Entertaining"
3593230,104,"Customer service","Staff not knowledgeable"
3593198,107,"i-Sites","Lack of knowledge on free attractions"
3593565,99,"Maori activities experienced","Learnt about a new culture"
3593822,108,"Sense of safety","No reason"
3593822,103,"Maori activities experienced","Learnt about a new culture"
3593567,102,"Food & beverage outlets","Too expensive"
3593198,106,"i-Sites","Incorrect/misleading information given"
3593822,105,"Maori activities experienced","Good staff"
3593822,106,"Maori activities experienced","Poor quality/standard"
3593822,101,"Activities experienced","Hard to find/need better signage"
3593822,104,"Maori activities experienced","Informative"
3593567,103,"Commercial transport","No reason"
3593198,108,"i-Sites","Another reason"
3593822,107,"Maori activities experienced","Well organised"
3593567,105,"Maori activities experienced","Entertaining"
3593567,107,"Maori activities experienced","Well organised"
3593837,106,"Accommodation","Poor customer service"
3593214,104,"Accommodation","No free internet"
3593214,107,"Maori activities experienced","Entertaining"
3593247,101,"Maori activities experienced","Entertaining"
3593837,108,"Accommodation","Noisy"
3593214,109,"Sense of safety","Crime/graffiti"
3593837,107,"Accommodation","No air-conditioning/heating inadequate"
3593567,106,"Maori activities experienced","Good quality/standard"
3593837,110,"i-Sites","Too busy/long queues"
3593247,99,"Commercial transport","Poor customer service"
3593837,109,"Maori activities experienced","Learnt about a new culture"
3593854,130,"Customer service","Staff seemed rushed"
3593214,106,"Maori activities experienced","Learnt about a new culture"
3593214,108,"Maori activities experienced","Good staff"
3593214,110,"NZ environment","Litter"
3593610,104,"Maori activities experienced","Entertaining"
3593214,105,"Activities experienced","Poor service"
3593247,98,"Commercial transport","Rental car/company did not meet expectations"
3593247,102,"Maori activities experienced","Good quality/standard"
3593247,100,"Maori activities experienced","Learnt about a new culture"
3593247,103,"Maori activities experienced","Well organised"
3593854,127,"Maori activities experienced","Informative"
3593854,126,"Maori activities experienced","Learnt about a new culture"
3593260,112,"Maori activities experienced","Entertaining"
3593260,113,"Maori activities experienced","Good quality/standard"
3593855,108,"Maori activities experienced","Entertaining"
3593234,91,"Accommodation","No free internet"
3593619,125,"Maori activities experienced","Learnt about a new culture"
3593856,107,"Maori activities experienced","Learnt about a new culture"
3593856,110,"NZ environment","More effort to preserve natural environment requir"
3593260,115,"Maori activities experienced","Well organised"
3593854,125,"Accommodation","Another reason"
3593854,128,"Maori activities experienced","Entertaining"
3593247,104,"i-Sites","No reason"
3593234,90,"Accommodation","Poor standard of cleanliness/dirty"
3593610,105,"Maori activities experienced","Good staff"
3593855,107,"Maori activities experienced","Learnt about a new culture"
3593854,129,"Maori activities experienced","Good staff"
3593260,114,"Maori activities experienced","Good staff"
3593260,111,"Maori activities experienced","Learnt about a new culture"
3593856,108,"Maori activities experienced","Good quality/standard"
3593250,95,"Activities experienced","Another reason"
3593855,109,"Maori activities experienced","Good staff"
3593234,92,"Maori activities experienced","Entertaining"
3593856,106,"Food & beverage outlets","Not as good as you get overseas"
3593856,111,"NZ environment","Another reason"
3593856,109,"NZ environment","Dull cities"
3593619,127,"Maori activities experienced","Good quality/standard"
3593619,126,"Maori activities experienced","Informative"
3593250,94,"Activities experienced","Hard to find/need better signage"
3593260,116,"Customer service","No reason"
3593260,117,"NZ environment","Weather"
3593250,96,"Maori activities experienced","Learnt about a new culture"
3593619,128,"Maori activities experienced","Not very exciting/boring"
3593263,100,"Maori activities experienced","Well organised"
3593250,98,"Maori activities experienced","Good quality/standard"
3593870,91,"Food & beverage outlets","Supermarkets lack of variety"
3593250,97,"Maori activities experienced","Entertaining"
3593870,90,"Food & beverage outlets","Poor food quality"
3593870,93,"Maori activities experienced","Well organised"
3593263,99,"Maori activities experienced","Entertaining"
3593870,89,"Food & beverage outlets","Too expensive"
3593250,99,"Maori activities experienced","Good staff"
3593870,92,"Maori activities experienced","Informative"
3593257,104,"Accommodation","Poor/old facilities"
3593250,100,"Maori activities experienced","Did not live up to expectations"
3593278,98,"Maori activities experienced","Entertaining"
3593871,103,"Accommodation","No free internet"
3593624,100,"Commercial transport","Inconvenient public transportation"
3593250,101,"Maori activities experienced","Well organised"
3593871,102,"Accommodation","Poor standard of cleanliness/dirty"
3593871,104,"Maori activities experienced","Learnt about a new culture"
3593871,106,"Maori activities experienced","Good quality/standard"
3593871,105,"Maori activities experienced","Informative"
3593871,107,"Maori activities experienced","Good staff"
3593257,105,"Accommodation","No free internet"
3593871,108,"i-Sites","No reason"
3593624,101,"Maori activities experienced","Informative"
3593887,102,"Commercial transport","Poor customer service"
3593257,108,"Customer service","Staff not friendly"
3593257,106,"Activities experienced","No reason"
3593295,127,"Activities experienced","Too expensive"
3593872,107,"Maori activities experienced","Informative"
3593624,102,"Maori activities experienced","Good staff"
3593887,103,"Maori activities experienced","Learnt about a new culture"
3593635,101,"Food & beverage outlets","Poor food quality"
3593257,107,"Maori activities experienced","Good quality/standard"
3593635,102,"Maori activities experienced","Entertaining"
3593887,105,"Maori activities experienced","Good quality/standard"
3593887,106,"Maori activities experienced","Well organised"
3593887,104,"Maori activities experienced","Entertaining"
3593295,129,"Maori activities experienced","Not very exciting/boring"
3593295,130,"Maori activities experienced","Well organised"
3593257,109,"Customer service","Staff not knowledgeable"
3593887,107,"Customer service","Staff not knowledgeable"
3593295,128,"Maori activities experienced","Learnt about a new culture"
3593889,103,"Commercial transport","Expensive"
3593257,110,"i-Sites","Lack of knowledge on free attractions"
3593635,103,"Maori activities experienced","Good quality/standard"
3593888,79,"Maori activities experienced","Good staff"
3593311,99,"Accommodation","Too expensive"
3593257,111,"i-Sites","Another reason"
3593888,78,"Maori activities experienced","Learnt about a new culture"
3593889,102,"Food & beverage outlets","Limited choices"
3593264,89,"Activities experienced","Too expensive"
3593311,101,"Maori activities experienced","Informative"
3593264,88,"Food & beverage outlets","Too expensive"
3593264,91,"Maori activities experienced","Good quality/standard"
3593264,94,"NZ environment","No reason"
3593311,100,"Accommodation","No free internet"
3593889,104,"Commercial transport","Rental car/company did not meet expectations"
3593640,104,"Accommodation","Poor value for money"
3593311,103,"Maori activities experienced","Well organised"
3593264,93,"Maori activities experienced","Well organised"
3593640,105,"Maori activities experienced","Entertaining"
3593311,102,"Maori activities experienced","Good staff"
3593264,90,"Maori activities experienced","Learnt about a new culture"
3593264,92,"Maori activities experienced","Good staff"
3593889,105,"Commercial transport","Inconvenient public transportation"
3593644,102,"Commercial transport","No reason"
3593644,103,"Maori activities experienced","Learnt about a new culture"
3593644,105,"Maori activities experienced","Good quality/standard"
3593889,106,"Maori activities experienced","Informative"
3593644,104,"Maori activities experienced","Informative"
3593644,107,"Maori activities experienced","Well organised"
3593644,106,"Maori activities experienced","Good staff"
3593312,105,"Activities experienced","Not very exciting/boring"
3593889,111,"Sense of safety","Another reason"
3593889,110,"Sense of safety","Crime/graffiti"
3593667,99,"Food & beverage outlets","No reason"
3593312,104,"Activities experienced","Did not live up to expectations"
3593889,107,"Maori activities experienced","Entertaining"
3593906,105,"Accommodation","Not sure"
3593268,99,"Maori activities experienced","Learnt about a new culture"
3593312,107,"Maori activities experienced","Entertaining"
3593313,89,"Maori activities experienced","Good quality/standard"
3593313,86,"Activities experienced","Hard to find/need better signage"
3593667,101,"Commercial transport","Inconvenient public transportation"
3593268,102,"Maori activities experienced","Well organised"
3593312,106,"Maori activities experienced","Learnt about a new culture"
3593667,102,"Maori activities experienced","Learnt about a new culture"
3593313,90,"Maori activities experienced","Did not live up to expectations"
3593922,79,"Food & beverage outlets","Too expensive"
3593922,82,"Maori activities experienced","Good staff"
3593889,109,"Sense of safety","Poor road signage"
3593906,106,"Food & beverage outlets","Limited choices"
3593922,83,"Maori activities experienced","Did not live up to expectations"
3593268,100,"Maori activities experienced","Informative"
3593268,103,"i-Sites","Pushed certain activities"
3593313,85,"Accommodation","No reason"
3593313,88,"Maori activities experienced","Entertaining"
3593313,91,"Maori activities experienced","Well organised"
3593922,80,"Maori activities experienced","Learnt about a new culture"
3593314,78,"Activities experienced","Too expensive"
3593268,98,"Commercial transport","No reason"
3593314,80,"Activities experienced","Another reason"
3593667,100,"Commercial transport","Rental car/company did not meet expectations"
3593889,108,"Maori activities experienced","Good quality/standard"
3593268,101,"Maori activities experienced","Entertaining"
3593268,104,"i-Sites","Shut too early/short opening hours"
3593313,87,"Maori activities experienced","Informative"
3593667,103,"Maori activities experienced","Informative"
3593922,81,"Maori activities experienced","Informative"
3593667,104,"Maori activities experienced","Entertaining"
3593282,104,"Maori activities experienced","Informative"
3593291,96,"Maori activities experienced","Learnt about a new culture"
3593314,79,"Activities experienced","Have to cancel the activity due to weather/road  c"
3593922,84,"Maori activities experienced","Well organised"
3593291,95,"Food & beverage outlets","Supermarkets lack of variety"
3593924,100,"Accommodation","No free internet"
3593291,98,"Maori activities experienced","Entertaining"
3593291,101,"Sense of safety","No safety barriers"
3593924,103,"Sense of safety","No reason"
3593328,80,"Activities experienced","Poor service"
3593328,82,"Customer service","Staff not knowledgeable"
3593282,106,"Maori activities experienced","Poor quality/standard"
3593314,81,"Maori activities experienced","Learnt about a new culture"
3593291,100,"Customer service","Staff not knowledgeable"
3593314,82,"Maori activities experienced","Informative"
3593328,81,"Customer service","Staff didn't care"
3593674,79,"Commercial transport","No reason"
3593937,93,"Maori activities experienced","Learnt about a new culture"
3593314,84,"Maori activities experienced","Well organised"
3593924,102,"Maori activities experienced","Entertaining"
3593291,99,"Maori activities experienced","Good staff"
3593282,105,"Maori activities experienced","Good staff"
3593667,105,"Maori activities experienced","Good quality/standard"
3593291,94,"Food & beverage outlets","Too expensive"
3593291,97,"Maori activities experienced","Informative"
3593674,81,"Maori activities experienced","Entertaining"
3593674,80,"Maori activities experienced","Learnt about a new culture"
3593924,101,"Maori activities experienced","Learnt about a new culture"
3593314,83,"Maori activities experienced","Entertaining"
3593937,94,"Maori activities experienced","Entertaining"
3593674,82,"Maori activities experienced","Good staff"
3593307,103,"Food & beverage outlets","Too expensive"
3593937,95,"i-Sites","Shut too early/short opening hours"
3593307,104,"Food & beverage outlets","Not as good as you get overseas"
3593938,121,"Food & beverage outlets","Too expensive"
3593307,106,"Maori activities experienced","Entertaining"
3593309,99,"Maori activities experienced","Learnt about a new culture"
3593307,105,"Maori activities experienced","Learnt about a new culture"
3593346,101,"Accommodation","Poor standard of cleanliness/dirty"
3593346,104,"Maori activities experienced","Good quality/standard"
3593309,102,"Maori activities experienced","Well organised"
3593938,122,"Activities experienced","Poor service"
3593361,99,"Food & beverage outlets","Too expensive"
3593685,95,"Maori activities experienced","Learnt about a new culture"
3593309,100,"Maori activities experienced","Informative"
3593346,103,"Maori activities experienced","Learnt about a new culture"
3593309,103,"Customer service","Staff not friendly"
3593361,100,"Maori activities experienced","Learnt about a new culture"
3593361,103,"Maori activities experienced","Well organised"
3593361,102,"Maori activities experienced","Good staff"
3593346,102,"Food & beverage outlets","Not as good as you get overseas"
3593692,111,"Customer service","No reason"
3593685,96,"Maori activities experienced","Not very exciting/boring"
3593309,101,"Maori activities experienced","Entertaining"
3593361,101,"Maori activities experienced","Good quality/standard"
3593957,118,"Activities experienced","No reason"
3593692,108,"Maori activities experienced","Learnt about a new culture"
3593692,109,"Maori activities experienced","Informative"
3593957,116,"Food & beverage outlets","Too expensive"
3593692,110,"Maori activities experienced","Entertaining"
3593957,119,"Maori activities experienced","Learnt about a new culture"
3593957,117,"Food & beverage outlets","Poor food quality"
3593362,86,"Food & beverage outlets","Poor food quality"
3593316,101,"Food & beverage outlets","Too expensive"
3593362,89,"Maori activities experienced","Good quality/standard"
3593363,105,"Customer service","Staff didn't care"
3593971,107,"Commercial transport","No reason"
3593957,120,"Maori activities experienced","Did not live up to expectations"
3593362,87,"Food & beverage outlets","Alcohol too expensive"
3593957,115,"Accommodation","No reason"
3593316,102,"Food & beverage outlets","Poor food quality"
3593316,103,"Maori activities experienced","Good staff"
3593362,85,"Food & beverage outlets","Too expensive"
3593363,106,"Customer service","Another reason"
3593362,88,"Maori activities experienced","Entertaining"
3593363,102,"Maori activities experienced","Learnt about a new culture"
3593363,104,"Customer service","Staff not friendly"
3593363,103,"Maori activities experienced","Good staff"
3593971,108,"Maori activities experienced","Learnt about a new culture"
3593971,109,"Maori activities experienced","Good quality/standard"
3593694,83,"Activities experienced","Another reason"
3593694,84,"Maori activities experienced","Entertaining"
3593694,87,"NZ environment","Weather"
3593694,86,"Maori activities experienced","Well organised"
3593318,97,"Maori activities experienced","Informative"
3593318,100,"i-Sites","No reason"
3593972,116,"Maori activities experienced","Learnt about a new culture"
3593694,85,"Maori activities experienced","Good quality/standard"
3593694,88,"NZ environment","Another reason"
3593972,114,"Accommodation","Too expensive"
3593972,119,"Maori activities experienced","Good quality/standard"
3593972,117,"Maori activities experienced","Informative"
3593377,103,"i-Sites","No reason"
3593710,87,"Accommodation","Poor customer service"
3593318,98,"Maori activities experienced","Did not live up to expectations"
3593377,101,"Maori activities experienced","Learnt about a new culture"
3593377,104,"Sense of safety","No reason"
3593710,90,"Maori activities experienced","Informative"
3593318,99,"Maori activities experienced","Well organised"
3593972,115,"Accommodation","No free internet"
3593972,118,"Maori activities experienced","Entertaining"
3593377,102,"Maori activities experienced","Good staff"
3593710,88,"Accommodation","No free internet"
3593710,91,"Maori activities experienced","Entertaining"
3593694,82,"Commercial transport","Expensive"
3593710,89,"Commercial transport","No reason"
3593325,115,"Maori activities experienced","Good staff"
3593710,92,"Maori activities experienced","Good quality/standard"
3593325,113,"Maori activities experienced","Informative"
3593325,116,"Maori activities experienced","Well organised"
3593972,121,"Customer service","Staff not friendly"
3593719,104,"Maori activities experienced","Good staff"
3593378,97,"Accommodation","No free internet"
3593719,103,"Maori activities experienced","Entertaining"
3593350,112,"Food & beverage outlets","Too expensive"
3593378,98,"Food & beverage outlets","Too expensive"
3593378,104,"Maori activities experienced","Another indifferent or poor aspect"
3593988,99,"Maori activities experienced","Good quality/standard"
3593378,101,"Commercial transport","The transport was delayed"
3593325,114,"Maori activities experienced","Entertaining"
3593710,93,"Maori activities experienced","Good staff"
3593972,120,"Maori activities experienced","Well organised"
3593378,96,"Accommodation","Poor standard of cleanliness/dirty"
3593988,97,"Accommodation","No reason"
3593378,99,"Food & beverage outlets","Poor food quality"
3593378,102,"Maori activities experienced","Learnt about a new culture"
3593710,94,"Customer service","No reason"
3593719,102,"Commercial transport","Inconvenient public transportation"
3593719,105,"Customer service","Slow"
3593378,100,"Commercial transport","Rental car/company did not meet expectations"
3593378,103,"Maori activities experienced","Entertaining"
3593350,119,"Sense of safety","Another reason"
3593719,107,"NZ environment","No reason"
3594004,83,"Maori activities experienced","Entertaining"
3593988,98,"Food & beverage outlets","No reason"
3593350,114,"Maori activities experienced","Informative"
3593350,115,"Maori activities experienced","Entertaining"
3593719,106,"i-Sites","No reason"
3594004,86,"Customer service","Staff not friendly"
3593350,118,"Maori activities experienced","Well organised"
3593350,117,"Maori activities experienced","Good staff"
3594004,82,"Maori activities experienced","Informative"
3594004,85,"Maori activities experienced","Good staff"
3593350,113,"Maori activities experienced","Learnt about a new culture"
3593350,116,"Maori activities experienced","Good quality/standard"
3594004,81,"Maori activities experienced","Learnt about a new culture"
3594004,84,"Maori activities experienced","Good quality/standard"
3593724,101,"Maori activities experienced","Learnt about a new culture"
3593411,110,"Maori activities experienced","Learnt about a new culture"
3593411,112,"Maori activities experienced","Entertaining"
3593411,113,"Maori activities experienced","Good quality/standard"
3593411,115,"Maori activities experienced","Well organised"
3594022,83,"Food & beverage outlets","Too expensive"
3594022,86,"Customer service","Slow"
3594022,85,"Maori activities experienced","Did not live up to expectations"
3593427,97,"Maori activities experienced","Good quality/standard"
3593350,121,"NZ environment","More effort to preserve natural environment requir"
3594038,105,"Accommodation","Generally poor standard"
3594022,84,"Food & beverage outlets","Limited choices"
3593427,96,"Maori activities experienced","Entertaining"
3594038,107,"Food & beverage outlets","Supermarkets lack of variety"
3594038,109,"Maori activities experienced","Good quality/standard"
3594038,108,"Maori activities experienced","Learnt about a new culture"
3594038,111,"Maori activities experienced","Did not live up to expectations"
3594041,85,"Customer service","No reason"
3594038,110,"Maori activities experienced","Good staff"
3593411,111,"Maori activities experienced","Informative"
3593350,120,"NZ environment","Dull cities"
3593411,114,"Maori activities experienced","Good staff"
3593427,95,"Maori activities experienced","Learnt about a new culture"
3594022,87,"Customer service","Another reason"
