"SurveyResponseID","AnswerNumber","AmenityType","SatisfactionRatingReason"
3557793,83,"Activities experienced","Too expensive"
3557631,127,"Food & beverage outlets","Too expensive"
3557622,116,"Food & beverage outlets","Too expensive"
3557637,158,"Maori activities experienced","Informative"
3557637,161,"Maori activities experienced","Good staff"
3557622,117,"Food & beverage outlets","Poor food quality"
3557637,163,"i-Sites","No reason"
3557852,105,"Accommodation","Poor/old facilities"
3557621,152,"i-Sites","Pushed certain activities"
3557631,128,"Food & beverage outlets","Alcohol too expensive"
3557622,118,"Food & beverage outlets","Alcohol too expensive"
3557637,159,"Maori activities experienced","Entertaining"
3557637,162,"Maori activities experienced","Well organised"
3557685,95,"Food & beverage outlets","Too expensive"
3557690,108,"Accommodation","Too expensive"
3557685,96,"Food & beverage outlets","Poor service"
3557687,121,"Customer service","Staff didn't care"
3557685,98,"Customer service","Slow"
3557687,120,"Customer service","Staff not friendly"
3557664,110,"Commercial transport","Rental car/company did not meet expectations"
3557685,97,"Customer service","Staff seemed rushed"
3557664,111,"Commercial transport","Poor customer service"
3557707,83,"Commercial transport","No reason"
3557648,127,"i-Sites","Shut too early/short opening hours"
3557666,120,"i-Sites","Lack of knowledge on free attractions"
3557904,81,"Food & beverage outlets","Limited choices"
3557664,112,"Commercial transport","Another reason"
3557623,102,"i-Sites","Another reason"
3557663,104,"Food & beverage outlets","No reason"
3557679,93,"Commercial transport","Not sure"
3557737,113,"i-Sites","Shut too early/short opening hours"
3557679,95,"Maori activities experienced","Not very exciting/boring"
3557911,91,"Maori activities experienced","Informative"
3557911,92,"Maori activities experienced","Not very exciting/boring"
3557724,117,"Maori activities experienced","Informative"
3557943,128,"Accommodation","Poor standard of cleanliness/dirty"
3557666,119,"i-Sites","Lack of staff"
3557742,124,"Maori activities experienced","Informative"
3557724,118,"Maori activities experienced","Did not live up to expectations"
3557681,92,"Food & beverage outlets","Alcohol too expensive"
3557943,129,"Accommodation","Poor value for money"
3557846,148,"Maori activities experienced","Not sure"
3557789,85,"Commercial transport","No reason"
3557681,93,"Commercial transport","Another reason"
3557666,121,"i-Sites","Another reason"
3557679,94,"Maori activities experienced","Informative"
3557681,91,"Food & beverage outlets","Too expensive"
3557943,127,"Accommodation","Poor/old facilities"
3557943,131,"Food & beverage outlets","Poor service"
3557732,95,"Accommodation","No free internet"
3557858,122,"Food & beverage outlets","Another reason"
3557953,107,"Maori activities experienced","Learnt about a new culture"
3557953,110,"Maori activities experienced","Poor quality/standard"
3557815,104,"Food & beverage outlets","Poor food quality"
3557815,103,"Food & beverage outlets","Limited choices"
3557959,136,"Food & beverage outlets","Not as good as you get overseas"
3557953,108,"Maori activities experienced","Informative"
3557943,132,"Food & beverage outlets","Limited choices"
3557732,94,"Accommodation","Poor/old facilities"
3557858,121,"Food & beverage outlets","Too expensive"
3557959,135,"Food & beverage outlets","Too expensive"
3557867,82,"Commercial transport","Expensive"
3557892,105,"Commercial transport","No reason"
3557953,111,"Maori activities experienced","Well organised"
3558002,94,"Food & beverage outlets","Limited choices"
3557922,97,"Food & beverage outlets","Too expensive"
3557996,86,"NZ environment","No reason"
3557866,127,"Accommodation","Poor value for money"
3558012,124,"Commercial transport","Inconvenient public transportation"
3557971,86,"Sense of safety","No reason"
3557867,83,"Commercial transport","Inconvenient public transportation"
3558012,123,"Commercial transport","Expensive"
3557866,128,"Accommodation","Noisy"
3557932,113,"Commercial transport","Expensive"
3558008,115,"Commercial transport","Inconvenient public transportation"
3557932,114,"Commercial transport","Inconvenient public transportation"
3557943,130,"Accommodation","Noisy"
3557867,81,"Accommodation","Generally poor standard"
3557953,109,"Maori activities experienced","Did not live up to expectations"
3557889,141,"Customer service","Another reason"
3558002,95,"Food & beverage outlets","Another reason"
3558012,125,"Commercial transport","Another reason"
3558045,95,"Commercial transport","Another reason"
3557880,128,"Food & beverage outlets","Too expensive"
3557932,116,"Customer service","Slow"
3558111,107,"Customer service","Staff seemed rushed"
3558086,94,"Customer service","Staff not friendly"
3557898,114,"Food & beverage outlets","Supermarkets lack of variety"
3558086,96,"i-Sites","Incorrect/misleading information given"
3558051,88,"Maori activities experienced","No reason"
3558008,117,"Maori activities experienced","Good staff"
3557933,111,"Maori activities experienced","Learnt about a new culture"
3557933,112,"Maori activities experienced","Informative"
3557933,114,"Maori activities experienced","Well organised"
