"SurveyResponseID","AnswerNumber","TechnologyType"
3628902,122,"Wi-fi internet locations"
3628902,123,"Your own laptop or iPad/tablet"
3602489,134,"Gaming console with Wi-fi capacity"
3610479,121,"Your own laptop or iPad/tablet"
3625904,157,"Wi-fi internet locations"
3628901,147,"Smart phone"
3625899,102,"Smart phone"
3610438,155,"Smart phone"
3628902,121,"Smart phone"
3625904,156,"Smart phone"
3602521,122,"None of these"
3628916,133,"Wi-fi internet locations"
3602522,112,"Wi-fi internet locations"
3602522,113,"Your own laptop or iPad/tablet"
3625906,118,"Wi-fi internet locations"
3625906,119,"Your own laptop or iPad/tablet"
3610488,172,"Internet cafes"
3610488,171,"Smart phone"
3625915,135,"Smart phone"
3610488,173,"Wi-fi internet locations"
3610488,174,"Your own laptop or iPad/tablet"
3610488,175,"Gaming console with Wi-fi capacity"
3602537,123,"Wi-fi internet locations"
3602537,124,"Your own laptop or iPad/tablet"
3628919,123,"Wi-fi internet locations"
3625915,136,"Wi-fi internet locations"
3628919,122,"Smart phone"
3625922,125,"Smart phone"
3628935,111,"Smart phone"
3610497,145,"Smart phone"
3625922,126,"Wi-fi internet locations"
3625922,127,"Your own laptop or iPad/tablet"
3602538,155,"Wi-fi internet locations"
3602538,156,"Your own laptop or iPad/tablet"
3628935,112,"Wi-fi internet locations"
3610497,146,"Wi-fi internet locations"
3602552,111,"Wi-fi internet locations"
3610497,147,"Your own laptop or iPad/tablet"
3602552,112,"Your own laptop or iPad/tablet"
3625931,112,"Wi-fi internet locations"
3625931,113,"Your own laptop or iPad/tablet"
3602553,114,"Internet cafes"
3625931,111,"Smart phone"
3628936,125,"None of these"
3602553,113,"Smart phone"
3625947,116,"Smart phone"
3625947,117,"Your own laptop or iPad/tablet"
3602553,115,"Wi-fi internet locations"
3628953,130,"Wi-fi internet locations"
3602554,136,"Wi-fi internet locations"
3625954,116,"Internet cafes"
3625954,117,"Wi-fi internet locations"
3610529,118,"Other types of technology"
3625963,122,"Internet cafes"
3610520,137,"Smart phone"
3628953,129,"Smart phone"
3625954,115,"Smart phone"
3625963,121,"Smart phone"
3628967,116,"None of these"
3610531,139,"None of these"
3625965,190,"Wi-fi internet locations"
3628969,114,"Wi-fi internet locations"
3602586,109,"Wi-fi internet locations"
3625974,139,"Wi-fi internet locations"
3610554,135,"Wi-fi internet locations"
3602587,139,"Internet cafes"
3625974,140,"Your own laptop or iPad/tablet"
3602587,140,"Wi-fi internet locations"
3610554,136,"Your own laptop or iPad/tablet"
3602587,141,"Your own laptop or iPad/tablet"
3625965,189,"Smart phone"
3628969,113,"Smart phone"
3602586,108,"Smart phone"
3625974,138,"Smart phone"
3628970,105,"Smart phone"
3602587,138,"Smart phone"
3602588,100,"Smart phone"
3610556,139,"None of these"
3602605,126,"Smart phone"
3610570,139,"Smart phone"
3628970,106,"Your own laptop or iPad/tablet"
3602588,101,"Wi-fi internet locations"
3602604,120,"Your own laptop or iPad/tablet"
3602605,127,"Wi-fi internet locations"
3610570,140,"Wi-fi internet locations"
3602620,120,"Your own laptop or iPad/tablet"
3629002,105,"Your own laptop or iPad/tablet"
3610570,141,"Your own laptop or iPad/tablet"
3626006,223,"Wi-fi internet locations"
3610572,122,"Internet cafes"
3610572,123,"Wi-fi internet locations"
3626006,222,"Smart phone"
3602621,117,"None of these"
3610572,124,"Your own laptop or iPad/tablet"
3629017,113,"Smart phone"
3626022,107,"Smart phone"
3602622,140,"Wi-fi internet locations"
3626022,108,"Wi-fi internet locations"
3626022,109,"Your own laptop or iPad/tablet"
3629017,114,"Wi-fi internet locations"
3629017,115,"Your own laptop or iPad/tablet"
3602636,96,"Wi-fi internet locations"
3602636,97,"Your own laptop or iPad/tablet"
3629018,128,"Wi-fi internet locations"
3629018,129,"Your own laptop or iPad/tablet"
3629018,127,"Smart phone"
3610597,133,"Smart phone"
3610597,134,"Your own laptop or iPad/tablet"
3602638,130,"Wi-fi internet locations"
3626040,107,"Wi-fi internet locations"
3629033,105,"Wi-fi internet locations"
3629033,106,"Your own laptop or iPad/tablet"
3610604,121,"Wi-fi internet locations"
3626040,106,"Smart phone"
3629033,104,"Smart phone"
3602639,126,"None of these"
3626049,113,"Your own laptop or iPad/tablet"
3602653,133,"Wi-fi internet locations"
3602653,134,"Your own laptop or iPad/tablet"
3626054,150,"Wi-fi internet locations"
3626054,151,"Your own laptop or iPad/tablet"
3610613,135,"Internet cafes"
3626049,112,"Smart phone"
3629035,126,"Smart phone"
3602653,132,"Smart phone"
3626054,149,"Smart phone"
3629050,131,"Wi-fi internet locations"
3629050,132,"Your own laptop or iPad/tablet"
3610613,136,"Wi-fi internet locations"
3610613,137,"Your own laptop or iPad/tablet"
3610615,121,"Wi-fi internet locations"
3610615,122,"Your own laptop or iPad/tablet"
3629050,130,"Smart phone"
3602656,112,"None of these"
3626065,98,"Smart phone"
3629051,95,"Smart phone"
3629051,96,"Wi-fi internet locations"
3629051,97,"Your own laptop or iPad/tablet"
3602670,180,"Internet cafes"
3602670,181,"Wi-fi internet locations"
3602670,182,"Your own laptop or iPad/tablet"
3626079,112,"Internet cafes"
3602670,179,"Smart phone"
3626079,111,"Smart phone"
3629053,112,"Smart phone"
3602686,128,"None of these"
3626079,113,"Wi-fi internet locations"
3626079,114,"Your own laptop or iPad/tablet"
3602687,107,"None of these"
3629053,113,"Your own laptop or iPad/tablet"
3610624,135,"Your own laptop or iPad/tablet"
3629084,109,"Smart phone"
3610640,118,"Smart phone"
3610638,112,"Internet cafes"
3610638,113,"Your own laptop or iPad/tablet"
3626099,107,"Smart phone"
3629085,105,"None of these"
3602706,113,"None of these"
3610647,129,"Smart phone"
3610649,106,"Smart phone"
3610640,119,"Wi-fi internet locations"
3626099,108,"Wi-fi internet locations"
3629084,110,"Wi-fi internet locations"
3610647,130,"Your own laptop or iPad/tablet"
3610649,107,"Internet cafes"
3610649,108,"Wi-fi internet locations"
3626113,152,"Smart phone"
3629087,107,"Smart phone"
3610654,103,"Smart phone"
3602720,175,"Smart phone"
3626113,153,"Wi-fi internet locations"
3626113,154,"Your own laptop or iPad/tablet"
3626131,123,"Smart phone"
3626138,185,"Smart phone"
3610654,104,"Wi-fi internet locations"
3602720,176,"Your own laptop or iPad/tablet"
3626131,124,"Wi-fi internet locations"
3602736,119,"Wi-fi internet locations"
3626138,186,"Internet cafes"
3626138,187,"Wi-fi internet locations"
3626138,188,"Your own laptop or iPad/tablet"
3610663,119,"Wi-fi internet locations"
3610663,120,"Your own laptop or iPad/tablet"
3629101,153,"Your own laptop or iPad/tablet"
3602738,118,"Your own laptop or iPad/tablet"
3610663,118,"Smart phone"
3629101,152,"Smart phone"
3610665,96,"Smart phone"
3629102,140,"Smart phone"
3610665,97,"Wi-fi internet locations"
3626147,95,"Your own laptop or iPad/tablet"
3602739,123,"Wi-fi internet locations"
3602739,124,"Your own laptop or iPad/tablet"
3629102,141,"Wi-fi internet locations"
3629102,142,"Your own laptop or iPad/tablet"
3629103,99,"Smart phone"
3626149,114,"Smart phone"
3610674,141,"Smart phone"
3602754,154,"Smart phone"
3610672,138,"Internet cafes"
3626149,115,"Your own laptop or iPad/tablet"
3610674,142,"Wi-fi internet locations"
3629103,100,"Wi-fi internet locations"
3610674,143,"Your own laptop or iPad/tablet"
3602754,155,"Wi-fi internet locations"
3626156,137,"Smart phone"
3610679,131,"Smart phone"
3629117,101,"Smart phone"
3626158,118,"Smart phone"
3602754,156,"Your own laptop or iPad/tablet"
3626156,138,"Internet cafes"
3626156,139,"Wi-fi internet locations"
3610679,132,"Your own laptop or iPad/tablet"
3629117,102,"Wi-fi internet locations"
3626158,119,"Your own laptop or iPad/tablet"
3602755,133,"Wi-fi internet locations"
3602755,134,"Your own laptop or iPad/tablet"
3629120,120,"Smart phone"
3626165,119,"Smart phone"
3629120,121,"Your own laptop or iPad/tablet"
3610697,136,"None of these"
3602770,130,"Wi-fi internet locations"
3602773,115,"None of these"
3602770,131,"Your own laptop or iPad/tablet"
3610699,132,"Your own laptop or iPad/tablet"
3610704,97,"Smart phone"
3626181,154,"Smart phone"
3626174,122,"Wi-fi internet locations"
3629137,126,"Your own laptop or iPad/tablet"
3610704,98,"Wi-fi internet locations"
3602787,127,"Wi-fi internet locations"
3602787,128,"Your own laptop or iPad/tablet"
3626181,155,"Wi-fi internet locations"
3629151,132,"Smart phone"
3602788,122,"Smart phone"
3610713,123,"Smart phone"
3602789,136,"Smart phone"
3610688,86,"Other types of technology"
3602788,123,"Wi-fi internet locations"
3629151,133,"Wi-fi internet locations"
3629151,134,"Your own laptop or iPad/tablet"
3610713,124,"Wi-fi internet locations"
3610713,125,"Your own laptop or iPad/tablet"
3602790,128,"Internet cafes"
3602790,127,"Smart phone"
3629153,89,"None of these"
3602790,129,"Your own laptop or iPad/tablet"
3626206,121,"Wi-fi internet locations"
3626206,122,"Your own laptop or iPad/tablet"
3610729,132,"Your own laptop or iPad/tablet"
3602803,124,"Wi-fi internet locations"
3626206,120,"Smart phone"
3602803,123,"Smart phone"
3602805,131,"Wi-fi internet locations"
3626208,128,"Smart phone"
3610731,111,"Smart phone"
3610731,112,"Internet cafes"
3610731,113,"Your own laptop or iPad/tablet"
3602805,132,"Your own laptop or iPad/tablet"
3629169,167,"Internet cafes"
3629169,168,"Wi-fi internet locations"
3629169,169,"Your own laptop or iPad/tablet"
3626215,129,"Smart phone"
3629169,166,"Smart phone"
3629184,114,"Smart phone"
3610740,128,"None of these"
3602806,128,"Your own laptop or iPad/tablet"
3629184,115,"Wi-fi internet locations"
3626249,95,"Wi-fi internet locations"
3602823,138,"Smart phone"
3629186,125,"Smart phone"
3602823,139,"Wi-fi internet locations"
3629186,126,"Wi-fi internet locations"
3602837,129,"Wi-fi internet locations"
3610756,127,"Smart phone"
3626263,122,"Smart phone"
3602837,130,"Your own laptop or iPad/tablet"
3610756,128,"Wi-fi internet locations"
3626263,123,"Wi-fi internet locations"
3629187,132,"Wi-fi internet locations"
3629187,131,"Smart phone"
3626265,115,"Smart phone"
3629187,133,"Your own laptop or iPad/tablet"
3610763,130,"Internet cafes"
3602853,178,"Smart phone"
3629201,118,"Smart phone"
3626265,116,"Wi-fi internet locations"
3610763,131,"Wi-fi internet locations"
3602853,179,"Internet cafes"
3602853,180,"Wi-fi internet locations"
3610765,122,"Internet cafes"
3610765,123,"Wi-fi internet locations"
3610765,124,"Your own laptop or iPad/tablet"
3626272,120,"Smart phone"
3602854,125,"Smart phone"
3602854,126,"Wi-fi internet locations"
3629218,126,"Wi-fi internet locations"
3626281,113,"Wi-fi internet locations"
3626281,114,"Your own laptop or iPad/tablet"
3602855,133,"Internet cafes"
3602855,134,"Wi-fi internet locations"
3626281,112,"Smart phone"
3602855,132,"Smart phone"
3602855,135,"Your own laptop or iPad/tablet"
3626288,150,"Smart phone"
3629220,134,"Smart phone"
3610774,122,"Wi-fi internet locations"
3626290,109,"Smart phone"
3610781,121,"Smart phone"
3610774,123,"Your own laptop or iPad/tablet"
3626288,151,"Wi-fi internet locations"
3629220,135,"Internet cafes"
3610781,122,"Wi-fi internet locations"
3626290,110,"Wi-fi internet locations"
3602871,119,"Internet cafes"
3602871,120,"Wi-fi internet locations"
3629234,123,"Wi-fi internet locations"
3602872,119,"Wi-fi internet locations"
3602872,118,"Smart phone"
3629235,137,"Smart phone"
3602872,120,"Gaming console with Wi-fi capacity"
3629235,138,"Wi-fi internet locations"
3602873,144,"Smart phone"
3626313,107,"Smart phone"
3610797,115,"Internet cafes"
3610797,116,"Wi-fi internet locations"
3629235,139,"Your own laptop or iPad/tablet"
3610797,117,"Your own laptop or iPad/tablet"
3602873,145,"Wi-fi internet locations"
3626313,108,"Wi-fi internet locations"
3610799,106,"Smart phone"
3626315,169,"Smart phone"
3629236,118,"Smart phone"
3602890,98,"Smart phone"
3602873,146,"Your own laptop or iPad/tablet"
3602888,139,"Wi-fi internet locations"
3610799,107,"Your own laptop or iPad/tablet"
3626315,170,"Internet cafes"
3626315,171,"Wi-fi internet locations"
3626315,172,"Your own laptop or iPad/tablet"
3610806,147,"Smart phone"
3626324,123,"Smart phone"
3629267,132,"Smart phone"
3602903,134,"Smart phone"
3602890,99,"Your own laptop or iPad/tablet"
3610813,121,"Smart phone"
3626338,122,"Smart phone"
3610806,148,"Wi-fi internet locations"
3626324,124,"Wi-fi internet locations"
3629267,133,"Wi-fi internet locations"
3629267,134,"Your own laptop or iPad/tablet"
3602903,135,"Your own laptop or iPad/tablet"
3629268,131,"Smart phone"
3602904,137,"Smart phone"
3626338,123,"Wi-fi internet locations"
3610813,122,"Wi-fi internet locations"
3626338,124,"Your own laptop or iPad/tablet"
3629268,132,"Wi-fi internet locations"
3629268,133,"Your own laptop or iPad/tablet"
3602904,138,"Wi-fi internet locations"
3629284,92,"Smart phone"
3626363,107,"Smart phone"
3610824,123,"Smart phone"
3602907,99,"Smart phone"
3602905,169,"Wi-fi internet locations"
3602905,170,"Your own laptop or iPad/tablet"
3626363,108,"Wi-fi internet locations"
3629285,165,"Wi-fi internet locations"
3610824,124,"Wi-fi internet locations"
3602907,100,"Wi-fi internet locations"
3626367,93,"Smart phone"
3629287,121,"Smart phone"
3602920,110,"Smart phone"
3626372,138,"None of these"
3602907,101,"Your own laptop or iPad/tablet"
3626367,94,"Wi-fi internet locations"
3629287,122,"Wi-fi internet locations"
3610838,121,"Wi-fi internet locations"
3610838,122,"Your own laptop or iPad/tablet"
3610840,127,"Internet cafes"
3626381,120,"Smart phone"
3610840,126,"Smart phone"
3602921,102,"Smart phone"
3602922,110,"Smart phone"
3602921,103,"Wi-fi internet locations"
3602921,104,"Your own laptop or iPad/tablet"
3626381,121,"Wi-fi internet locations"
3629304,108,"Wi-fi internet locations"
3610840,128,"Your own laptop or iPad/tablet"
3602922,111,"Wi-fi internet locations"
3602922,112,"Your own laptop or iPad/tablet"
3629317,102,"Wi-fi internet locations"
3602923,124,"Wi-fi internet locations"
3629317,103,"Your own laptop or iPad/tablet"
3610856,100,"Wi-fi internet locations"
3602923,125,"Your own laptop or iPad/tablet"
3610856,101,"Your own laptop or iPad/tablet"
3602940,115,"Wi-fi internet locations"
3602940,116,"Your own laptop or iPad/tablet"
3629317,101,"Smart phone"
3602923,123,"Smart phone"
3610856,99,"Smart phone"
3602939,114,"None of these"
3626392,140,"Smart phone"
3629319,92,"Smart phone"
3626397,97,"Wi-fi internet locations"
3626397,98,"Your own laptop or iPad/tablet"
3629321,128,"Wi-fi internet locations"
3626399,94,"Your own laptop or iPad/tablet"
3602955,112,"Wi-fi internet locations"
3626408,130,"Wi-fi internet locations"
3602955,113,"Your own laptop or iPad/tablet"
3629335,96,"Wi-fi internet locations"
3629335,97,"Your own laptop or iPad/tablet"
3626397,96,"Smart phone"
3629321,127,"Smart phone"
3626399,93,"Smart phone"
3629334,101,"Smart phone"
3626408,129,"Smart phone"
3610897,99,"Smart phone"
3629335,95,"Smart phone"
3626415,124,"Smart phone"
3626415,125,"Wi-fi internet locations"
3610906,124,"Internet cafes"
3626417,119,"Wi-fi internet locations"
3602970,116,"Wi-fi internet locations"
3610906,123,"Smart phone"
3626417,118,"Smart phone"
3602970,115,"Smart phone"
3610931,142,"None of these"
3629352,94,"Smart phone"
3626431,93,"Smart phone"
3629353,119,"Smart phone"
3602987,115,"Smart phone"
3602970,117,"Your own laptop or iPad/tablet"
3626422,100,"Gaming console with Wi-fi capacity"
3602971,133,"Your own laptop or iPad/tablet"
3629352,95,"Wi-fi internet locations"
3626431,94,"Your own laptop or iPad/tablet"
3629353,120,"Wi-fi internet locations"
3602987,116,"Wi-fi internet locations"
3602987,117,"Gaming console with Wi-fi capacity"
3626440,143,"Wi-fi internet locations"
3629354,132,"Wi-fi internet locations"
3602989,102,"Wi-fi internet locations"
3610965,110,"Wi-fi internet locations"
3610965,111,"Other types of technology"
3610956,119,"Smart phone"
3602990,142,"Smart phone"
3626442,98,"Wi-fi internet locations"
3602990,143,"Your own laptop or iPad/tablet"
3626449,97,"Your own laptop or iPad/tablet"
3629371,106,"Smart phone"
3626449,96,"Smart phone"
3603004,128,"Wi-fi internet locations"
3610972,137,"Wi-fi internet locations"
3603004,127,"Smart phone"
3626456,124,"Smart phone"
3626456,125,"Wi-fi internet locations"
3603007,116,"Internet cafes"
3603007,117,"Wi-fi internet locations"
3629387,133,"Wi-fi internet locations"
3629387,134,"Your own laptop or iPad/tablet"
3610981,118,"Wi-fi internet locations"
3610981,119,"Your own laptop or iPad/tablet"
3603007,115,"Smart phone"
3629387,132,"Smart phone"
3629404,96,"Smart phone"
3603023,133,"Smart phone"
3629418,114,"Smart phone"
3610988,130,"Smart phone"
3629404,97,"Wi-fi internet locations"
3603023,134,"Your own laptop or iPad/tablet"
3626472,129,"Your own laptop or iPad/tablet"
3610988,131,"Internet cafes"
3610988,132,"Wi-fi internet locations"
3603037,120,"Wi-fi internet locations"
3626483,156,"Smart phone"
3629420,114,"Smart phone"
3603038,132,"Wi-fi internet locations"
3626483,157,"Wi-fi internet locations"
3626483,158,"Your own laptop or iPad/tablet"
3626483,159,"Gaming console with Wi-fi capacity"
3629420,115,"Your own laptop or iPad/tablet"
3603039,124,"Your own laptop or iPad/tablet"
3611006,173,"Smart phone"
3626490,150,"Smart phone"
3603040,108,"Smart phone"
3629434,154,"Smart phone"
3611006,174,"Wi-fi internet locations"
3626490,151,"Wi-fi internet locations"
3626490,152,"Your own laptop or iPad/tablet"
3603040,109,"Your own laptop or iPad/tablet"
3629434,155,"Wi-fi internet locations"
3611006,175,"Your own laptop or iPad/tablet"
3629434,156,"Your own laptop or iPad/tablet"
3603054,139,"Your own laptop or iPad/tablet"
3611008,142,"Smart phone"
3629435,156,"Smart phone"
3625773,113,"Smart phone"
3603057,131,"Smart phone"
3611008,143,"Wi-fi internet locations"
3629435,157,"Internet cafes"
3629435,158,"Wi-fi internet locations"
3629435,159,"Your own laptop or iPad/tablet"
3625773,114,"Wi-fi internet locations"
3625773,115,"Your own laptop or iPad/tablet"
3626508,132,"Smart phone"
3629438,100,"Smart phone"
3603057,132,"Wi-fi internet locations"
3603057,133,"Your own laptop or iPad/tablet"
3629437,133,"Wi-fi internet locations"
3629438,101,"Wi-fi internet locations"
3603070,163,"Internet cafes"
3629451,118,"Wi-fi internet locations"
3603070,162,"Smart phone"
3629451,117,"Smart phone"
3626531,133,"Smart phone"
3625796,94,"Smart phone"
3603070,164,"Wi-fi internet locations"
3625796,95,"Wi-fi internet locations"
3625796,96,"Your own laptop or iPad/tablet"
3626540,128,"Wi-fi internet locations"
3603071,132,"Your own laptop or iPad/tablet"
3629454,105,"Wi-fi internet locations"
3626540,127,"Smart phone"
3603071,131,"Smart phone"
3629454,104,"Smart phone"
3625798,133,"Smart phone"
3625798,134,"Wi-fi internet locations"
3603072,124,"Wi-fi internet locations"
3629454,106,"Your own laptop or iPad/tablet"
3603072,125,"Your own laptop or iPad/tablet"
3625798,135,"Your own laptop or iPad/tablet"
3625805,162,"Wi-fi internet locations"
3626547,96,"Smart phone"
3603072,123,"Smart phone"
3625805,161,"Smart phone"
3629471,119,"Smart phone"
3629471,120,"Wi-fi internet locations"
3603088,123,"Your own laptop or iPad/tablet"
3629471,121,"Your own laptop or iPad/tablet"
3603089,111,"Wi-fi internet locations"
3626558,136,"Internet cafes"
3603104,123,"Your own laptop or iPad/tablet"
3625807,118,"Smart phone"
3626556,137,"Smart phone"
3603089,110,"Smart phone"
3626558,135,"Smart phone"
3625814,143,"Wi-fi internet locations"
3629504,125,"Wi-fi internet locations"
3629504,126,"Your own laptop or iPad/tablet"
3625814,144,"Your own laptop or iPad/tablet"
3603105,103,"Wi-fi internet locations"
3603105,104,"Your own laptop or iPad/tablet"
3625814,142,"Smart phone"
3626567,115,"Smart phone"
3629504,124,"Smart phone"
3603105,102,"Smart phone"
3629518,104,"Smart phone"
3625823,116,"Smart phone"
3603107,124,"Wi-fi internet locations"
3626572,136,"Wi-fi internet locations"
3603107,125,"Your own laptop or iPad/tablet"
3625823,117,"Wi-fi internet locations"
3629518,105,"Wi-fi internet locations"
3629519,98,"Your own laptop or iPad/tablet"
3625830,135,"Internet cafes"
3625839,125,"Wi-fi internet locations"
3626574,127,"Wi-fi internet locations"
3603123,111,"Wi-fi internet locations"
3603123,112,"Your own laptop or iPad/tablet"
3629536,116,"Wi-fi internet locations"
3603124,125,"Wi-fi internet locations"
3626583,103,"Wi-fi internet locations"
3603137,110,"Wi-fi internet locations"
3626583,104,"Your own laptop or iPad/tablet"
3603137,111,"Your own laptop or iPad/tablet"
3603107,123,"Smart phone"
3626574,126,"Smart phone"
3625839,124,"Smart phone"
3603123,110,"Smart phone"
3629536,115,"Smart phone"
3626583,102,"Smart phone"
3603137,109,"Smart phone"
3629538,99,"Smart phone"
3629538,100,"Wi-fi internet locations"
3603139,122,"Internet cafes"
3626599,114,"Wi-fi internet locations"
3603141,115,"Wi-fi internet locations"
3603141,116,"Your own laptop or iPad/tablet"
3603139,123,"Other types of technology"
3626599,113,"Smart phone"
3629552,106,"Smart phone"
3625898,126,"Your own laptop or iPad/tablet"
3603141,114,"Smart phone"
3625898,125,"Smart phone"
3626606,156,"Wi-fi internet locations"
3626606,157,"Your own laptop or iPad/tablet"
3626606,155,"Smart phone"
3629555,134,"Smart phone"
3625905,111,"Wi-fi internet locations"
3603154,123,"Wi-fi internet locations"
3625905,112,"Your own laptop or iPad/tablet"
3603154,124,"Your own laptop or iPad/tablet"
3629603,100,"Wi-fi internet locations"
3625905,110,"Smart phone"
3603154,122,"Smart phone"
3625914,125,"Wi-fi internet locations"
3603155,108,"Smart phone"
3625914,124,"Smart phone"
3603157,119,"Wi-fi internet locations"
3603157,120,"Your own laptop or iPad/tablet"
3626651,177,"Wi-fi internet locations"
3625930,105,"Your own laptop or iPad/tablet"
3603187,123,"Wi-fi internet locations"
3603157,118,"Smart phone"
3626651,176,"Smart phone"
3629618,107,"Smart phone"
3603172,120,"None of these"
3625930,104,"Smart phone"
3603187,122,"Smart phone"
3625932,136,"Wi-fi internet locations"
3626674,167,"Your own laptop or iPad/tablet"
3625932,137,"Your own laptop or iPad/tablet"
3629636,124,"Wi-fi internet locations"
3629636,125,"Your own laptop or iPad/tablet"
3603188,108,"Wi-fi internet locations"
3603188,109,"Your own laptop or iPad/tablet"
3626681,179,"Internet cafes"
3626681,180,"Wi-fi internet locations"
3626681,181,"Your own laptop or iPad/tablet"
3625932,135,"Smart phone"
3626674,166,"Smart phone"
3629636,123,"Smart phone"
3625948,121,"None of these"
3629637,125,"Your own laptop or iPad/tablet"
3603189,113,"Wi-fi internet locations"
3603189,114,"Your own laptop or iPad/tablet"
3625955,121,"Internet cafes"
3625955,122,"Wi-fi internet locations"
3603204,120,"Your own laptop or iPad/tablet"
3625955,123,"Your own laptop or iPad/tablet"
3626690,153,"Wi-fi internet locations"
3626690,154,"Your own laptop or iPad/tablet"
3603189,115,"Other types of technology"
3629652,115,"Wi-fi internet locations"
3603205,126,"Wi-fi internet locations"
3603205,127,"Your own laptop or iPad/tablet"
3626681,178,"Smart phone"
3629637,124,"Smart phone"
3603189,112,"Smart phone"
3625955,120,"Smart phone"
3603204,119,"Smart phone"
3626690,152,"Smart phone"
3625962,125,"Smart phone"
3629654,121,"Smart phone"
3603222,111,"Wi-fi internet locations"
3629655,108,"Wi-fi internet locations"
3625966,154,"Wi-fi internet locations"
3625966,155,"Your own laptop or iPad/tablet"
3626701,139,"Wi-fi internet locations"
3603223,121,"Your own laptop or iPad/tablet"
3626724,110,"Internet cafes"
3626724,111,"Wi-fi internet locations"
3629655,109,"Your own laptop or iPad/tablet"
3603238,121,"Wi-fi internet locations"
3603222,110,"Smart phone"
3629655,107,"Smart phone"
3625966,153,"Smart phone"
3625989,170,"None of these"
3603238,122,"Your own laptop or iPad/tablet"
3626731,132,"Wi-fi internet locations"
3626731,133,"Your own laptop or iPad/tablet"
3629670,98,"Your own laptop or iPad/tablet"
3626005,120,"Your own laptop or iPad/tablet"
3626733,101,"Wi-fi internet locations"
3626731,134,"Other types of technology"
3626724,109,"Smart phone"
3603238,120,"Smart phone"
3626731,131,"Smart phone"
3626733,100,"Smart phone"
3626749,103,"Smart phone"
3629686,97,"Smart phone"
3626016,140,"Smart phone"
3629687,99,"Smart phone"
3603241,125,"Wi-fi internet locations"
3603241,126,"Your own laptop or iPad/tablet"
3626749,104,"Wi-fi internet locations"
3629686,98,"Your own laptop or iPad/tablet"
3626016,141,"Wi-fi internet locations"
3629687,100,"Wi-fi internet locations"
3626756,170,"Smart phone"
3626758,122,"Smart phone"
3629721,102,"Smart phone"
3603274,95,"Smart phone"
3629687,101,"Your own laptop or iPad/tablet"
3626756,171,"Wi-fi internet locations"
3626758,123,"Wi-fi internet locations"
3626758,124,"Your own laptop or iPad/tablet"
3626039,119,"Internet cafes"
3626039,120,"Your own laptop or iPad/tablet"
3626767,201,"Smart phone"
3629738,115,"Smart phone"
3603274,96,"Wi-fi internet locations"
3626767,202,"Internet cafes"
3626767,203,"Wi-fi internet locations"
3626767,204,"Your own laptop or iPad/tablet"
3629738,116,"Wi-fi internet locations"
3629738,117,"Your own laptop or iPad/tablet"
3629738,118,"Gaming console with Wi-fi capacity"
3603288,116,"Your own laptop or iPad/tablet"
3626781,165,"Wi-fi internet locations"
3626041,98,"Wi-fi internet locations"
3626781,166,"Your own laptop or iPad/tablet"
3629754,144,"Wi-fi internet locations"
3626781,164,"Smart phone"
3629754,143,"Smart phone"
3629754,145,"Your own laptop or iPad/tablet"
3629755,101,"Smart phone"
3603290,112,"Smart phone"
3626790,114,"Wi-fi internet locations"
3626790,113,"Smart phone"
3626071,140,"Smart phone"
3626790,115,"Your own laptop or iPad/tablet"
3603290,113,"Wi-fi internet locations"
3603290,114,"Your own laptop or iPad/tablet"
3603304,120,"Internet cafes"
3629785,128,"Your own laptop or iPad/tablet"
3603304,121,"Your own laptop or iPad/tablet"
3603304,122,"Other types of technology"
3629771,120,"Smart phone"
3626792,127,"None of these"
3626810,96,"Wi-fi internet locations"
3626080,111,"None of these"
3626089,111,"Wi-fi internet locations"
3626810,97,"Your own laptop or iPad/tablet"
3626810,95,"Smart phone"
3626089,110,"Smart phone"
3626089,112,"Your own laptop or iPad/tablet"
3629786,149,"Internet cafes"
3629786,148,"Smart phone"
3626817,117,"Smart phone"
3629786,150,"Wi-fi internet locations"
3629786,151,"Your own laptop or iPad/tablet"
3629788,94,"Wi-fi internet locations"
3626817,118,"Internet cafes"
3626817,119,"Wi-fi internet locations"
3629788,95,"Your own laptop or iPad/tablet"
3603308,105,"Smart phone"
3626105,109,"Smart phone"
3626831,108,"Smart phone"
3626835,117,"Smart phone"
3603308,106,"Wi-fi internet locations"
3603308,107,"Your own laptop or iPad/tablet"
3626105,110,"Your own laptop or iPad/tablet"
3629819,94,"Wi-fi internet locations"
3629819,95,"Your own laptop or iPad/tablet"
3626831,109,"Wi-fi internet locations"
3603322,132,"Smart phone"
3626114,136,"Smart phone"
3629822,97,"Smart phone"
3626840,110,"Smart phone"
3626835,118,"Your own laptop or iPad/tablet"
3603322,133,"Wi-fi internet locations"
3626116,105,"Smart phone"
3603324,104,"Smart phone"
3626114,137,"Wi-fi internet locations"
3629822,98,"Wi-fi internet locations"
3629836,96,"None of these"
3626840,111,"Wi-fi internet locations"
3626116,106,"Wi-fi internet locations"
3603324,105,"Wi-fi internet locations"
3603324,106,"Your own laptop or iPad/tablet"
3626858,110,"Your own laptop or iPad/tablet"
3626858,109,"Smart phone"
3603338,113,"Smart phone"
3626860,156,"Your own laptop or iPad/tablet"
3626860,155,"Smart phone"
3626121,136,"Smart phone"
3603338,114,"Internet cafes"
3629852,107,"Smart phone"
3626867,178,"Smart phone"
3603338,115,"Wi-fi internet locations"
3603338,116,"Your own laptop or iPad/tablet"
