"SurveyResponseID","AnswerNumber","InformationSourceUsed"
3607028,100,"Local New Zealanders I met once in New Zealand"
3610065,115,"Local New Zealanders I met once in New Zealand"
3610126,190,"Local New Zealanders I met once in New Zealand"
3610106,171,"Local New Zealanders I met once in New Zealand"
3610139,193,"Local New Zealanders I met once in New Zealand"
3610148,200,"Local New Zealanders I met once in New Zealand"
3610168,187,"Local New Zealanders I met once in New Zealand"
3610172,212,"Local New Zealanders I met once in New Zealand"
3610169,154,"Local New Zealanders I met once in New Zealand"
3609812,185,"Local New Zealanders I met once in New Zealand"
3609831,125,"Local New Zealanders I met once in New Zealand"
3609839,148,"Local New Zealanders I met once in New Zealand"
3609879,170,"Local New Zealanders I met once in New Zealand"
3609883,115,"Local New Zealanders I met once in New Zealand"
3609868,209,"Local New Zealanders I met once in New Zealand"
3609858,132,"Local New Zealanders I met once in New Zealand"
3609887,149,"Local New Zealanders I met once in New Zealand"
3609888,192,"Local New Zealanders I met once in New Zealand"
3609900,102,"Local New Zealanders I met once in New Zealand"
3609889,163,"Local New Zealanders I met once in New Zealand"
3609913,152,"Local New Zealanders I met once in New Zealand"
3609914,152,"Local New Zealanders I met once in New Zealand"
3609902,137,"Local New Zealanders I met once in New Zealand"
3609901,182,"Local New Zealanders I met once in New Zealand"
3609904,130,"Local New Zealanders I met once in New Zealand"
3609909,154,"Local New Zealanders I met once in New Zealand"
3609924,136,"Local New Zealanders I met once in New Zealand"
3609925,145,"Local New Zealanders I met once in New Zealand"
3609954,121,"Local New Zealanders I met once in New Zealand"
3609940,125,"Local New Zealanders I met once in New Zealand"
3609959,164,"Local New Zealanders I met once in New Zealand"
3609967,178,"Local New Zealanders I met once in New Zealand"
3609972,168,"Local New Zealanders I met once in New Zealand"
3609983,145,"Local New Zealanders I met once in New Zealand"
3609976,124,"Local New Zealanders I met once in New Zealand"
3609987,157,"Local New Zealanders I met once in New Zealand"
3609988,110,"Local New Zealanders I met once in New Zealand"
3609992,132,"Local New Zealanders I met once in New Zealand"
3609993,202,"Local New Zealanders I met once in New Zealand"
3609998,219,"Local New Zealanders I met once in New Zealand"
3610004,164,"Local New Zealanders I met once in New Zealand"
3610007,140,"Local New Zealanders I met once in New Zealand"
3610011,124,"Local New Zealanders I met once in New Zealand"
3610032,123,"Local New Zealanders I met once in New Zealand"
3610042,142,"Local New Zealanders I met once in New Zealand"
3610028,121,"Local New Zealanders I met once in New Zealand"
3610052,144,"Local New Zealanders I met once in New Zealand"
3610061,150,"Local New Zealanders I met once in New Zealand"
3610189,117,"Local New Zealanders I met once in New Zealand"
3610191,112,"Local New Zealanders I met once in New Zealand"
3610199,122,"Local New Zealanders I met once in New Zealand"
3610225,108,"Local New Zealanders I met once in New Zealand"
3610219,120,"Local New Zealanders I met once in New Zealand"
3610217,130,"Local New Zealanders I met once in New Zealand"
3610253,140,"Local New Zealanders I met once in New Zealand"
3610256,170,"Local New Zealanders I met once in New Zealand"
3610262,140,"Local New Zealanders I met once in New Zealand"
3610267,122,"Local New Zealanders I met once in New Zealand"
3610271,120,"Local New Zealanders I met once in New Zealand"
3610274,131,"Local New Zealanders I met once in New Zealand"
3610287,123,"Local New Zealanders I met once in New Zealand"
3610309,128,"Local New Zealanders I met once in New Zealand"
3610316,119,"Local New Zealanders I met once in New Zealand"
3610317,137,"Local New Zealanders I met once in New Zealand"
3610328,160,"Local New Zealanders I met once in New Zealand"
3610355,136,"Local New Zealanders I met once in New Zealand"
3610352,144,"Local New Zealanders I met once in New Zealand"
3610351,128,"Local New Zealanders I met once in New Zealand"
3610349,141,"Local New Zealanders I met once in New Zealand"
3610341,136,"Local New Zealanders I met once in New Zealand"
3610383,174,"Local New Zealanders I met once in New Zealand"
3610396,129,"Local New Zealanders I met once in New Zealand"
3610412,166,"Local New Zealanders I met once in New Zealand"
3610421,130,"Local New Zealanders I met once in New Zealand"
3610422,143,"Local New Zealanders I met once in New Zealand"
3610468,125,"Local New Zealanders I met once in New Zealand"
3610473,115,"Local New Zealanders I met once in New Zealand"
3610483,137,"Local New Zealanders I met once in New Zealand"
3610492,149,"Local New Zealanders I met once in New Zealand"
3610497,140,"Local New Zealanders I met once in New Zealand"
3610527,131,"Local New Zealanders I met once in New Zealand"
3610524,162,"Local New Zealanders I met once in New Zealand"
3610529,115,"Local New Zealanders I met once in New Zealand"
3610533,118,"Local New Zealanders I met once in New Zealand"
3610539,123,"Local New Zealanders I met once in New Zealand"
3610600,130,"Local New Zealanders I met once in New Zealand"
3610604,118,"Local New Zealanders I met once in New Zealand"
3610615,118,"Local New Zealanders I met once in New Zealand"
3610632,129,"Local New Zealanders I met once in New Zealand"
3610638,109,"Local New Zealanders I met once in New Zealand"
3610624,130,"Local New Zealanders I met once in New Zealand"
3610649,104,"Local New Zealanders I met once in New Zealand"
3610653,117,"Local New Zealanders I met once in New Zealand"
3610647,124,"Local New Zealanders I met once in New Zealand"
3610673,114,"Local New Zealanders I met once in New Zealand"
3610685,117,"Local New Zealanders I met once in New Zealand"
3610691,108,"Local New Zealanders I met once in New Zealand"
3610737,126,"Local New Zealanders I met once in New Zealand"
3610740,125,"Local New Zealanders I met once in New Zealand"
3610786,113,"Local New Zealanders I met once in New Zealand"
3610789,140,"Local New Zealanders I met once in New Zealand"
3610791,155,"Local New Zealanders I met once in New Zealand"
3610806,144,"Local New Zealanders I met once in New Zealand"
3610823,113,"Local New Zealanders I met once in New Zealand"
3610845,124,"Local New Zealanders I met once in New Zealand"
3610832,97,"Local New Zealanders I met once in New Zealand"
3610853,126,"Local New Zealanders I met once in New Zealand"
3610824,120,"Local New Zealanders I met once in New Zealand"
3610836,114,"Local New Zealanders I met once in New Zealand"
3610869,132,"Local New Zealanders I met once in New Zealand"
3610902,172,"Local New Zealanders I met once in New Zealand"
3610934,109,"Local New Zealanders I met once in New Zealand"
3610932,151,"Local New Zealanders I met once in New Zealand"
3611027,116,"Local New Zealanders I met once in New Zealand"
3611029,109,"Local New Zealanders I met once in New Zealand"
3611035,168,"Local New Zealanders I met once in New Zealand"
3611009,133,"Local New Zealanders I met once in New Zealand"
3611006,167,"Local New Zealanders I met once in New Zealand"
3611054,97,"Local New Zealanders I met once in New Zealand"
3611051,122,"Local New Zealanders I met once in New Zealand"
3611078,156,"Local New Zealanders I met once in New Zealand"
3611074,109,"Local New Zealanders I met once in New Zealand"
3611072,130,"Local New Zealanders I met once in New Zealand"
3611100,129,"Local New Zealanders I met once in New Zealand"
3611099,117,"Local New Zealanders I met once in New Zealand"
3611085,105,"Local New Zealanders I met once in New Zealand"
3611102,154,"Local New Zealanders I met once in New Zealand"
3611115,116,"Local New Zealanders I met once in New Zealand"
3611142,122,"Local New Zealanders I met once in New Zealand"
3611154,110,"Local New Zealanders I met once in New Zealand"
3611179,134,"Local New Zealanders I met once in New Zealand"
3611200,119,"Local New Zealanders I met once in New Zealand"
3611199,163,"Local New Zealanders I met once in New Zealand"
3611180,101,"Local New Zealanders I met once in New Zealand"
3611223,115,"Local New Zealanders I met once in New Zealand"
3611216,123,"Local New Zealanders I met once in New Zealand"
3611240,151,"Local New Zealanders I met once in New Zealand"
3611247,87,"Local New Zealanders I met once in New Zealand"
3611334,120,"Local New Zealanders I met once in New Zealand"
3611341,104,"Local New Zealanders I met once in New Zealand"
3611330,120,"Local New Zealanders I met once in New Zealand"
3611310,117,"Local New Zealanders I met once in New Zealand"
3611307,117,"Local New Zealanders I met once in New Zealand"
3611378,104,"Local New Zealanders I met once in New Zealand"
3611392,110,"Local New Zealanders I met once in New Zealand"
3611363,119,"Local New Zealanders I met once in New Zealand"
3611456,132,"Local New Zealanders I met once in New Zealand"
3611450,113,"Local New Zealanders I met once in New Zealand"
3611478,117,"Local New Zealanders I met once in New Zealand"
3611504,118,"Local New Zealanders I met once in New Zealand"
3611515,136,"Local New Zealanders I met once in New Zealand"
3611505,126,"Local New Zealanders I met once in New Zealand"
3611506,136,"Local New Zealanders I met once in New Zealand"
3611561,99,"Local New Zealanders I met once in New Zealand"
3611568,119,"Local New Zealanders I met once in New Zealand"
3611577,102,"Local New Zealanders I met once in New Zealand"
3611647,133,"Local New Zealanders I met once in New Zealand"
3611610,109,"Local New Zealanders I met once in New Zealand"
3611668,111,"Local New Zealanders I met once in New Zealand"
3611670,98,"Local New Zealanders I met once in New Zealand"
3611684,116,"Local New Zealanders I met once in New Zealand"
3611681,101,"Local New Zealanders I met once in New Zealand"
3611723,110,"Local New Zealanders I met once in New Zealand"
3611714,124,"Local New Zealanders I met once in New Zealand"
3611695,116,"Local New Zealanders I met once in New Zealand"
3611762,121,"Local New Zealanders I met once in New Zealand"
3611754,99,"Local New Zealanders I met once in New Zealand"
3611742,127,"Local New Zealanders I met once in New Zealand"
3611746,115,"Local New Zealanders I met once in New Zealand"
3611788,115,"Local New Zealanders I met once in New Zealand"
3611776,96,"Local New Zealanders I met once in New Zealand"
3611818,157,"Local New Zealanders I met once in New Zealand"
3611817,105,"Local New Zealanders I met once in New Zealand"
3611848,111,"Local New Zealanders I met once in New Zealand"
3611910,113,"Local New Zealanders I met once in New Zealand"
3611904,111,"Local New Zealanders I met once in New Zealand"
3611898,96,"Local New Zealanders I met once in New Zealand"
3611884,111,"Local New Zealanders I met once in New Zealand"
3611993,112,"Local New Zealanders I met once in New Zealand"
3611981,125,"Local New Zealanders I met once in New Zealand"
3611984,119,"Local New Zealanders I met once in New Zealand"
3611975,122,"Local New Zealanders I met once in New Zealand"
3611940,123,"Local New Zealanders I met once in New Zealand"
3611953,121,"Local New Zealanders I met once in New Zealand"
3611926,113,"Local New Zealanders I met once in New Zealand"
3612029,106,"Local New Zealanders I met once in New Zealand"
3612049,118,"Local New Zealanders I met once in New Zealand"
3612097,129,"Local New Zealanders I met once in New Zealand"
3612116,126,"Local New Zealanders I met once in New Zealand"
3617191,166,"Local New Zealanders I met once in New Zealand"
3617243,132,"Local New Zealanders I met once in New Zealand"
3617249,105,"Local New Zealanders I met once in New Zealand"
3617266,133,"Local New Zealanders I met once in New Zealand"
3617262,126,"Local New Zealanders I met once in New Zealand"
3617276,163,"Local New Zealanders I met once in New Zealand"
3617283,177,"Local New Zealanders I met once in New Zealand"
3617281,90,"Local New Zealanders I met once in New Zealand"
3617303,126,"Local New Zealanders I met once in New Zealand"
3617306,215,"Local New Zealanders I met once in New Zealand"
3617328,243,"Local New Zealanders I met once in New Zealand"
3617320,143,"Local New Zealanders I met once in New Zealand"
3617322,102,"Local New Zealanders I met once in New Zealand"
3617315,180,"Local New Zealanders I met once in New Zealand"
3617334,162,"Local New Zealanders I met once in New Zealand"
3617345,185,"Local New Zealanders I met once in New Zealand"
3617349,121,"Local New Zealanders I met once in New Zealand"
3617363,221,"Local New Zealanders I met once in New Zealand"
3617382,160,"Local New Zealanders I met once in New Zealand"
3617384,138,"Local New Zealanders I met once in New Zealand"
3617409,142,"Local New Zealanders I met once in New Zealand"
3617404,95,"Local New Zealanders I met once in New Zealand"
3617413,155,"Local New Zealanders I met once in New Zealand"
3617536,124,"Local New Zealanders I met once in New Zealand"
3617415,159,"Local New Zealanders I met once in New Zealand"
3617558,144,"Local New Zealanders I met once in New Zealand"
3617647,123,"Local New Zealanders I met once in New Zealand"
3617625,110,"Local New Zealanders I met once in New Zealand"
3617725,132,"Local New Zealanders I met once in New Zealand"
3617802,100,"Local New Zealanders I met once in New Zealand"
3617691,152,"Local New Zealanders I met once in New Zealand"
3617713,149,"Local New Zealanders I met once in New Zealand"
3618046,139,"Local New Zealanders I met once in New Zealand"
3617836,150,"Local New Zealanders I met once in New Zealand"
3618059,134,"Local New Zealanders I met once in New Zealand"
3618053,126,"Local New Zealanders I met once in New Zealand"
3618057,132,"Local New Zealanders I met once in New Zealand"
3618108,154,"Local New Zealanders I met once in New Zealand"
3618097,135,"Local New Zealanders I met once in New Zealand"
3618089,147,"Local New Zealanders I met once in New Zealand"
3618114,138,"Local New Zealanders I met once in New Zealand"
3618131,132,"Local New Zealanders I met once in New Zealand"
3618176,151,"Local New Zealanders I met once in New Zealand"
3618180,184,"Local New Zealanders I met once in New Zealand"
3618162,112,"Local New Zealanders I met once in New Zealand"
3618242,149,"Local New Zealanders I met once in New Zealand"
3618255,153,"Local New Zealanders I met once in New Zealand"
3618262,150,"Local New Zealanders I met once in New Zealand"
3618274,139,"Local New Zealanders I met once in New Zealand"
3618299,149,"Local New Zealanders I met once in New Zealand"
3618303,132,"Local New Zealanders I met once in New Zealand"
3618338,104,"Local New Zealanders I met once in New Zealand"
3618343,118,"Local New Zealanders I met once in New Zealand"
3618321,136,"Local New Zealanders I met once in New Zealand"
3618357,147,"Local New Zealanders I met once in New Zealand"
3618373,163,"Local New Zealanders I met once in New Zealand"
3618371,140,"Local New Zealanders I met once in New Zealand"
3618386,105,"Local New Zealanders I met once in New Zealand"
3618384,119,"Local New Zealanders I met once in New Zealand"
3618427,134,"Local New Zealanders I met once in New Zealand"
3618411,138,"Local New Zealanders I met once in New Zealand"
3618428,235,"Local New Zealanders I met once in New Zealand"
3618467,168,"Local New Zealanders I met once in New Zealand"
3618459,103,"Local New Zealanders I met once in New Zealand"
3618444,126,"Local New Zealanders I met once in New Zealand"
3618538,135,"Local New Zealanders I met once in New Zealand"
3618550,133,"Local New Zealanders I met once in New Zealand"
3618547,127,"Local New Zealanders I met once in New Zealand"
3618564,116,"Local New Zealanders I met once in New Zealand"
3618600,172,"Local New Zealanders I met once in New Zealand"
3618590,145,"Local New Zealanders I met once in New Zealand"
3618645,111,"Local New Zealanders I met once in New Zealand"
3618649,130,"Local New Zealanders I met once in New Zealand"
3618658,139,"Local New Zealanders I met once in New Zealand"
3618674,121,"Local New Zealanders I met once in New Zealand"
3618720,111,"Local New Zealanders I met once in New Zealand"
3618721,123,"Local New Zealanders I met once in New Zealand"
3618746,146,"Local New Zealanders I met once in New Zealand"
3618745,133,"Local New Zealanders I met once in New Zealand"
3618765,124,"Local New Zealanders I met once in New Zealand"
3618768,158,"Local New Zealanders I met once in New Zealand"
3618773,125,"Local New Zealanders I met once in New Zealand"
3618807,117,"Local New Zealanders I met once in New Zealand"
3618806,136,"Local New Zealanders I met once in New Zealand"
3618801,144,"Local New Zealanders I met once in New Zealand"
3618798,126,"Local New Zealanders I met once in New Zealand"
3618795,106,"Local New Zealanders I met once in New Zealand"
3618813,136,"Local New Zealanders I met once in New Zealand"
3618808,129,"Local New Zealanders I met once in New Zealand"
3618825,133,"Local New Zealanders I met once in New Zealand"
3618815,139,"Local New Zealanders I met once in New Zealand"
3618842,165,"Local New Zealanders I met once in New Zealand"
3618844,140,"Local New Zealanders I met once in New Zealand"
3618846,110,"Local New Zealanders I met once in New Zealand"
3618849,136,"Local New Zealanders I met once in New Zealand"
3618869,124,"Local New Zealanders I met once in New Zealand"
3618895,132,"Local New Zealanders I met once in New Zealand"
3618872,124,"Local New Zealanders I met once in New Zealand"
3618896,190,"Local New Zealanders I met once in New Zealand"
3618905,185,"Local New Zealanders I met once in New Zealand"
3618910,125,"Local New Zealanders I met once in New Zealand"
3618914,164,"Local New Zealanders I met once in New Zealand"
3618936,131,"Local New Zealanders I met once in New Zealand"
3618925,177,"Local New Zealanders I met once in New Zealand"
3618924,227,"Local New Zealanders I met once in New Zealand"
3618959,96,"Local New Zealanders I met once in New Zealand"
3618947,115,"Local New Zealanders I met once in New Zealand"
3618952,108,"Local New Zealanders I met once in New Zealand"
3618941,137,"Local New Zealanders I met once in New Zealand"
3618960,132,"Local New Zealanders I met once in New Zealand"
3618968,102,"Local New Zealanders I met once in New Zealand"
3619001,122,"Local New Zealanders I met once in New Zealand"
3618985,137,"Local New Zealanders I met once in New Zealand"
3618989,117,"Local New Zealanders I met once in New Zealand"
3619021,149,"Local New Zealanders I met once in New Zealand"
3619018,143,"Local New Zealanders I met once in New Zealand"
3619012,153,"Local New Zealanders I met once in New Zealand"
3619009,101,"Local New Zealanders I met once in New Zealand"
3619081,143,"Local New Zealanders I met once in New Zealand"
3619102,121,"Local New Zealanders I met once in New Zealand"
3619122,139,"Local New Zealanders I met once in New Zealand"
3619126,105,"Local New Zealanders I met once in New Zealand"
3619137,153,"Local New Zealanders I met once in New Zealand"
3619130,115,"Local New Zealanders I met once in New Zealand"
3619139,139,"Local New Zealanders I met once in New Zealand"
3619163,119,"Local New Zealanders I met once in New Zealand"
3619168,129,"Local New Zealanders I met once in New Zealand"
3619179,134,"Local New Zealanders I met once in New Zealand"
3619187,120,"Local New Zealanders I met once in New Zealand"
3619193,106,"Local New Zealanders I met once in New Zealand"
3619197,152,"Local New Zealanders I met once in New Zealand"
3619233,171,"Local New Zealanders I met once in New Zealand"
3619232,115,"Local New Zealanders I met once in New Zealand"
3619234,91,"Local New Zealanders I met once in New Zealand"
3619255,149,"Local New Zealanders I met once in New Zealand"
3619253,139,"Local New Zealanders I met once in New Zealand"
3619256,158,"Local New Zealanders I met once in New Zealand"
3619261,133,"Local New Zealanders I met once in New Zealand"
3619284,106,"Local New Zealanders I met once in New Zealand"
3619273,141,"Local New Zealanders I met once in New Zealand"
3619294,130,"Local New Zealanders I met once in New Zealand"
3619295,135,"Local New Zealanders I met once in New Zealand"
3619300,116,"Local New Zealanders I met once in New Zealand"
3619319,144,"Local New Zealanders I met once in New Zealand"
3619321,118,"Local New Zealanders I met once in New Zealand"
3619334,104,"Local New Zealanders I met once in New Zealand"
3619337,128,"Local New Zealanders I met once in New Zealand"
3619401,149,"Local New Zealanders I met once in New Zealand"
3619398,118,"Local New Zealanders I met once in New Zealand"
3619417,145,"Local New Zealanders I met once in New Zealand"
3619409,118,"Local New Zealanders I met once in New Zealand"
3619429,127,"Local New Zealanders I met once in New Zealand"
3619441,159,"Local New Zealanders I met once in New Zealand"
3619461,160,"Local New Zealanders I met once in New Zealand"
3619495,137,"Local New Zealanders I met once in New Zealand"
3619488,113,"Local New Zealanders I met once in New Zealand"
3619500,117,"Local New Zealanders I met once in New Zealand"
3619545,144,"Local New Zealanders I met once in New Zealand"
3619538,146,"Local New Zealanders I met once in New Zealand"
3619592,120,"Local New Zealanders I met once in New Zealand"
3619547,104,"Local New Zealanders I met once in New Zealand"
3619557,128,"Local New Zealanders I met once in New Zealand"
3619597,157,"Local New Zealanders I met once in New Zealand"
3619586,150,"Local New Zealanders I met once in New Zealand"
3619602,178,"Local New Zealanders I met once in New Zealand"
3619607,106,"Local New Zealanders I met once in New Zealand"
3619623,156,"Local New Zealanders I met once in New Zealand"
3619629,123,"Local New Zealanders I met once in New Zealand"
3619644,151,"Local New Zealanders I met once in New Zealand"
3619661,132,"Local New Zealanders I met once in New Zealand"
3619672,158,"Local New Zealanders I met once in New Zealand"
3619686,146,"Local New Zealanders I met once in New Zealand"
3619691,122,"Local New Zealanders I met once in New Zealand"
3619706,158,"Local New Zealanders I met once in New Zealand"
3619707,118,"Local New Zealanders I met once in New Zealand"
3619767,169,"Local New Zealanders I met once in New Zealand"
3619794,162,"Local New Zealanders I met once in New Zealand"
3619802,129,"Local New Zealanders I met once in New Zealand"
3619777,160,"Local New Zealanders I met once in New Zealand"
3619771,97,"Local New Zealanders I met once in New Zealand"
3619773,100,"Local New Zealanders I met once in New Zealand"
3619806,128,"Local New Zealanders I met once in New Zealand"
3619809,146,"Local New Zealanders I met once in New Zealand"
3619837,129,"Local New Zealanders I met once in New Zealand"
3619863,120,"Local New Zealanders I met once in New Zealand"
3619870,109,"Local New Zealanders I met once in New Zealand"
3619846,107,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619844,154,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619872,115,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619881,103,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619907,109,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619837,130,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619771,98,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619682,99,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619767,170,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619709,104,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619733,150,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619691,123,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619698,150,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619672,159,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619661,133,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619659,152,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619652,96,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619624,106,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619630,99,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619638,100,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619602,179,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619582,105,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619578,138,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619538,147,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619539,106,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619481,121,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619516,112,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619495,138,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619441,160,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619406,122,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619405,120,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619417,146,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619398,119,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619397,107,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619399,131,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619401,150,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619381,124,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619351,106,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619368,98,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619347,103,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619332,99,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619300,117,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619294,131,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619273,142,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619271,101,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619286,143,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619258,92,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619255,150,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619195,154,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619193,107,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619203,114,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619168,130,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619163,120,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619149,144,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619157,91,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619175,97,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619139,140,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619141,137,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619148,117,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619107,107,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619084,159,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619112,114,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619113,119,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619117,104,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619119,121,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619017,98,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618961,96,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619070,93,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3619001,123,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618993,153,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618998,119,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618984,142,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618944,118,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618940,147,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618952,109,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618947,116,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618930,104,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618936,132,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618935,109,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618901,122,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618896,191,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618892,124,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618864,143,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618857,108,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618861,121,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618842,166,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618833,99,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618836,91,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618830,104,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618826,135,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618795,107,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618784,118,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618793,126,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618803,94,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618770,119,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618758,100,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618786,122,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618746,147,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618739,172,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618717,111,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618703,130,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618701,99,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618685,112,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618699,135,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618663,134,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618656,130,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618627,142,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
3618628,112,"Local New Zealanders I knew before I arrived in New Zealand e.g. friends and family"
