"SurveyResponseID","AnswerNumber","InformationSourceUsed"
3626152,169,"i-SITE Visitor Information Centre(s)"
3626157,125,"i-SITE Visitor Information Centre(s)"
3626161,124,"i-SITE Visitor Information Centre(s)"
3626186,161,"i-SITE Visitor Information Centre(s)"
3626191,124,"i-SITE Visitor Information Centre(s)"
3626214,189,"i-SITE Visitor Information Centre(s)"
3626217,105,"i-SITE Visitor Information Centre(s)"
3626242,155,"i-SITE Visitor Information Centre(s)"
3626268,128,"i-SITE Visitor Information Centre(s)"
3626271,133,"i-SITE Visitor Information Centre(s)"
3626313,103,"i-SITE Visitor Information Centre(s)"
3626315,159,"i-SITE Visitor Information Centre(s)"
3626343,153,"i-SITE Visitor Information Centre(s)"
3626375,165,"i-SITE Visitor Information Centre(s)"
3626389,162,"i-SITE Visitor Information Centre(s)"
3626419,120,"i-SITE Visitor Information Centre(s)"
3626425,121,"i-SITE Visitor Information Centre(s)"
3626427,135,"i-SITE Visitor Information Centre(s)"
3626437,124,"i-SITE Visitor Information Centre(s)"
3626440,137,"i-SITE Visitor Information Centre(s)"
3626453,129,"i-SITE Visitor Information Centre(s)"
3626459,152,"i-SITE Visitor Information Centre(s)"
3626489,178,"i-SITE Visitor Information Centre(s)"
3626490,146,"i-SITE Visitor Information Centre(s)"
3626504,154,"i-SITE Visitor Information Centre(s)"
3626508,127,"i-SITE Visitor Information Centre(s)"
3626511,147,"i-SITE Visitor Information Centre(s)"
3626521,110,"i-SITE Visitor Information Centre(s)"
3626531,130,"i-SITE Visitor Information Centre(s)"
3626537,147,"i-SITE Visitor Information Centre(s)"
3626538,177,"i-SITE Visitor Information Centre(s)"
3626558,130,"i-SITE Visitor Information Centre(s)"
3626572,131,"i-SITE Visitor Information Centre(s)"
3626591,183,"i-SITE Visitor Information Centre(s)"
3626598,112,"i-SITE Visitor Information Centre(s)"
3626605,114,"i-SITE Visitor Information Centre(s)"
3626612,173,"i-SITE Visitor Information Centre(s)"
3626613,111,"i-SITE Visitor Information Centre(s)"
3626619,139,"i-SITE Visitor Information Centre(s)"
3626630,133,"i-SITE Visitor Information Centre(s)"
3626634,107,"i-SITE Visitor Information Centre(s)"
3626637,132,"i-SITE Visitor Information Centre(s)"
3626647,153,"i-SITE Visitor Information Centre(s)"
3626648,143,"i-SITE Visitor Information Centre(s)"
3626670,220,"i-SITE Visitor Information Centre(s)"
3626674,161,"i-SITE Visitor Information Centre(s)"
3626688,134,"i-SITE Visitor Information Centre(s)"
3626695,151,"i-SITE Visitor Information Centre(s)"
3626701,135,"i-SITE Visitor Information Centre(s)"
3626735,147,"i-SITE Visitor Information Centre(s)"
3626743,202,"i-SITE Visitor Information Centre(s)"
3626756,164,"i-SITE Visitor Information Centre(s)"
3626767,186,"i-SITE Visitor Information Centre(s)"
3626781,158,"i-SITE Visitor Information Centre(s)"
3626791,119,"i-SITE Visitor Information Centre(s)"
3626792,123,"i-SITE Visitor Information Centre(s)"
3626797,214,"i-SITE Visitor Information Centre(s)"
3626866,163,"i-SITE Visitor Information Centre(s)"
3626871,102,"i-SITE Visitor Information Centre(s)"
3626872,170,"i-SITE Visitor Information Centre(s)"
3626888,95,"i-SITE Visitor Information Centre(s)"
3626905,116,"i-SITE Visitor Information Centre(s)"
3626907,123,"i-SITE Visitor Information Centre(s)"
3626918,162,"i-SITE Visitor Information Centre(s)"
3626927,133,"i-SITE Visitor Information Centre(s)"
3626951,129,"i-SITE Visitor Information Centre(s)"
3626961,120,"i-SITE Visitor Information Centre(s)"
3626962,113,"i-SITE Visitor Information Centre(s)"
3626998,97,"i-SITE Visitor Information Centre(s)"
3627000,118,"i-SITE Visitor Information Centre(s)"
3627060,136,"i-SITE Visitor Information Centre(s)"
3627064,129,"i-SITE Visitor Information Centre(s)"
3627078,104,"i-SITE Visitor Information Centre(s)"
3627094,131,"i-SITE Visitor Information Centre(s)"
3627097,94,"i-SITE Visitor Information Centre(s)"
3627114,176,"i-SITE Visitor Information Centre(s)"
3627115,142,"i-SITE Visitor Information Centre(s)"
