"SurveyResponseID","AnswerNumber","SocialMediaUsed","TripStage"
3557436,158,"Twitter","Planning trip to NZ"
3557331,147,"Facebook","After trip to NZ"
3557428,156,"Google+","Planning trip to NZ"
3557331,145,"None of these","Planning trip to NZ"
3557436,161,"Facebook","During trip to NZ"
3557436,162,"Twitter","During trip to NZ"
3557436,164,"Google+","During trip to NZ"
3557331,146,"None of these","During trip to NZ"
3557404,104,"Google+","Planning trip to NZ"
3557331,148,"Twitter","After trip to NZ"
3557428,157,"Google+","During trip to NZ"
3557436,165,"Facebook","After trip to NZ"
3557428,158,"Google+","After trip to NZ"
3557436,166,"Instagram","After trip to NZ"
3557404,105,"Google+","During trip to NZ"
3557404,106,"None of these","After trip to NZ"
3557450,137,"Facebook","Planning trip to NZ"
3557406,114,"None of these","Planning trip to NZ"
3557407,133,"Twitter","Planning trip to NZ"
3557347,116,"None of these","After trip to NZ"
3557435,136,"Facebook","Planning trip to NZ"
3557347,114,"Google+","Planning trip to NZ"
3557346,127,"Google+","During trip to NZ"
3557346,126,"Google+","Planning trip to NZ"
3557346,128,"Google+","After trip to NZ"
3557406,116,"None of these","After trip to NZ"
3557406,115,"None of these","During trip to NZ"
3557347,115,"Google+","During trip to NZ"
3557407,135,"Twitter","After trip to NZ"
3557435,137,"Facebook","During trip to NZ"
3557450,139,"None of these","After trip to NZ"
3557435,139,"None of these","After trip to NZ"
3557452,137,"None of these","During trip to NZ"
3557424,117,"None of these","During trip to NZ"
3557348,122,"None of these","Planning trip to NZ"
3557452,136,"None of these","Planning trip to NZ"
3557362,106,"Facebook","Planning trip to NZ"
3557362,108,"Facebook","After trip to NZ"
3557450,138,"Facebook","During trip to NZ"
3557348,123,"Facebook","During trip to NZ"
3557451,146,"Facebook","During trip to NZ"
3557424,118,"None of these","After trip to NZ"
3557452,138,"None of these","After trip to NZ"
3557362,107,"Facebook","During trip to NZ"
3557407,134,"Twitter","During trip to NZ"
3557435,138,"Instagram","During trip to NZ"
3557348,124,"Facebook","After trip to NZ"
3557451,145,"Google+","Planning trip to NZ"
3557424,116,"None of these","Planning trip to NZ"
3557364,115,"Facebook","Planning trip to NZ"
3557461,153,"Facebook","Planning trip to NZ"
3557451,148,"Facebook","After trip to NZ"
3557364,118,"Facebook","After trip to NZ"
3557451,147,"Google+","During trip to NZ"
3557364,116,"Facebook","During trip to NZ"
3557364,117,"Wechat","During trip to NZ"
3557461,154,"Facebook","During trip to NZ"
3557461,155,"Facebook","After trip to NZ"
3557474,126,"None of these","Planning trip to NZ"
3557503,138,"Instagram","Planning trip to NZ"
3557379,157,"None of these","Planning trip to NZ"
3557466,142,"None of these","Planning trip to NZ"
3557468,121,"Google+","Planning trip to NZ"
3557380,145,"None of these","Planning trip to NZ"
3557379,158,"Wechat","During trip to NZ"
3557466,144,"Facebook","After trip to NZ"
3557379,159,"None of these","After trip to NZ"
3557466,143,"None of these","During trip to NZ"
3557474,127,"None of these","During trip to NZ"
3557468,122,"Google+","During trip to NZ"
3557503,139,"Pinterest","Planning trip to NZ"
3557380,146,"None of these","During trip to NZ"
3557474,128,"None of these","After trip to NZ"
3557468,123,"Google+","After trip to NZ"
3557503,142,"Google+","During trip to NZ"
3557503,140,"Google+","Planning trip to NZ"
3557487,137,"Twitter","During trip to NZ"
3557396,199,"Facebook","Planning trip to NZ"
3557493,120,"None of these","Planning trip to NZ"
3557503,143,"Facebook","After trip to NZ"
3557487,136,"Facebook","During trip to NZ"
3557487,139,"Facebook","After trip to NZ"
3557396,200,"Facebook","During trip to NZ"
3557493,122,"None of these","After trip to NZ"
3557526,123,"Facebook","After trip to NZ"
3557488,166,"Instagram","During trip to NZ"
3557487,135,"Facebook","Planning trip to NZ"
3557493,121,"None of these","During trip to NZ"
3557396,201,"Facebook","After trip to NZ"
3557488,167,"Facebook","After trip to NZ"
3557489,148,"Facebook","After trip to NZ"
3557535,128,"Twitter","During trip to NZ"
3557526,121,"None of these","Planning trip to NZ"
3557489,146,"None of these","Planning trip to NZ"
3557535,129,"Facebook","After trip to NZ"
3557488,164,"Instagram","Planning trip to NZ"
3557535,127,"Facebook","During trip to NZ"
3557488,163,"Facebook","Planning trip to NZ"
3557380,147,"None of these","After trip to NZ"
3557503,141,"Instagram","During trip to NZ"
3557487,138,"Instagram","During trip to NZ"
3557526,122,"Facebook","During trip to NZ"
3557488,165,"Facebook","During trip to NZ"
3557488,168,"Instagram","After trip to NZ"
3557489,147,"Facebook","During trip to NZ"
3557398,106,"None of these","Planning trip to NZ"
3557518,122,"Facebook","Planning trip to NZ"
3557413,96,"None of these","Planning trip to NZ"
3557535,125,"Facebook","Planning trip to NZ"
3557490,139,"None of these","Planning trip to NZ"
3557398,107,"None of these","During trip to NZ"
3557544,120,"None of these","After trip to NZ"
3557490,140,"Facebook","During trip to NZ"
3557398,108,"None of these","After trip to NZ"
3557544,119,"Facebook","During trip to NZ"
3557413,97,"None of these","During trip to NZ"
3557551,167,"Facebook","Planning trip to NZ"
3557430,168,"Instagram","Planning trip to NZ"
3557535,126,"Pinterest","Planning trip to NZ"
3557544,118,"None of these","Planning trip to NZ"
3557553,200,"None of these","Planning trip to NZ"
3557430,167,"Facebook","Planning trip to NZ"
3557505,143,"Google+","Planning trip to NZ"
3557413,98,"None of these","After trip to NZ"
3557518,123,"Facebook","During trip to NZ"
3557490,141,"Facebook","After trip to NZ"
3557551,168,"Instagram","During trip to NZ"
3557518,124,"Facebook","After trip to NZ"
3557551,169,"None of these","After trip to NZ"
3557430,170,"Facebook","After trip to NZ"
3557543,184,"None of these","After trip to NZ"
3557505,146,"Google+","During trip to NZ"
3557505,147,"Wechat","During trip to NZ"
3557505,144,"Wechat","Planning trip to NZ"
3557550,140,"Instagram","Planning trip to NZ"
3557550,141,"Google+","Planning trip to NZ"
3557430,169,"None of these","During trip to NZ"
3557505,145,"Instagram","During trip to NZ"
3557543,183,"Facebook","During trip to NZ"
3557432,174,"None of these","Planning trip to NZ"
3557550,142,"Facebook","During trip to NZ"
3557550,145,"Facebook","After trip to NZ"
3557505,148,"Wechat","After trip to NZ"
3557543,182,"None of these","Planning trip to NZ"
3557550,139,"Facebook","Planning trip to NZ"
3557550,146,"Instagram","After trip to NZ"
3557432,175,"Facebook","During trip to NZ"
3557553,203,"Instagram","After trip to NZ"
3557507,151,"Facebook","After trip to NZ"
3557550,144,"Google+","During trip to NZ"
3557507,149,"Facebook","Planning trip to NZ"
3557553,201,"Facebook","During trip to NZ"
3557558,175,"Facebook","Planning trip to NZ"
3557446,127,"Instagram","During trip to NZ"
3557561,105,"Facebook","During trip to NZ"
3557558,176,"Instagram","During trip to NZ"
3557446,126,"Facebook","During trip to NZ"
3557561,106,"Facebook","After trip to NZ"
3557550,143,"Instagram","During trip to NZ"
3557448,129,"Instagram","Planning trip to NZ"
3557446,125,"Facebook","Planning trip to NZ"
3557432,176,"Facebook","After trip to NZ"
3557553,202,"Instagram","During trip to NZ"
3557507,150,"Facebook","During trip to NZ"
3557561,104,"Facebook","Planning trip to NZ"
3557446,128,"Instagram","After trip to NZ"
3557448,130,"Facebook","During trip to NZ"
3557560,112,"Facebook","After trip to NZ"
3557560,110,"Google+","Planning trip to NZ"
3557560,113,"Instagram","After trip to NZ"
3557540,143,"Facebook","During trip to NZ"
3557497,138,"None of these","During trip to NZ"
3557464,101,"None of these","During trip to NZ"
3557540,144,"Instagram","During trip to NZ"
3557448,132,"Instagram","After trip to NZ"
3557560,111,"Instagram","During trip to NZ"
3557464,100,"None of these","Planning trip to NZ"
3557577,222,"Facebook","Planning trip to NZ"
3557497,137,"None of these","Planning trip to NZ"
3557498,145,"Facebook","Planning trip to NZ"
3557558,177,"Facebook","After trip to NZ"
3557448,131,"Instagram","During trip to NZ"
3557540,142,"None of these","Planning trip to NZ"
3557464,102,"None of these","After trip to NZ"
3557577,223,"Facebook","During trip to NZ"
3557601,119,"None of these","Planning trip to NZ"
3557577,224,"Facebook","After trip to NZ"
3557601,120,"None of these","During trip to NZ"
3557498,146,"Facebook","During trip to NZ"
3557497,139,"None of these","After trip to NZ"
3557540,145,"Wechat","During trip to NZ"
3557603,135,"None of these","Planning trip to NZ"
3557540,146,"None of these","After trip to NZ"
3557554,159,"Facebook","Planning trip to NZ"
3557586,108,"None of these","After trip to NZ"
3557603,137,"None of these","After trip to NZ"
3557595,156,"None of these","Planning trip to NZ"
3557601,121,"None of these","After trip to NZ"
3557586,107,"Facebook","During trip to NZ"
3557512,153,"None of these","During trip to NZ"
3557498,147,"Facebook","After trip to NZ"
3557586,106,"None of these","Planning trip to NZ"
3557512,154,"None of these","After trip to NZ"
3557512,152,"None of these","Planning trip to NZ"
3557554,160,"Google+","Planning trip to NZ"
3557603,136,"Google+","During trip to NZ"
3557595,158,"Instagram","During trip to NZ"
3557595,157,"Facebook","During trip to NZ"
3557554,163,"Facebook","After trip to NZ"
3557595,160,"Instagram","After trip to NZ"
3557513,138,"Instagram","During trip to NZ"
3557608,137,"Facebook","Planning trip to NZ"
3557513,135,"Instagram","Planning trip to NZ"
3557513,134,"Facebook","Planning trip to NZ"
3557554,161,"Facebook","During trip to NZ"
3557513,137,"Facebook","During trip to NZ"
3557554,162,"Google+","During trip to NZ"
3557555,159,"None of these","Planning trip to NZ"
3557595,159,"Facebook","After trip to NZ"
3557513,139,"Facebook","After trip to NZ"
3557513,136,"Pinterest","Planning trip to NZ"
3557602,110,"Facebook","During trip to NZ"
3557602,113,"Google+","After trip to NZ"
3557513,140,"Instagram","After trip to NZ"
3557602,111,"Google+","During trip to NZ"
3557602,109,"Google+","Planning trip to NZ"
3557555,160,"None of these","During trip to NZ"
3557602,112,"Facebook","After trip to NZ"
3557609,108,"Google+","Planning trip to NZ"
3557608,139,"Twitter","During trip to NZ"
3557608,140,"Instagram","During trip to NZ"
3557555,161,"None of these","After trip to NZ"
3557608,138,"Facebook","During trip to NZ"
3557608,141,"Facebook","After trip to NZ"
3557608,142,"Instagram","After trip to NZ"
3557515,161,"None of these","Planning trip to NZ"
3557557,156,"None of these","Planning trip to NZ"
3557609,109,"Facebook","During trip to NZ"
3557515,162,"Facebook","During trip to NZ"
3557609,110,"Twitter","During trip to NZ"
3557515,164,"None of these","After trip to NZ"
3557529,142,"None of these","Planning trip to NZ"
3557618,144,"Weibu","During trip to NZ"
3557609,111,"None of these","After trip to NZ"
3557618,143,"Wechat","Planning trip to NZ"
3557549,174,"None of these","Planning trip to NZ"
3557618,146,"Weibu","After trip to NZ"
3557557,157,"None of these","During trip to NZ"
3557618,142,"Weibu","Planning trip to NZ"
3557515,163,"Instagram","During trip to NZ"
3557529,143,"Google+","During trip to NZ"
3557610,166,"Facebook","Planning trip to NZ"
3557529,144,"None of these","After trip to NZ"
3557618,145,"Wechat","During trip to NZ"
3557557,158,"None of these","After trip to NZ"
3557573,127,"None of these","Planning trip to NZ"
3557573,128,"None of these","During trip to NZ"
3557610,167,"Facebook","During trip to NZ"
3557617,161,"None of these","Planning trip to NZ"
3557618,147,"Wechat","After trip to NZ"
3557563,162,"Twitter","During trip to NZ"
3557549,176,"Facebook","After trip to NZ"
3557563,165,"Twitter","After trip to NZ"
3557610,168,"Facebook","After trip to NZ"
3557564,135,"Instagram","Planning trip to NZ"
3557549,175,"Facebook","During trip to NZ"
3557573,129,"None of these","After trip to NZ"
3557591,147,"Facebook","Planning trip to NZ"
3557563,160,"None of these","Planning trip to NZ"
3557563,166,"Instagram","After trip to NZ"
3557563,163,"Instagram","During trip to NZ"
3557634,106,"Facebook","Planning trip to NZ"
3557563,161,"Facebook","During trip to NZ"
3557563,164,"Facebook","After trip to NZ"
3557564,136,"Instagram","During trip to NZ"
3557564,137,"Instagram","After trip to NZ"
3557634,108,"Facebook","After trip to NZ"
3557591,149,"Facebook","After trip to NZ"
3557634,107,"Facebook","During trip to NZ"
3557591,148,"Facebook","During trip to NZ"
3557645,133,"None of these","During trip to NZ"
3557566,115,"None of these","During trip to NZ"
3557617,163,"Instagram","After trip to NZ"
3557621,208,"Facebook","After trip to NZ"
3557652,156,"None of these","After trip to NZ"
3557621,205,"Instagram","Planning trip to NZ"
3557617,162,"Instagram","During trip to NZ"
3557645,134,"None of these","After trip to NZ"
3557652,155,"None of these","During trip to NZ"
3557645,132,"None of these","Planning trip to NZ"
3557621,204,"Facebook","Planning trip to NZ"
3557621,206,"Facebook","During trip to NZ"
3557582,128,"Google+","During trip to NZ"
3557626,171,"Instagram","During trip to NZ"
3557621,209,"Instagram","After trip to NZ"
3557566,114,"None of these","Planning trip to NZ"
3557582,127,"Google+","Planning trip to NZ"
3557628,132,"Instagram","During trip to NZ"
3557596,124,"Facebook","During trip to NZ"
3557566,116,"None of these","After trip to NZ"
3557621,207,"Instagram","During trip to NZ"
3557628,131,"Facebook","During trip to NZ"
3557652,154,"None of these","Planning trip to NZ"
3557623,135,"None of these","During trip to NZ"
3557582,129,"Google+","After trip to NZ"
3557626,172,"Facebook","After trip to NZ"
3557622,157,"Google+","During trip to NZ"
3557628,133,"Facebook","After trip to NZ"
3557622,158,"None of these","After trip to NZ"
3557596,125,"None of these","After trip to NZ"
3557623,136,"None of these","After trip to NZ"
3557638,96,"None of these","During trip to NZ"
3557596,123,"None of these","Planning trip to NZ"
3557628,130,"Facebook","Planning trip to NZ"
3557623,134,"Google+","Planning trip to NZ"
3557622,156,"Google+","Planning trip to NZ"
3557638,97,"None of these","After trip to NZ"
3557638,95,"None of these","Planning trip to NZ"
3557633,128,"Facebook","During trip to NZ"
3557598,157,"Facebook","During trip to NZ"
3557670,150,"None of these","During trip to NZ"
3557626,170,"Instagram","Planning trip to NZ"
3557598,158,"Google+","During trip to NZ"
3557660,136,"None of these","After trip to NZ"
3557640,217,"None of these","After trip to NZ"
3557598,159,"Facebook","After trip to NZ"
3557670,151,"None of these","After trip to NZ"
3557675,106,"Wechat","After trip to NZ"
3557633,129,"None of these","After trip to NZ"
3557660,135,"None of these","During trip to NZ"
3557640,216,"Facebook","During trip to NZ"
3557675,105,"Wechat","During trip to NZ"
3557633,127,"None of these","Planning trip to NZ"
3557598,156,"Google+","Planning trip to NZ"
3557670,149,"None of these","Planning trip to NZ"
3557660,134,"None of these","Planning trip to NZ"
3557640,215,"None of these","Planning trip to NZ"
3557675,104,"Wechat","Planning trip to NZ"
3557654,108,"None of these","During trip to NZ"
3557676,139,"Facebook","After trip to NZ"
3557676,138,"Instagram","During trip to NZ"
3557677,168,"Facebook","During trip to NZ"
3557676,137,"Facebook","During trip to NZ"
3557685,123,"Facebook","After trip to NZ"
3557654,109,"None of these","After trip to NZ"
3557676,140,"Instagram","After trip to NZ"
3557677,167,"None of these","Planning trip to NZ"
3557677,169,"None of these","After trip to NZ"
