"SurveyResponseID","AnswerNumber","SocialMediaUsed","TripStage"
3578973,129,"Weibu","After trip to NZ"
3578758,137,"None of these","During trip to NZ"
3578758,138,"None of these","After trip to NZ"
3578758,136,"Wechat","Planning trip to NZ"
3578990,115,"None of these","During trip to NZ"
3578990,114,"None of these","Planning trip to NZ"
3578783,140,"None of these","Planning trip to NZ"
3579006,117,"Google+","Planning trip to NZ"
3578973,128,"Twitter","After trip to NZ"
3578749,145,"None of these","Planning trip to NZ"
3579006,116,"Weibu","Planning trip to NZ"
3578990,116,"Weibu","After trip to NZ"
3578749,146,"None of these","During trip to NZ"
3579006,119,"Weibu","After trip to NZ"
3578783,141,"Facebook","During trip to NZ"
3578749,147,"None of these","After trip to NZ"
3579006,118,"None of these","During trip to NZ"
3578014,103,"Facebook","During trip to NZ"
3578763,147,"Facebook","During trip to NZ"
3578785,140,"Google+","During trip to NZ"
3578014,104,"Facebook","After trip to NZ"
3578785,139,"Facebook","During trip to NZ"
3578763,146,"None of these","Planning trip to NZ"
3578763,148,"None of these","After trip to NZ"
3578014,102,"Facebook","Planning trip to NZ"
3579021,129,"Weibu","During trip to NZ"
3578783,142,"Facebook","After trip to NZ"
3578785,138,"None of these","Planning trip to NZ"
3579021,128,"Weibu","Planning trip to NZ"
3578785,141,"None of these","After trip to NZ"
3579021,131,"Weibu","After trip to NZ"
3579021,130,"Google+","During trip to NZ"
3578034,124,"Wechat","During trip to NZ"
3578764,148,"Google+","During trip to NZ"
3578764,149,"None of these","After trip to NZ"
3578764,147,"Facebook","During trip to NZ"
3578034,125,"Wechat","After trip to NZ"
3579022,141,"None of these","During trip to NZ"
3578801,131,"Facebook","During trip to NZ"
3579022,142,"None of these","After trip to NZ"
3578801,132,"None of these","After trip to NZ"
3578779,139,"None of these","During trip to NZ"
3578779,140,"None of these","After trip to NZ"
3578050,123,"Wechat","After trip to NZ"
3578050,122,"Wechat","During trip to NZ"
3578801,130,"None of these","Planning trip to NZ"
3578034,123,"Wechat","Planning trip to NZ"
3578764,146,"Google+","Planning trip to NZ"
3578779,138,"Google+","Planning trip to NZ"
3578803,132,"Wechat","During trip to NZ"
3579023,139,"None of these","During trip to NZ"
3578803,133,"None of these","After trip to NZ"
3578068,119,"None of these","After trip to NZ"
3579022,140,"None of these","Planning trip to NZ"
3578050,121,"Wechat","Planning trip to NZ"
3578803,131,"Facebook","During trip to NZ"
3578780,135,"Facebook","During trip to NZ"
3578068,118,"Instagram","During trip to NZ"
3578810,136,"None of these","After trip to NZ"
3578780,136,"None of these","After trip to NZ"
3579023,138,"None of these","Planning trip to NZ"
3578068,116,"None of these","Planning trip to NZ"
3578810,134,"None of these","Planning trip to NZ"
3578781,149,"None of these","Planning trip to NZ"
3578075,99,"Facebook","During trip to NZ"
3578068,117,"Facebook","During trip to NZ"
3579023,140,"Weibu","After trip to NZ"
3578810,135,"None of these","During trip to NZ"
3578781,151,"Facebook","After trip to NZ"
3578780,134,"None of these","Planning trip to NZ"
3578075,100,"None of these","After trip to NZ"
3579024,142,"None of these","During trip to NZ"
3578075,98,"None of these","Planning trip to NZ"
3578082,101,"Facebook","During trip to NZ"
3578796,154,"Twitter","After trip to NZ"
3578833,126,"Facebook","During trip to NZ"
3579038,136,"None of these","After trip to NZ"
3579024,143,"Weibu","After trip to NZ"
3578833,125,"None of these","Planning trip to NZ"
3578082,102,"Facebook","After trip to NZ"
3579038,134,"None of these","Planning trip to NZ"
3578093,103,"None of these","Planning trip to NZ"
3578803,130,"None of these","Planning trip to NZ"
3578781,150,"None of these","During trip to NZ"
3578082,100,"Facebook","Planning trip to NZ"
3578796,152,"None of these","Planning trip to NZ"
3578093,104,"Facebook","During trip to NZ"
3578835,151,"None of these","After trip to NZ"
3579040,139,"None of these","During trip to NZ"
3578835,150,"Google+","During trip to NZ"
3579040,140,"None of these","After trip to NZ"
3578797,151,"Facebook","During trip to NZ"
3578833,127,"None of these","After trip to NZ"
3578797,150,"None of these","Planning trip to NZ"
3578835,149,"None of these","Planning trip to NZ"
3578109,109,"None of these","Planning trip to NZ"
3579041,129,"Instagram","Planning trip to NZ"
3578813,129,"Facebook","Planning trip to NZ"
3578109,110,"None of these","During trip to NZ"
3579041,130,"Facebook","During trip to NZ"
3579024,141,"Weibu","Planning trip to NZ"
3578796,153,"Google+","During trip to NZ"
3579038,135,"None of these","During trip to NZ"
3579040,138,"None of these","Planning trip to NZ"
3578093,105,"None of these","After trip to NZ"
3579057,109,"None of these","Planning trip to NZ"
3579057,111,"Wechat","During trip to NZ"
3578842,146,"None of these","After trip to NZ"
3578815,119,"Facebook","During trip to NZ"
3578851,144,"None of these","Planning trip to NZ"
3578851,147,"Facebook","After trip to NZ"
3579041,132,"Google+","After trip to NZ"
3578813,131,"Facebook","After trip to NZ"
3578829,151,"None of these","Planning trip to NZ"
3579057,110,"Instagram","During trip to NZ"
3579071,114,"Google+","During trip to NZ"
3578797,152,"Facebook","After trip to NZ"
3578815,118,"None of these","Planning trip to NZ"
3579071,117,"Wechat","After trip to NZ"
3578109,111,"None of these","After trip to NZ"
3579041,131,"Facebook","After trip to NZ"
3578842,145,"Facebook","During trip to NZ"
3578851,146,"Google+","During trip to NZ"
3579071,115,"Facebook","After trip to NZ"
3578123,140,"Wechat","Planning trip to NZ"
3578851,145,"Facebook","During trip to NZ"
3578842,144,"None of these","Planning trip to NZ"
3578813,130,"None of these","During trip to NZ"
3579057,112,"None of these","After trip to NZ"
3578815,120,"Facebook","After trip to NZ"
3579071,113,"None of these","Planning trip to NZ"
3578851,148,"Google+","After trip to NZ"
3579071,116,"Twitter","After trip to NZ"
3579072,119,"None of these","Planning trip to NZ"
3578123,142,"Wechat","During trip to NZ"
3578831,147,"Facebook","During trip to NZ"
3578853,136,"Facebook","During trip to NZ"
3578123,141,"Google+","During trip to NZ"
3578829,153,"None of these","After trip to NZ"
3578831,149,"None of these","After trip to NZ"
3578831,146,"Facebook","Planning trip to NZ"
3579074,125,"None of these","Planning trip to NZ"
3578853,139,"None of these","After trip to NZ"
3579072,121,"None of these","After trip to NZ"
3578134,123,"Facebook","After trip to NZ"
3578831,148,"Twitter","During trip to NZ"
3578832,136,"Facebook","During trip to NZ"
3579074,127,"Wechat","After trip to NZ"
3578853,137,"Google+","During trip to NZ"
3579105,156,"Twitter","After trip to NZ"
3578123,143,"Wechat","After trip to NZ"
3579072,120,"Facebook","During trip to NZ"
3578829,152,"None of these","During trip to NZ"
3579074,126,"None of these","During trip to NZ"
3578853,135,"None of these","Planning trip to NZ"
3579105,154,"None of these","Planning trip to NZ"
3578853,138,"Wechat","During trip to NZ"
3578832,137,"None of these","After trip to NZ"
3578858,148,"Wechat","After trip to NZ"
3578858,147,"Facebook","During trip to NZ"
3578860,137,"None of these","During trip to NZ"
3578143,111,"None of these","During trip to NZ"
3579106,143,"Facebook","During trip to NZ"
3578860,138,"None of these","After trip to NZ"
3579105,155,"None of these","During trip to NZ"
3578134,122,"Facebook","During trip to NZ"
3579106,144,"None of these","After trip to NZ"
3578143,112,"None of these","After trip to NZ"
3578134,121,"Facebook","Planning trip to NZ"
3578832,135,"Facebook","Planning trip to NZ"
3578858,146,"None of these","Planning trip to NZ"
3578860,136,"Google+","Planning trip to NZ"
3578143,110,"None of these","Planning trip to NZ"
3578166,107,"Wechat","After trip to NZ"
3578848,154,"Facebook","During trip to NZ"
3578867,147,"None of these","During trip to NZ"
3579106,142,"None of these","Planning trip to NZ"
3578867,148,"Facebook","After trip to NZ"
3578848,155,"None of these","After trip to NZ"
3578166,106,"Wechat","During trip to NZ"
3578848,153,"None of these","Planning trip to NZ"
3578193,125,"None of these","Planning trip to NZ"
3579107,134,"Facebook","Planning trip to NZ"
3578862,138,"Facebook","Planning trip to NZ"
3578166,105,"None of these","Planning trip to NZ"
3578867,146,"None of these","Planning trip to NZ"
3579108,123,"None of these","Planning trip to NZ"
3578193,126,"Facebook","During trip to NZ"
3578232,179,"None of these","Planning trip to NZ"
3578234,137,"None of these","Planning trip to NZ"
3578862,139,"None of these","During trip to NZ"
3579107,136,"None of these","After trip to NZ"
3579108,124,"Facebook","During trip to NZ"
3579124,131,"Facebook","Planning trip to NZ"
3578193,127,"None of these","After trip to NZ"
3579108,126,"None of these","After trip to NZ"
3579124,132,"None of these","During trip to NZ"
3578876,161,"None of these","During trip to NZ"
3578232,180,"Facebook","During trip to NZ"
3579138,117,"None of these","Planning trip to NZ"
3579124,133,"Facebook","After trip to NZ"
3578880,109,"Facebook","During trip to NZ"
3578862,140,"None of these","After trip to NZ"
3578876,162,"None of these","After trip to NZ"
3579107,135,"Facebook","During trip to NZ"
3578880,110,"None of these","After trip to NZ"
3579138,118,"None of these","During trip to NZ"
3578876,160,"None of these","Planning trip to NZ"
3578234,138,"None of these","During trip to NZ"
3578880,108,"None of these","Planning trip to NZ"
3579108,125,"Twitter","During trip to NZ"
3578232,181,"Facebook","After trip to NZ"
3578234,139,"None of these","After trip to NZ"
3578881,144,"Google+","Planning trip to NZ"
3579138,119,"Facebook","After trip to NZ"
3579139,148,"Facebook","During trip to NZ"
3579139,149,"Google+","During trip to NZ"
3578883,146,"None of these","During trip to NZ"
3579139,147,"None of these","Planning trip to NZ"
3578883,147,"None of these","After trip to NZ"
3578887,132,"None of these","Planning trip to NZ"
3578881,146,"None of these","After trip to NZ"
3578887,135,"Facebook","After trip to NZ"
3578887,133,"Facebook","During trip to NZ"
3579156,144,"None of these","During trip to NZ"
3578883,145,"Facebook","Planning trip to NZ"
3579139,150,"Facebook","After trip to NZ"
3578881,145,"None of these","During trip to NZ"
3579156,143,"None of these","Planning trip to NZ"
3578887,134,"Google+","During trip to NZ"
3578894,155,"None of these","Planning trip to NZ"
3578897,129,"None of these","Planning trip to NZ"
3579157,125,"None of these","Planning trip to NZ"
3579156,145,"Facebook","After trip to NZ"
3578897,130,"None of these","During trip to NZ"
3578894,156,"None of these","During trip to NZ"
3578897,131,"None of these","After trip to NZ"
3579157,126,"Facebook","During trip to NZ"
3578894,157,"Facebook","After trip to NZ"
3578898,149,"None of these","During trip to NZ"
3578243,111,"Google+","Planning trip to NZ"
3578910,121,"Facebook","Planning trip to NZ"
3579157,129,"None of these","After trip to NZ"
3578243,112,"Wechat","Planning trip to NZ"
3578899,143,"None of these","After trip to NZ"
3579157,127,"Instagram","During trip to NZ"
3578243,113,"Facebook","During trip to NZ"
3578898,148,"Facebook","Planning trip to NZ"
3578899,141,"None of these","Planning trip to NZ"
3578910,123,"None of these","After trip to NZ"
3578898,150,"Facebook","After trip to NZ"
3579157,128,"Google+","During trip to NZ"
3578910,122,"None of these","During trip to NZ"
3578899,142,"None of these","During trip to NZ"
3578243,115,"Instagram","During trip to NZ"
3579172,125,"Google+","During trip to NZ"
3578914,158,"Google+","Planning trip to NZ"
3579173,120,"Facebook","Planning trip to NZ"
3578243,114,"Twitter","During trip to NZ"
3578243,117,"None of these","After trip to NZ"
3579172,126,"Facebook","After trip to NZ"
3579173,121,"Google+","Planning trip to NZ"
3578914,160,"None of these","After trip to NZ"
3578912,137,"None of these","After trip to NZ"
3578914,159,"Facebook","During trip to NZ"
3579173,122,"Google+","During trip to NZ"
3578259,137,"Facebook","After trip to NZ"
3579174,128,"None of these","During trip to NZ"
3579174,129,"Google+","After trip to NZ"
3578919,164,"Facebook","After trip to NZ"
3578243,116,"Pinterest","During trip to NZ"
3579172,124,"None of these","Planning trip to NZ"
3578912,135,"None of these","Planning trip to NZ"
3579174,127,"None of these","Planning trip to NZ"
3578259,136,"Facebook","During trip to NZ"
3578919,163,"None of these","During trip to NZ"
3578912,136,"Facebook","During trip to NZ"
3578259,135,"Facebook","Planning trip to NZ"
3579173,123,"None of these","After trip to NZ"
3578919,162,"None of these","Planning trip to NZ"
3578273,100,"None of these","Planning trip to NZ"
3578937,123,"Weibu","Planning trip to NZ"
3578916,139,"None of these","Planning trip to NZ"
3579188,119,"None of these","Planning trip to NZ"
3578937,124,"Google+","Planning trip to NZ"
3578273,101,"Facebook","During trip to NZ"
3578937,127,"None of these","After trip to NZ"
3578273,102,"None of these","After trip to NZ"
3578937,126,"Google+","During trip to NZ"
3578937,125,"Weibu","During trip to NZ"
3578916,140,"Facebook","During trip to NZ"
3579188,120,"None of these","During trip to NZ"
3578916,142,"None of these","After trip to NZ"
3578942,137,"None of these","After trip to NZ"
3578942,134,"Weibu","Planning trip to NZ"
3579190,123,"Facebook","During trip to NZ"
3578942,135,"Google+","Planning trip to NZ"
3578291,130,"Facebook","Planning trip to NZ"
3579190,122,"None of these","Planning trip to NZ"
3578953,116,"Weibu","Planning trip to NZ"
3578929,121,"Wechat","Planning trip to NZ"
3578929,124,"None of these","After trip to NZ"
3578929,123,"Wechat","During trip to NZ"
3578953,117,"Weibu","During trip to NZ"
3578929,122,"Weibu","During trip to NZ"
3579188,121,"None of these","After trip to NZ"
3578916,141,"Instagram","During trip to NZ"
3578942,136,"None of these","During trip to NZ"
3578953,118,"Weibu","After trip to NZ"
3579190,124,"None of these","After trip to NZ"
3578291,134,"Facebook","After trip to NZ"
3578930,127,"None of these","During trip to NZ"
3578976,125,"Weibu","After trip to NZ"
3578298,210,"Twitter","During trip to NZ"
3578291,133,"Instagram","During trip to NZ"
3578298,212,"Google+","During trip to NZ"
3578291,132,"Facebook","During trip to NZ"
3578960,124,"None of these","During trip to NZ"
3578976,124,"None of these","During trip to NZ"
3578298,209,"Facebook","During trip to NZ"
3578930,126,"None of these","Planning trip to NZ"
3578298,215,"Instagram","After trip to NZ"
3578298,213,"Facebook","After trip to NZ"
3578291,131,"Instagram","Planning trip to NZ"
3578960,123,"None of these","Planning trip to NZ"
3579192,131,"None of these","Planning trip to NZ"
3578976,123,"None of these","Planning trip to NZ"
3578932,130,"None of these","Planning trip to NZ"
3579192,133,"Facebook","After trip to NZ"
3578300,139,"None of these","Planning trip to NZ"
3578978,126,"Google+","Planning trip to NZ"
3578946,140,"Google+","Planning trip to NZ"
3578960,125,"None of these","After trip to NZ"
3579192,134,"Instagram","After trip to NZ"
3578930,128,"Weibu","After trip to NZ"
3578946,139,"Weibu","Planning trip to NZ"
3578298,211,"Instagram","During trip to NZ"
3579207,145,"Facebook","Planning trip to NZ"
3578298,214,"Twitter","After trip to NZ"
3578298,208,"Google+","Planning trip to NZ"
3579192,132,"None of these","During trip to NZ"
3578978,125,"Weibu","Planning trip to NZ"
3579192,135,"Wechat","After trip to NZ"
3578932,131,"None of these","During trip to NZ"
3578300,140,"Facebook","During trip to NZ"
3578946,141,"None of these","During trip to NZ"
3578302,94,"None of these","Planning trip to NZ"
3578985,126,"None of these","During trip to NZ"
3578949,130,"None of these","After trip to NZ"
3578946,142,"None of these","After trip to NZ"
3579207,146,"Facebook","During trip to NZ"
3578302,95,"None of these","During trip to NZ"
3578949,128,"None of these","Planning trip to NZ"
3578978,128,"None of these","After trip to NZ"
3579207,147,"None of these","After trip to NZ"
3578985,125,"Google+","Planning trip to NZ"
3578949,129,"Wechat","During trip to NZ"
3578318,175,"Facebook","During trip to NZ"
3579222,133,"None of these","Planning trip to NZ"
3578318,178,"Facebook","After trip to NZ"
3579222,136,"None of these","After trip to NZ"
3578318,176,"Twitter","During trip to NZ"
3578318,179,"Twitter","After trip to NZ"
3579222,134,"Facebook","During trip to NZ"
3578992,133,"None of these","Planning trip to NZ"
3578992,136,"Google+","After trip to NZ"
3578318,174,"Instagram","Planning trip to NZ"
3578318,177,"Instagram","During trip to NZ"
3579222,135,"Wechat","During trip to NZ"
3578334,155,"None of these","Planning trip to NZ"
3579224,122,"None of these","Planning trip to NZ"
3578979,136,"Weibu","Planning trip to NZ"
3578334,156,"None of these","During trip to NZ"
3578992,135,"Wechat","During trip to NZ"
3579224,123,"Facebook","During trip to NZ"
3578932,132,"Weibu","After trip to NZ"
3578300,141,"Facebook","After trip to NZ"
3578978,127,"None of these","During trip to NZ"
3578302,96,"None of these","After trip to NZ"
3578985,127,"None of these","After trip to NZ"
3578992,134,"Weibu","During trip to NZ"
3578334,157,"None of these","After trip to NZ"
3579224,124,"None of these","After trip to NZ"
3578979,138,"Weibu","After trip to NZ"
3579225,139,"Facebook","After trip to NZ"
3578343,152,"None of these","During trip to NZ"
3579225,136,"Facebook","Planning trip to NZ"
3578981,135,"Weibu","Planning trip to NZ"
3578994,119,"Google+","Planning trip to NZ"
3579225,137,"Google+","Planning trip to NZ"
3578350,150,"Facebook","Planning trip to NZ"
3578343,151,"None of these","Planning trip to NZ"
3579239,125,"None of these","Planning trip to NZ"
3578981,136,"None of these","During trip to NZ"
3578979,137,"Weibu","During trip to NZ"
3578343,153,"None of these","After trip to NZ"
3579225,138,"Facebook","During trip to NZ"
3578994,118,"Weibu","Planning trip to NZ"
3578994,121,"None of these","After trip to NZ"
3578350,152,"Facebook","After trip to NZ"
3578982,130,"None of these","During trip to NZ"
3579001,142,"Weibu","After trip to NZ"
3578357,108,"Twitter","During trip to NZ"
3578982,131,"Weibu","After trip to NZ"
3578357,105,"Facebook","Planning trip to NZ"
3578994,120,"None of these","During trip to NZ"
3579239,127,"Facebook","After trip to NZ"
3578357,107,"Facebook","During trip to NZ"
3579001,141,"Twitter","During trip to NZ"
3578982,128,"Weibu","Planning trip to NZ"
3578981,137,"None of these","After trip to NZ"
3578350,151,"Facebook","During trip to NZ"
3579239,126,"Wechat","During trip to NZ"
3578357,106,"Twitter","Planning trip to NZ"
3579001,140,"Instagram","Planning trip to NZ"
3578982,129,"Google+","Planning trip to NZ"
3578983,135,"None of these","Planning trip to NZ"
3579003,148,"Weibu","Planning trip to NZ"
3579242,129,"Facebook","During trip to NZ"
3578983,137,"Weibu","After trip to NZ"
3578996,125,"None of these","Planning trip to NZ"
3579242,130,"Facebook","After trip to NZ"
3578359,169,"Facebook","During trip to NZ"
3579003,149,"None of these","During trip to NZ"
3579257,128,"None of these","During trip to NZ"
3579258,148,"None of these","Planning trip to NZ"
3578357,110,"Twitter","After trip to NZ"
3579010,117,"None of these","Planning trip to NZ"
3579001,139,"Weibu","Planning trip to NZ"
3579012,120,"Weibu","Planning trip to NZ"
3579242,128,"None of these","Planning trip to NZ"
3578357,109,"Facebook","After trip to NZ"
3578359,168,"None of these","Planning trip to NZ"
3578983,136,"None of these","During trip to NZ"
3579257,127,"None of these","Planning trip to NZ"
3579003,150,"Weibu","After trip to NZ"
3579010,119,"None of these","After trip to NZ"
3578996,127,"None of these","After trip to NZ"
3578996,126,"Weibu","During trip to NZ"
3579010,118,"None of these","During trip to NZ"
3578999,135,"Twitter","After trip to NZ"
3578999,133,"None of these","Planning trip to NZ"
3578999,136,"Weibu","After trip to NZ"
3579257,129,"None of these","After trip to NZ"
3578359,170,"None of these","After trip to NZ"
3578368,120,"Wechat","Planning trip to NZ"
3578999,134,"Google+","During trip to NZ"
3578368,119,"Facebook","Planning trip to NZ"
3579258,150,"None of these","After trip to NZ"
3578368,122,"Wechat","During trip to NZ"
3579012,121,"None of these","During trip to NZ"
3579012,122,"None of these","After trip to NZ"
3579258,149,"Facebook","During trip to NZ"
3578368,121,"Facebook","During trip to NZ"
3579016,123,"None of these","Planning trip to NZ"
3578368,123,"Facebook","After trip to NZ"
3579273,148,"None of these","During trip to NZ"
3579017,139,"Weibu","During trip to NZ"
3579273,147,"None of these","Planning trip to NZ"
3579289,134,"None of these","Planning trip to NZ"
3579016,124,"None of these","During trip to NZ"
3579017,138,"Weibu","Planning trip to NZ"
3579273,149,"Facebook","After trip to NZ"
3579017,140,"Weibu","After trip to NZ"
3579016,125,"Weibu","After trip to NZ"
3579028,136,"Facebook","During trip to NZ"
3579289,135,"None of these","During trip to NZ"
3579289,136,"Facebook","After trip to NZ"
3579028,137,"Facebook","After trip to NZ"
3579289,137,"Twitter","After trip to NZ"
3579031,147,"None of these","Planning trip to NZ"
3579290,122,"Instagram","Planning trip to NZ"
3579042,130,"None of these","Planning trip to NZ"
3578368,124,"Wechat","After trip to NZ"
3579031,148,"Facebook","During trip to NZ"
3579031,151,"Google+","After trip to NZ"
3579031,150,"Facebook","After trip to NZ"
3579028,135,"None of these","Planning trip to NZ"
3579290,123,"Google+","Planning trip to NZ"
3579289,138,"Wechat","After trip to NZ"
3579031,149,"Google+","During trip to NZ"
3579032,127,"None of these","Planning trip to NZ"
3579290,124,"Facebook","During trip to NZ"
3579290,127,"Twitter","After trip to NZ"
3579032,128,"None of these","During trip to NZ"
3579290,125,"Google+","During trip to NZ"
3579042,131,"None of these","During trip to NZ"
3579290,126,"Facebook","After trip to NZ"
3579292,135,"Instagram","During trip to NZ"
3579051,139,"None of these","After trip to NZ"
3579048,114,"Facebook","Planning trip to NZ"
3579049,136,"None of these","After trip to NZ"
3579048,116,"None of these","After trip to NZ"
3579292,136,"Google+","During trip to NZ"
3579042,132,"None of these","After trip to NZ"
3579049,135,"Google+","During trip to NZ"
3579048,115,"Facebook","During trip to NZ"
3579051,138,"None of these","During trip to NZ"
3578391,105,"None of these","After trip to NZ"
3579306,142,"Facebook","After trip to NZ"
3579053,128,"Facebook","During trip to NZ"
3579032,129,"None of these","After trip to NZ"
3579292,137,"Facebook","After trip to NZ"
3579292,134,"None of these","Planning trip to NZ"
3579051,137,"None of these","Planning trip to NZ"
3579049,134,"None of these","Planning trip to NZ"
3579306,141,"Facebook","During trip to NZ"
3578391,103,"None of these","Planning trip to NZ"
3579053,127,"None of these","Planning trip to NZ"
3578391,104,"None of these","During trip to NZ"
3579063,114,"Facebook","Planning trip to NZ"
3579306,140,"None of these","Planning trip to NZ"
3578418,142,"Google+","Planning trip to NZ"
3579063,116,"Facebook","After trip to NZ"
3578418,144,"Google+","During trip to NZ"
3579307,143,"None of these","During trip to NZ"
3579053,129,"None of these","After trip to NZ"
3578418,145,"Facebook","After trip to NZ"
3578432,88,"None of these","Planning trip to NZ"
3579308,125,"None of these","Planning trip to NZ"
3579065,127,"None of these","During trip to NZ"
3579063,117,"Instagram","After trip to NZ"
3578418,143,"Facebook","During trip to NZ"
3579065,126,"Facebook","Planning trip to NZ"
3579307,144,"Facebook","After trip to NZ"
3578432,89,"Facebook","During trip to NZ"
3579308,126,"None of these","During trip to NZ"
3579063,115,"Google+","During trip to NZ"
3579307,142,"Wechat","Planning trip to NZ"
3579065,128,"Facebook","After trip to NZ"
3579076,121,"None of these","Planning trip to NZ"
3579066,132,"Google+","Planning trip to NZ"
3579066,131,"Facebook","Planning trip to NZ"
3579309,122,"Facebook","Planning trip to NZ"
3579308,127,"None of these","After trip to NZ"
3579076,123,"Twitter","After trip to NZ"
3579066,133,"None of these","During trip to NZ"
3579076,122,"None of these","During trip to NZ"
3579066,134,"None of these","After trip to NZ"
3579309,123,"None of these","During trip to NZ"
3578432,90,"None of these","After trip to NZ"
3579078,115,"None of these","Planning trip to NZ"
3579322,155,"Facebook","Planning trip to NZ"
3579309,124,"Facebook","After trip to NZ"
3579080,137,"Facebook","After trip to NZ"
3579078,117,"None of these","After trip to NZ"
3579080,138,"Google+","After trip to NZ"
3579080,136,"None of these","During trip to NZ"
3579080,135,"None of these","Planning trip to NZ"
3579078,116,"Facebook","During trip to NZ"
3579087,114,"None of these","Planning trip to NZ"
3579083,113,"None of these","Planning trip to NZ"
3578443,100,"Google+","Planning trip to NZ"
3579323,130,"None of these","Planning trip to NZ"
3579081,117,"None of these","Planning trip to NZ"
3579322,156,"Facebook","During trip to NZ"
3579081,119,"None of these","After trip to NZ"
3579087,116,"None of these","After trip to NZ"
3579322,157,"Facebook","After trip to NZ"
3579081,118,"None of these","During trip to NZ"
3579087,115,"Google+","During trip to NZ"
3579083,114,"None of these","During trip to NZ"
3579323,132,"Wechat","After trip to NZ"
3579094,124,"Facebook","After trip to NZ"
3579096,127,"Twitter","During trip to NZ"
3579101,137,"None of these","During trip to NZ"
3579101,136,"None of these","Planning trip to NZ"
3579323,131,"None of these","During trip to NZ"
3579094,122,"Wechat","Planning trip to NZ"
3579094,125,"Wechat","After trip to NZ"
3578443,101,"None of these","During trip to NZ"
3579096,128,"None of these","After trip to NZ"
3579101,138,"None of these","After trip to NZ"
3579083,115,"None of these","After trip to NZ"
3579094,123,"None of these","During trip to NZ"
3579096,126,"Facebook","Planning trip to NZ"
3579103,124,"Wechat","Planning trip to NZ"
3579341,118,"Google+","Planning trip to NZ"
3579342,119,"Facebook","Planning trip to NZ"
3579098,146,"None of these","Planning trip to NZ"
3579341,120,"None of these","After trip to NZ"
3578443,102,"None of these","After trip to NZ"
3579341,119,"Facebook","During trip to NZ"
3579342,120,"Facebook","During trip to NZ"
3579103,126,"Facebook","After trip to NZ"
3579342,122,"Google+","After trip to NZ"
3578450,110,"None of these","After trip to NZ"
3579342,121,"Google+","During trip to NZ"
3578450,109,"None of these","During trip to NZ"
3579112,127,"Google+","Planning trip to NZ"
3579098,148,"None of these","After trip to NZ"
3579103,125,"Facebook","During trip to NZ"
3579098,147,"None of these","During trip to NZ"
3579112,128,"Facebook","During trip to NZ"
3578450,108,"None of these","Planning trip to NZ"
3578452,96,"None of these","Planning trip to NZ"
3579099,127,"Google+","Planning trip to NZ"
3579357,141,"None of these","Planning trip to NZ"
3579112,129,"Google+","During trip to NZ"
3579099,128,"None of these","During trip to NZ"
3579357,143,"Facebook","After trip to NZ"
3579099,129,"Facebook","After trip to NZ"
3579112,130,"Facebook","After trip to NZ"
3579357,142,"None of these","During trip to NZ"
3578457,137,"None of these","Planning trip to NZ"
3578452,97,"None of these","During trip to NZ"
3579119,123,"Facebook","After trip to NZ"
3579113,143,"Instagram","During trip to NZ"
3578452,98,"None of these","After trip to NZ"
3579119,122,"None of these","During trip to NZ"
3579119,121,"Google+","Planning trip to NZ"
3579113,142,"None of these","Planning trip to NZ"
3579113,144,"Facebook","After trip to NZ"
3579373,128,"None of these","Planning trip to NZ"
3579121,115,"Facebook","Planning trip to NZ"
3579113,145,"Wechat","After trip to NZ"
3579373,129,"Wechat","During trip to NZ"
3579121,116,"Instagram","During trip to NZ"
3579373,130,"Facebook","After trip to NZ"
3579121,118,"Google+","After trip to NZ"
3578457,138,"Facebook","During trip to NZ"
3579374,132,"Wechat","After trip to NZ"
3579128,147,"Facebook","During trip to NZ"
3579128,148,"Facebook","After trip to NZ"
3579114,121,"Facebook","Planning trip to NZ"
3579142,131,"None of these","During trip to NZ"
3579137,135,"Facebook","During trip to NZ"
3579375,131,"Twitter","Planning trip to NZ"
3579121,117,"Facebook","After trip to NZ"
3579374,131,"None of these","During trip to NZ"
3579128,149,"Google+","After trip to NZ"
3579137,136,"None of these","After trip to NZ"
3579128,146,"Google+","Planning trip to NZ"
3579114,123,"None of these","After trip to NZ"
3579375,132,"Facebook","During trip to NZ"
3579374,130,"None of these","Planning trip to NZ"
3579137,134,"Google+","Planning trip to NZ"
3579130,104,"None of these","After trip to NZ"
3578466,116,"Facebook","During trip to NZ"
3579391,136,"None of these","After trip to NZ"
3579142,130,"Wechat","Planning trip to NZ"
3579131,115,"None of these","After trip to NZ"
3578475,116,"Wechat","During trip to NZ"
3579171,120,"Facebook","Planning trip to NZ"
3579130,102,"Facebook","Planning trip to NZ"
3579114,122,"None of these","During trip to NZ"
3579131,114,"Google+","During trip to NZ"
3578466,117,"Facebook","After trip to NZ"
3579131,113,"None of these","Planning trip to NZ"
3579391,134,"None of these","Planning trip to NZ"
3579375,133,"None of these","After trip to NZ"
3579142,132,"None of these","After trip to NZ"
3578475,114,"Facebook","During trip to NZ"
3578475,117,"Facebook","After trip to NZ"
3578457,139,"Facebook","After trip to NZ"
3579171,122,"None of these","After trip to NZ"
3578466,115,"Facebook","Planning trip to NZ"
3579130,103,"Instagram","During trip to NZ"
3578475,113,"Google+","Planning trip to NZ"
3579392,143,"None of these","Planning trip to NZ"
3579171,121,"Facebook","During trip to NZ"
3579149,128,"Facebook","During trip to NZ"
