twit_id,they_follow
952001007147520000,17117147
952001007147520000,215035672
952001007147520000,4148860108
952001007147520000,110505844
952001007147520000,400286802
952001007147520000,104562738
952001007147520000,14622002
952001007147520000,153196789
952001007147520000,2197265034
952001007147520000,15626406
952001007147520000,2286218053
952001007147520000,848799224854609920
952001007147520000,953029226780704768
952001007147520000,1205609058
952001007147520000,755877821671702528
952001007147520000,85743765
952001007147520000,2724597409
952001007147520000,2314443930
952001007147520000,2419234122
952001007147520000,111060272
952001007147520000,750502859368599552
952001007147520000,91145174
952001007147520000,2882893927
952001007147520000,19203768
952001007147520000,18691746
952001007147520000,132594322
952001007147520000,880570939779555328
952001007147520000,9.32563102499e+17
952001007147520000,796092645193846784
952001007147520000,2895499182
952001007147520000,354537284
952001007147520000,17163609
952001007147520000,22674817
952001007147520000,2460368252
952001007147520000,63873759
952001007147520000,167960058
952001007147520000,398087684
952001007147520000,2814476470
952001007147520000,192455600
952001007147520000,3346807874
952001007147520000,65375759
952001007147520000,182051678
952001007147520000,29415991
952001007147520000,634406525
952001007147520000,14130366
952001007147520000,821766660822626304
952001007147520000,446719282
952001007147520000,197313522
952001007147520000,471550563
952001007147520000,98073161
952001007147520000,785618379201654784
952001007147520000,50393960
952001007147520000,16689804
952001007147520000,19540483
952001007147520000,567360618
952001007147520000,352053266
952001007147520000,326912209
952001007147520000,318063815
952001007147520000,929211084
952001007147520000,17775166
952001007147520000,17435275
952001007147520000,937467860
952001007147520000,2343198944
952001007147520000,744095828013424640
952001007147520000,15278016
952001007147520000,833587995928178688
952001007147520000,772866810127409152
952001007147520000,476582730
952001007147520000,481867656
952001007147520000,877952584333410304
952001007147520000,740238495952736256
952001007147520000,2223451512
952001007147520000,567760343
952001007147520000,37254334
952001007147520000,733789580894212096
952001007147520000,1408142352
952001007147520000,4527505582
952001007147520000,1095841166
952001007147520000,286454227
952001007147520000,2786323310
952001007147520000,175282603
952001007147520000,776585502606721024
952001007147520000,56872711
952001007147520000,3918111614
952001007147520000,797433864
952001007147520000,2902658140
952001007147520000,2956121356
952001007147520000,11766442
952001007147520000,15363432
952001007147520000,898805695
952001007147520000,29843511
952001007147520000,3333052551
952001007147520000,1442906958
952001007147520000,2815077014
952001007147520000,911297187664949248
952001007147520000,799141921461452800
952001007147520000,118263124
952001007147520000,254107028
952001007147520000,2573466488
952001007147520000,80422885
952001007147520000,4398626122
952001007147520000,4783690002
952001007147520000,162124540
952001007147520000,22385548
952001007147520000,1482581556
952001007147520000,158106469
952001007147520000,70831441
952001007147520000,130745589
952001007147520000,216939636
952001007147520000,2249045844
952001007147520000,2981968107
952001007147520000,50095170
952001007147520000,2361967422
952001007147520000,2895770934
952001007147520000,68746721
952001007147520000,775449094739197952
952001007147520000,33836629
952001007147520000,48008938
952001007147520000,16017475
